Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Inaccessibility is Everywhere: how can we fix it?,Accessibility,https://medium.com/swlh/inaccessibility-is-everywhere-how-can-we-fix-it-502bc50133bb?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,How do I design for accessibility?,Accessibility,https://uxdesign.cc/how-do-i-design-for-accessibility-1681123f9539?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,"Why Yes, Both of My Parents Are Blind",Accessibility,https://medium.com/@BrailleWorks/why-yes-both-of-my-parents-are-blind-51b532af038?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,How Accessibility Gets More and More Important in Web Development,Accessibility,https://medium.com/better-programming/how-accessibility-gets-more-and-more-important-in-web-development-714fbc4d6114?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Google’s New Accessibility Projects,Accessibility,https://medium.com/@russewell/googles-new-accessibility-projects-bb5968546c1b?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Life After Plastic,Accessibility,https://medium.com/@laurenharkawik/life-after-plastic-810d639feec?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,Accessibility needs to be part of every designers’ skill set,Accessibility,https://medium.com/@marshall.hcd/accessibility-needs-to-be-part-of-every-designers-skill-set-4f3dfdad05df?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,Let’s make web apps accessible to everyone,Accessibility,https://medium.com/swlh/lets-make-web-apps-accessible-to-everyone-af7c70140f03?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,Designer’s introduction to accessibility,Accessibility,https://uxdesign.cc/designers-introduction-to-accessibility-91247645e363?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Don’t make me squint: How to choose accessible brand colors for your audience.,Accessibility,https://medium.com/swlh/guide-to-accessible-brand-colors-cda383d9f00e?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,"Do We Care About Diversity and Inclusion, or Do We Just Seek to BE Included?",Accessibility,https://medium.com/swlh/do-we-care-about-diversity-and-inclusion-or-do-we-just-seek-to-be-included-90f6d266d30a?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,How to design: accessible search bars,Accessibility,https://uxdesign.cc/how-to-design-search-bars-6d4ca9944ad3?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,Accessibility: Skip to main content,Accessibility,https://levelup.gitconnected.com/accessibility-skip-to-main-content-56cef376c98c?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,The Huge Underserved Market for Accessible Fashion,Accessibility,https://modus.medium.com/how-innovative-designers-are-creating-better-fashion-for-people-with-disabilities-48ce78ee1970?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,Marketing Inclusivity Checks You Probably Don’t Know But Should Do,Accessibility,https://medium.com/better-marketing/marketing-inclusivity-checks-you-probably-dont-know-but-should-do-3e31baa89104?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,Accessibility: Have You Ever Encountered Double or Triple Links?,Accessibility,https://medium.com/better-programming/accessibility-have-you-ever-encountered-double-or-triple-links-25fb5f4c3d66?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,Home and the Judas Tree,Accessibility,https://medium.com/@athenastevens/home-and-the-judas-tree-bb51e5457f6d?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,Make Sure Your Web Application is Accessible With The Axe Accessibility Library,Accessibility,https://medium.com/better-programming/make-sure-your-web-application-is-accessible-with-the-axe-accessibility-library-363f667ef99f?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,How to create an accessible app (and why you should),Accessibility,https://medium.com/oberonamsterdam/how-to-create-an-accessible-app-and-why-you-should-5493f41f8bdb?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,Seven Myths of Color Contrast Accessibility,Accessibility,https://medium.com/@uxmovement/the-myths-of-color-contrast-accessibility-4b7fcba77317?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Web Development Beyond Your Own Experience: Basics Of Site Accessibility,Accessibility,https://medium.com/@chinup.peter/design-beyond-your-own-needs-c6fb5f410a9?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,The Daily Struggles of Our Disabled Citizens,Accessibility,https://medium.com/the-partnered-pen/the-daily-struggles-of-our-disabled-citizens-e464b6f3f2aa?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,"Accessibility: Addresses, Telephones, and Other Inaccessible Links and Where to Find Them",Accessibility,https://medium.com/better-programming/accessibility-addresses-telephones-and-other-inaccessible-links-and-where-to-find-them-b002cbff6c29?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,Disability Microagressions-AKA “Ableist things people say”,Accessibility,https://medium.com/@sheribyrnehaber/disability-microagressions-aka-ableist-things-people-say-89c3fffd11a1?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,The Most Common Web Accessibility Mistakes & How To Solve Them,Accessibility,https://medium.com/charlottes-digital-web/the-most-common-web-accessibility-mistakes-how-to-solve-them-5b7d25a337e0?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,How to Design Accessible Visual Content for Every Audience,Accessibility,https://medium.com/the-visual-marketer/accessible-design-101-visual-content-every-audience-b39e4c9299e5?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,"If You Have Hearing Loss, Visit A Deaf School When You Travel",Accessibility,https://medium.com/voices-through-silence/if-you-have-hearing-loss-visit-a-deaf-school-when-you-travel-9e999425ac9d?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,The future of hearing assistance,Accessibility,https://uxdesign.cc/the-future-of-hearing-assistance-4ba7e8d1ca?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,East Coast Trek — Part VI:,Accessibility,https://medium.com/the-northern-point/east-coast-trek-part-vi-653aa39018d0?source=topic_page---------29------------------1,-
Medium.com,Innovation & Tech,You don’t get a “pass” to discriminate against people with disabilities in an emergency,Accessibility,https://medium.com/@sheribyrnehaber/you-dont-get-a-pass-to-discriminate-against-people-with-disabilities-in-an-emergency-d828efb86c84?source=topic_page---------30------------------1,-
Medium.com,Innovation & Tech,A Case Against Domino’s Reveals a Slice of the Internet’s Accessibility Issues,Accessibility,https://onezero.medium.com/a-case-against-dominos-reveals-a-slice-of-the-internet-s-accessibility-issues-4b414c4e75?source=topic_page---------31------------------1,-
Medium.com,Innovation & Tech,Having My Groceries Delivered Is an Act of Self Love,Accessibility,https://medium.com/invisible-illness/having-my-groceries-delivered-is-an-act-of-self-love-de87cb16dc36?source=topic_page---------32------------------1,-
Medium.com,Innovation & Tech,Serving Customers with Disabilities,Accessibility,https://medium.com/@sheribyrnehaber/serving-customers-with-disabilities-1e3b0b25f589?source=topic_page---------33------------------1,-
Medium.com,Innovation & Tech,Researchers Are Making Memes Accessible to the Blind,Accessibility,https://onezero.medium.com/researchers-are-making-memes-accessible-to-the-blind-46b9ef0550da?source=topic_page---------34------------------1,-
Medium.com,Innovation & Tech,Realtime Video Closed Captioning in SwiftUI,Accessibility,https://medium.com/better-programming/realtime-video-closed-captioning-in-swiftui-4022ba85c803?source=topic_page---------35------------------1,-
Medium.com,Innovation & Tech,Developing and testing accessible app in Flutter,Accessibility,https://medium.com/flutter-community/developing-and-testing-accessible-app-in-flutter-1dc1d33c7eea?source=topic_page---------36------------------1,-
Medium.com,Innovation & Tech,Apple Cranks Speech-to-Text Up to Xcode 11,Accessibility,https://towardsdatascience.com/apple-cranks-speech-to-text-up-to-xcode-11-e1848e42252b?source=topic_page---------37------------------1,-
