Source,Domain,Heading,Category,URL,Text
Medium.com,Life,Sometimes Love Isn’t Enough,Addiction,https://psiloveyou.xyz/sometimes-love-isnt-enough-74960c87e05?source=topic_page---------0------------------1,-
Medium.com,Life,The Biggest Reason We Don’t Stay Sober,Addiction,https://medium.com/@GillianCanWrite/the-biggest-reason-we-dont-stay-sober-944c0276a0cd?source=topic_page---------1------------------1,-
Medium.com,Life,"For people with alcohol issues, abstinence isn’t the only answer",Addiction,https://medium.com/addaction-voices/for-people-with-alcohol-issues-abstinence-isnt-the-only-answer-64765d580cb5?source=topic_page---------2------------------1,-
Medium.com,Life,How to Hack Your Dopamine Tone,Addiction,https://medium.com/@addictiondocMD/how-to-hack-your-dopamine-tone-cb7464176db9?source=topic_page---------4------------------1,-
Medium.com,Life,Breaking Up Is Hard To Do,Addiction,https://medium.com/@drafteddaydreams/breaking-up-is-hard-to-do-21bb14cca35b?source=topic_page---------5------------------1,-
Medium.com,Life,Systems Thinking & How It Can Solve The Overdose Crisis,Addiction,https://medium.com/swlh/systems-thinking-how-it-can-solve-the-overdose-crisis-f9a545ff4148?source=topic_page---------6------------------1,-
Medium.com,Life,Food Addiction is a Real Addiction,Addiction,https://medium.com/@ahanson8842/food-addiction-is-a-real-addiction-93d4688080e6?source=topic_page---------7------------------1,-
Medium.com,Life,Nurses & Doctors Hate Drug Users,Addiction,https://medium.com/@byronwood/nurses-doctors-hate-drug-users-a68ed63bed85?source=topic_page---------8------------------1,-
Medium.com,Life,How Telling My Drinking Story Changed My Story,Addiction,https://medium.com/the-ascent/how-telling-my-drinking-story-changed-my-story-7adf38c1eadc?source=topic_page---------9------------------1,-
Medium.com,Life,The Path to Serenity Can Be a Long One,Addiction,https://medium.com/@joyharding_3613/the-path-to-serenity-can-be-a-long-one-eec51ea67896?source=topic_page---------10------------------1,-
Medium.com,Life,The rise and trend of the sober curious,Addiction,https://medium.com/@soberlykelly/the-rise-and-trend-of-the-sober-curious-740e73402f23?source=topic_page---------11------------------1,-
Medium.com,Life,"CDC Guidelines Go Against Its Own Research, Leaving Pain Patients to Suffer",Addiction,https://medium.com/@darisse.smith/cdc-guidelines-go-against-its-own-research-leaving-pain-patients-to-suffer-adb1996f74e?source=topic_page---------12------------------1,-
Medium.com,Life,Love in the Age of Opioids,Addiction,https://psiloveyou.xyz/love-in-the-age-of-opioids-f3e05dd836e0?source=topic_page---------13------------------1,-
Medium.com,Life,No More Secrets: Confessions of a Former Sex Addict’s Wife,Addiction,https://medium.com/@kerrykerrmcavoy/no-more-secrets-confessions-of-a-former-sex-addicts-wife-133b9e45ced7?source=topic_page---------14------------------1,-
Medium.com,Life,My Friends Turned Their Backs On Me,Addiction,https://medium.com/publishous/my-friends-turned-their-backs-on-me-b826742aa258?source=topic_page---------15------------------1,-
Medium.com,Life,Am I Boring Now That I Don’t Drink Alcohol?,Addiction,https://medium.com/the-partnered-pen/am-i-boring-now-that-i-dont-drink-alcohol-5a441d979316?source=topic_page---------16------------------1,-
