Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Land of the Free: America’s Homelessness Crisis,Basic Income,https://medium.com/@gabrielle.ybarzabal/land-of-the-free-americas-homelessness-crisis-5417b1e063cd?source=topic_page---------0------------------1,-
Medium.com,Society,"Technology Won’t Kill Your Job, Capitalism Will",Basic Income,https://medium.com/discourse/technology-wont-kill-your-job-capitalism-will-901770857ad4?source=topic_page---------1------------------1,-
Medium.com,Society,Summary & Review: Utopia for Realists by Rutger Bregman,Basic Income,https://medium.com/@econsystemsthinking/summary-review-utopia-for-realists-by-rutger-bregman-437c506f329c?source=topic_page---------2------------------1,-
Medium.com,Society,"Yes, a $15 Minimum Wage is a Good Idea",Basic Income,https://arcdigital.media/yes-a-15-minimum-wage-is-a-good-idea-433ca621e541?source=topic_page---------4------------------1,-
Medium.com,Society,Free Money or Freedom?,Basic Income,https://medium.com/@sarabizarro/free-money-or-freedom-7cd0f1087e8b?source=topic_page---------5------------------1,-
Medium.com,Society,Taking ‘inequality’ back to basics,Basic Income,https://medium.com/the-inequality-paradox/taking-inequality-back-to-basics-3f51da604f0e?source=topic_page---------6------------------1,-
Medium.com,Society,The Great Brexit Smokescreen,Basic Income,https://medium.com/@ehwalter/the-great-brexit-smokescreen-5ffafa471001?source=topic_page---------7------------------1,-
Medium.com,Society,The reality of the ‘Freedom Dividend’,Basic Income,https://medium.com/@MatthewPrince/the-reality-of-the-freedom-dividend-3142bc2d82ee?source=topic_page---------8------------------1,-
Medium.com,Society,Why are so few politicians prepared to champion basic income?,Basic Income,https://medium.com/enrique-dans/why-are-so-few-politicians-prepared-to-champion-basic-income-e9aabb150e50?source=topic_page---------9------------------1,-
Medium.com,Society,What a 1930s Basic Income Crusader can Teach Us about Andrew Yang’s Freedom Dividend and Social…,Basic Income,https://medium.com/lessons-from-history/what-a-1930s-basic-income-crusader-can-teach-us-about-andrew-yangs-freedom-dividend-and-social-8f72f556db97?source=topic_page---------10------------------1,-
Medium.com,Society,Finding meaning in a future of less work,Basic Income,https://medium.com/cgo-benchmark/finding-meaning-in-a-future-of-less-work-ebd5412bdf14?source=topic_page---------11------------------1,-
Medium.com,Society,Is a Wealth Tax Actually Unrealistic?,Basic Income,https://medium.com/bigger-picture/is-a-wealth-tax-actually-unrealistic-da76ee4dab8?source=topic_page---------12------------------1,-
Medium.com,Society,In Pursuit of Food Security,Basic Income,https://medium.com/@kristeneleanor/in-pursuit-of-food-security-93fd2f95d80a?source=topic_page---------13------------------1,-
Medium.com,Society,Basic Income: Who Are The Naysayers?,Basic Income,https://medium.com/basic-income/basic-income-who-are-the-naysayers-3d21fd5ef077?source=topic_page---------14------------------1,-
Medium.com,Society,Welfare Payments Can Discourage People from Working,Basic Income,https://medium.com/candour/welfare-payments-can-discourage-people-from-working-5fb74665a35b?source=topic_page---------15------------------1,-
Medium.com,Society,How Much Basic Income Can We Afford?,Basic Income,https://medium.com/basic-income/how-much-basic-income-can-we-afford-52cc8e9da65?source=topic_page---------16------------------1,-
Medium.com,Society,Universal Income is a Right,Basic Income,https://medium.com/@indubitablyodin/universal-income-is-a-right-c019f9fa51b3?source=topic_page---------17------------------1,-
Medium.com,Society,A Basic Income Program that Already Works,Basic Income,https://blog.usejournal.com/a-basic-income-program-that-already-works-7d7270511ff8?source=topic_page---------18------------------1,-
Medium.com,Society,Why Basic Income is the holistic answer to our disruptive times,Basic Income,https://medium.com/@Tessa.Miller/why-basic-income-is-the-holistic-answer-to-our-disruptive-times-233511a14527?source=topic_page---------19------------------1,-
Medium.com,Society,"Without Economic Inequality, There is no Rise of Joker",Basic Income,https://medium.com/@chrissoria/without-economic-inequality-there-is-no-rise-of-joker-a58210efbdf5?source=topic_page---------20------------------1,-
Medium.com,Society,The Case for Andrew Yang,Basic Income,https://medium.com/the-saturday-essay/the-case-for-andrew-yang-b7fae80c1998?source=topic_page---------21------------------1,-
Medium.com,Society,What Can Welfare Experiments of the 1970s Tell Us About a UBI?,Basic Income,https://medium.com/basic-income/what-can-welfare-experiments-of-the-1970s-tell-us-about-a-ubi-c7afcab8e2a3?source=topic_page---------22------------------1,-
Medium.com,Society,Andrew Yang’s Freedom Dividend Causes More Problems Than it Fixes,Basic Income,https://medium.com/@rvby1/andrew-yangs-freedom-dividend-causes-more-problems-than-it-fixes-2a8957c2e780?source=topic_page---------23------------------1,-
Medium.com,Society,What will work look like in the future?,Basic Income,https://medium.com/predict/what-will-work-look-like-in-the-future-d9e7a42641bd?source=topic_page---------24------------------1,-
Medium.com,Society,"Food, Clothes, Utilities: How People Are Using Their Cash From the Country’s Biggest Basic Income…",Basic Income,https://medium.com/fast-company/food-clothes-utilities-how-people-are-using-their-cash-from-the-countrys-biggest-basic-income-320bfdcdf7e5?source=topic_page---------25------------------1,-
Medium.com,Society,The Colossal Mistake Made About Basic Income,Basic Income,https://medium.com/datadriveninvestor/the-colossal-mistake-made-about-basic-income-510c17476c81?source=topic_page---------26------------------1,-
Medium.com,Society,Would a UBI Reduce Work Incentives? Some Answers from Econ 101,Basic Income,https://medium.com/basic-income/would-a-ubi-reduce-work-incentives-some-answers-from-econ-101-7684f172bfbf?source=topic_page---------27------------------1,-
Medium.com,Society,Basic Income Could Be Coming to the UK,Basic Income,https://medium.com/basic-income/basic-income-could-be-coming-to-the-uk-c2438cdeb481?source=topic_page---------28------------------1,-
Medium.com,Society,Against Workerism,Basic Income,https://arcdigital.media/against-workerism-679779c1f4a3?source=topic_page---------29------------------1,-
Medium.com,Society,More Realistic Approaches to National Wealth Creation,Basic Income,https://medium.com/basic-income/more-realistic-approaches-to-national-wealth-creation-e9aff16bea73?source=topic_page---------30------------------1,-
Medium.com,Society,Why Andrew Yang & UBI Are More Progressive Than Warren,Basic Income,https://medium.com/taraellas-liberal-conversation/why-andrew-yang-ubi-are-more-progressive-than-warren-7de1837b60eb?source=topic_page---------31------------------1,-
Medium.com,Society,Automation (and its Harrowing Consequences) Made Easy,Basic Income,https://medium.com/@xavier.audick/automation-and-its-harrowing-consequences-made-easy-eca9d052ca6a?source=topic_page---------32------------------1,-
Medium.com,Society,The Lie of Scarcity,Basic Income,https://medium.com/@micheleleavitt/the-lie-of-scarcity-cc2f97dd1180?source=topic_page---------33------------------1,-
Medium.com,Society,The Business of Universal Basic Income,Basic Income,https://medium.com/@thewritesociety/the-business-of-universal-basic-income-eaa1da1f89a5?source=topic_page---------34------------------1,-
Medium.com,Society,Why the AI Community Needs to Advocate for Universal Basic Income,Basic Income,https://medium.com/swlh/why-the-ai-community-needs-to-advocate-for-universal-basic-income-95ea2d51bb58?source=topic_page---------35------------------1,-
Medium.com,Society,In Defense Of Andrew Yang’s Radical Centrism,Basic Income,https://medium.com/basic-income/in-defense-of-andrew-yangs-radical-centrism-f0ce387e1034?source=topic_page---------36------------------1,-
Medium.com,Society,A Good-Faith Question for Marxists,Basic Income,https://medium.com/discourse/a-good-faith-question-for-marxists-e253118b8768?source=topic_page---------37------------------1,-
Medium.com,Society,The Case for Hierarchy,Basic Income,https://medium.com/basic-income/the-case-for-hierarchy-c8fb6c1551b?source=topic_page---------38------------------1,-
Medium.com,Society,UBI — Lessons from the Alaska Permanent Fund Dividend Program,Basic Income,https://medium.com/basic-income/ubi-lessons-from-the-alaska-permanent-fund-dividend-program-c6c95a1e09a2?source=topic_page---------39------------------1,-
Medium.com,Society,Going Cashless is Not the Future,Basic Income,https://medium.com/swlh/going-cashless-is-not-the-future-7ed6bd27b14c?source=topic_page---------40------------------1,-
Medium.com,Society,What Economists Get Wrong About Universal Basic Income,Basic Income,https://medium.com/@kkholland/what-economists-get-wrong-about-universal-basic-income-2d1f35e1728d?source=topic_page---------41------------------1,-
Medium.com,Society,Should We Universally Adopt Universal Basic Income?,Basic Income,https://medium.com/swlh/should-we-universally-adopt-universal-basic-income-1cb305f005a5?source=topic_page---------42------------------1,-
Medium.com,Society,Automation could kill 11.9 Million Americans’ Jobs in Three Years — Market Mad House,Basic Income,https://medium.com/future-vision/automation-could-kill-11-9-million-americans-jobs-in-three-years-market-mad-house-dc4cc1d71819?source=topic_page---------43------------------1,-
Medium.com,Society,What Makes us Greedy?,Basic Income,https://medium.com/@KittyHannahEden/what-makes-us-greedy-17667a4474dd?source=topic_page---------44------------------1,-
Medium.com,Society,The Economic Case for a Universal Basic Income,Basic Income,https://medium.com/basic-income/the-economic-case-for-a-universal-basic-income-9a61624749e5?source=topic_page---------45------------------1,-
Medium.com,Society,Why We Not Only Need Universal Health Care but Better Care,Basic Income,https://medium.com/@whitcombln/why-we-not-only-need-universal-health-care-but-better-care-423c84206b1e?source=topic_page---------46------------------1,-
Medium.com,Society,Basic Income Isn’t a Handout — It’s a Dividend,Basic Income,https://medium.com/basic-income/basic-income-isnt-a-handout-it-s-a-dividend-bd096e26407f?source=topic_page---------47------------------1,-
Medium.com,Society,The Libertarian Case for a UBI,Basic Income,https://medium.com/swlh/the-libertarian-case-for-a-ubi-3469faaf6364?source=topic_page---------48------------------1,-
Medium.com,Society,American Families need a Basic Income Not the Baby Bond — Market Mad House,Basic Income,https://medium.com/discourse/american-families-need-a-basic-income-not-the-baby-bond-market-mad-house-d8d56f8e7f0d?source=topic_page---------49------------------1,-
Medium.com,Society,"For Women, Life Is Even Harder on the Streets",Basic Income,https://medium.com/@stevepomeroy_85262/for-women-life-is-even-harder-on-the-streets-d9d24fae8a6a?source=topic_page---------50------------------1,-
Medium.com,Society,What Happens When You Build a Global Economy For the Benefit of the Richest .01% of the Richest 10%,Basic Income,https://eand.co/what-happens-when-you-build-a-global-economy-for-the-benefit-of-the-richest-01-of-the-richest-10-ef441ed9f89a?source=topic_page---------51------------------1,-
Medium.com,Society,"“Yes, You’re Poor, and You’ll Stay Poor.” — The Rigged System and What You Can Do About It",Basic Income,https://medium.com/swlh/yes-youre-poor-and-you-ll-stay-poor-the-rigged-system-and-what-you-can-do-about-it-74bc8e04e34a?source=topic_page---------52------------------1,-
Medium.com,Society,"Why UBI’s Cousin, UBS, Is Better",Basic Income,https://medium.com/bigger-picture/why-ubis-cousin-ubs-is-better-c08778c7c865?source=topic_page---------53------------------1,-
Medium.com,Society,"Universal Basic Income Works in Alaska, it will Work for the U.S.",Basic Income,https://medium.com/datadriveninvestor/universal-basic-income-works-in-alaska-it-will-work-for-the-u-s-ccaf48d10f9d?source=topic_page---------54------------------1,-
Medium.com,Society,My Case for Andrew Yang,Basic Income,https://blog.usejournal.com/my-case-for-andrew-yang-2a896b7d1d2?source=topic_page---------55------------------1,-
Medium.com,Society,The Big Choice About How to Implement Basic Income,Basic Income,https://medium.com/basic-income/the-big-choice-about-how-to-implement-basic-income-f1559369f2f7?source=topic_page---------56------------------1,-
Medium.com,Society,Universal Basic Income: who’s laughing now?,Basic Income,https://medium.com/@edmundoadams/universal-basic-income-whos-laughing-now-2f61a0549d39?source=topic_page---------57------------------1,-
Medium.com,Society,France Imposed A 75% Tax On The Highest Incomes: It Didn’t Work And Here’s Why,Basic Income,https://medium.com/@gainweightjournal2/france-imposed-a-75-tax-on-the-highest-incomes-it-didnt-work-and-here-s-why-546ccb832414?source=topic_page---------58------------------1,-
Medium.com,Society,Growing Up Poor in America Was My Political Education,Basic Income,https://medium.com/black-intellect-journal/growing-up-poor-in-america-was-my-political-education-989a3c4fc366?source=topic_page---------59------------------1,-
Medium.com,Society,Living on the Edge … of Poverty and Prosperity,Basic Income,https://medium.com/@tozanakimberly/living-on-the-edge-of-poverty-and-prosperity-fd934ec301b1?source=topic_page---------60------------------1,-
Medium.com,Society,The Women Who Don’t Exist,Basic Income,https://medium.com/@stacykharris/the-women-who-dont-exist-894f6da326ea?source=topic_page---------61------------------1,-
Medium.com,Society,Is There A Positive Side To Poverty?,Basic Income,https://medium.com/the-partnered-pen/is-there-a-positive-side-to-poverty-8a0c05ea66d4?source=topic_page---------62------------------1,-
Medium.com,Society,How to Cut Essential Public Services Without Anyone Noticing — Use Wonky Acronyms,Basic Income,https://civicskunk.works/how-to-cut-essential-public-services-without-anyone-noticing-use-wonky-acronyms-751e5307ca99?source=topic_page---------63------------------1,-
Medium.com,Society,American Dreaming,Basic Income,https://medium.com/@margaretbarnsley/american-dreaming-543f0273b0ee?source=topic_page---------64------------------1,-
Medium.com,Society,Better Arguments for a Basic Income,Basic Income,https://medium.com/discourse/better-arguments-for-a-basic-income-2b9816aa9892?source=topic_page---------65------------------1,-
Medium.com,Society,Beyond the Fight for $15,Basic Income,https://medium.com/cgo-benchmark/beyond-the-fight-for-15-d06ee59a2814?source=topic_page---------66------------------1,-
Medium.com,Society,The Coddling of American Agency,Basic Income,https://medium.com/@ArchbridgeInst/the-coddling-of-american-agency-9f5786b9cc13?source=topic_page---------67------------------1,-
Medium.com,Society,A Fully Automated Economy-How Can It Work?,Basic Income,https://medium.com/datadriveninvestor/a-fully-automated-economy-how-can-it-work-382d9fce90c5?source=topic_page---------68------------------1,-
Medium.com,Society,House Votes To Increase Minimum Wage,Basic Income,https://medium.com/citizen-truth/house-votes-to-increase-minimum-wage-6bee5e7f36fc?source=topic_page---------69------------------1,-
