Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,What Does Looking “Looking My Age” Mean?,Beauty,https://medium.com/crows-feet/what-does-looking-looking-my-age-mean-eda2e6a97eb5?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,I Unfollowed Dozens of Influencers and You Should Too | Why Fitspo Culture Kills Body Positivity,Beauty,https://medium.com/@m.blake.reichenbach/i-unfollowed-dozens-of-influencers-and-you-should-too-why-fitspo-culture-kills-body-positivity-a6c4f80fc404?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,Alicia Keys Criticized Over Letting Her Son Express His ‘Feminine Energy’ With Rainbow Nails,Beauty,https://medium.com/celeb60/alicia-keys-criticized-over-letting-her-son-express-his-feminine-energy-with-rainbow-nails-c424110e510f?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,My Hair Taught Me to Stop Looking at Myself Through Other People’s Eyes,Beauty,https://psiloveyou.xyz/my-hair-taught-me-to-stop-looking-at-myself-through-other-peoples-eyes-cf64533667ed?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,"At 400 Pounds, I Still Don’t Want Weight Loss Surgery",Beauty,https://medium.com/heavybyshannonashley/at-400-pounds-i-still-dont-want-weight-loss-surgery-d240d57568e3?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,The Audacity to Take Up Space,Beauty,https://medium.com/@minmorgan/the-audacity-to-take-up-space-859a5179ea2c?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,The Art of Going Platinum Blonde at Home,Beauty,https://psiloveyou.xyz/the-art-of-going-platinum-blonde-at-home-78aa8a03c2a3?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,I Constantly Apologize for My Body,Beauty,https://medium.com/morbid-a-traceybyfire-publication/i-constantly-apologize-for-my-body-b795f3007195?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,Just Another Fat Chick Who Doesn’t Care,Beauty,https://medium.com/@essenceoffiona/just-another-fat-chick-who-doesnt-care-60249ded671d?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,Have We Hit Peak Whiteness?,Beauty,https://medium.com/nautilus-magazine/have-we-hit-peak-whiteness-e143d77eb64f?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,Marie Claire launching ‘speed beauty’ salon brand extension,Beauty,https://medium.com/whats-new-in-publishing/marie-claire-launching-speed-beauty-salon-brand-extension-1361d7068ea?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,I Wish I’d Realized I Was a Babe,Beauty,https://psiloveyou.xyz/i-wish-id-realized-i-was-a-babe-f253c169a48?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,I Just Had My First Massage,Beauty,https://medium.com/morbid-a-traceybyfire-publication/i-just-had-my-first-massage-b0f7ad1bb844?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,You Should Run a Marathon,Beauty,https://medium.com/@christina.passarella/you-should-run-a-marathon-3ec5f8b4bd50?source=topic_page---------14------------------1,-
