Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,How to Remember What You Read: My Readwise Review,Books,https://medium.com/@blakereichmann/readwise-review-96604b4dee9?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,American Resistance,Books,https://arcdigital.media/american-resistance-889e114f3db3?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,The Art of Daily Reading,Books,https://medium.com/swlh/the-art-of-daily-reading-a4eb75b21211?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,Saved by the Books,Books,https://medium.com/publishous/saved-by-the-books-949d10261467?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,What I (Re)Learned from Writing a Book,Books,https://medium.com/@ktwestra/what-i-re-learned-from-writing-a-book-239d4205ed6c?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,Famous Writers Who Were In It For The Money,Books,https://medium.com/honestly-yours/famous-writers-who-were-in-it-for-the-money-206582ef69ac?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,"An Apocalyptic Story of Love, Loss, and the End of the World",Books,https://medium.com/@NoelThorneWRT/an-apocalyptic-story-of-love-loss-and-the-end-of-the-world-29f8a5e9c43d?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,Ode to Audio,Books,https://medium.com/@EricDemore/ode-to-audio-5247a843eb9b?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,How to Read Faulkner if You’ve Tried and Failed,Books,https://medium.com/@mrvescovi/how-to-read-faulkner-if-youve-tried-and-failed-ca9f85385fd6?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,5 New Non-Fiction Books by Women to Gift this Holiday Season,Books,https://medium.com/@rebeccachristiansen/5-new-non-fiction-books-by-women-to-gift-this-holiday-season-462ed55e31a0?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,A Gentleman’s Guide to Lady Novelists,Books,https://medium.com/@awsamuel/a-gentlemans-guide-to-lady-novelists-b4a517cb2f86?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,A Bookish Tea Tour of New York City,Books,https://medium.com/rebel-girls-book-club/a-bookish-tea-tour-of-new-york-city-a50cf17b5478?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,Why Books are Important,Books,https://medium.com/writers-blog/why-books-are-important-cab62ef9985f?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,Odysseus and You,Books,https://medium.com/snipette/odysseus-and-you-42521a492e54?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,Summary & Review: Utopia for Realists by Rutger Bregman,Books,https://medium.com/@econsystemsthinking/summary-review-utopia-for-realists-by-rutger-bregman-437c506f329c?source=topic_page---------15------------------1,-
Medium.com,Arts & Entertainment,3 Books Every Startup Employee Should Read,Books,https://medium.com/swlh/3-books-every-startup-employee-should-read-897f6e95800a?source=topic_page---------16------------------1,-
Medium.com,Arts & Entertainment,How a Bookstore Clerk Uncovered Stephen King’s Alias,Books,https://medium.com/@ahanson8842/how-a-bookstore-clerk-uncovered-stephen-kings-alias-edde59ac668c?source=topic_page---------17------------------1,-
Medium.com,Arts & Entertainment,What to Read Based on How You Like Your Kopi,Books,https://medium.com/publiclibrarysg/what-to-read-based-on-how-you-like-your-kopi-5b8a5cbbf547?source=topic_page---------18------------------1,-
Medium.com,Arts & Entertainment,5 Reasons Why You NEED To Let H.P. Lovecraft Corrupt Your Brain,Books,https://medium.com/the-snickering-skull/5-reasons-why-you-need-to-let-h-p-lovecraft-corrupt-your-brain-d4029a92d153?source=topic_page---------19------------------1,-
Medium.com,Arts & Entertainment,Rushing Through the Book “Know My Name”,Books,https://medium.com/@peggygillespiehazelwood/rushing-through-the-book-know-my-name-c7e637db5449?source=topic_page---------20------------------1,-
Medium.com,Arts & Entertainment,The Terrifying Uncertainty in Jeff VanderMeer’s Sci-Fi,Books,https://medium.com/nautilus-magazine/the-terrifying-uncertainty-in-jeff-vandermeers-sci-fi-1b6a47d8369?source=topic_page---------21------------------1,-
Medium.com,Arts & Entertainment,Learn the Essentials of Copywriting in 6 Minutes From This 93-Year-Old Book,Books,https://medium.com/better-marketing/learn-the-essentials-of-copywriting-in-6-minutes-from-this-93-year-old-book-bfce5ec1be36?source=topic_page---------22------------------1,-
