Source,Domain,Heading,Category,URL,Text
Medium.com,Industry,Why companies fail at Machine Learning,Business,https://medium.com/@pchojecki/why-companies-fail-at-machine-learning-cd4459e00668?source=topic_page---------0------------------1,-
Medium.com,Industry,The US opens investigation into TikTok’s parent company ByteDance,Business,https://medium.com/@themillennialsource/the-us-opens-investigation-into-tiktoks-parent-company-bytedance-604a614f4e8?source=topic_page---------1------------------1,-
Medium.com,Industry,Is Walgreens doomed? — Market Mad House,Business,https://medium.com/datadriveninvestor/is-walgreens-doomed-market-mad-house-86c75379c533?source=topic_page---------2------------------1,-
Medium.com,Industry,Why Aspiring Luxury Brands Should Try to Fake It Till They Make It,Business,https://medium.com/better-marketing/why-aspiring-luxury-brands-should-try-to-fake-it-till-they-make-it-c2ece88c8416?source=topic_page---------4------------------1,-
Medium.com,Industry,The Original Impact Investing: Faith-Based Funds,Business,https://medium.com/swlh/the-original-impact-investing-faith-based-funds-factor-tilt-or-marketing-ploy-89416b076d54?source=topic_page---------5------------------1,-
Medium.com,Industry,Facebook Investors Can’t Remove Mark Zuckerberg and that’s a Problem,Business,https://medium.com/swlh/facebook-investors-cant-remove-mark-zuckerberg-and-that-s-a-problem-f07d3ce7e113?source=topic_page---------6------------------1,-
Medium.com,Industry,"When You Work For Yourself, You Work For Everyone",Business,https://medium.com/@aarondinin/when-you-work-for-yourself-you-work-for-everyone-45dacf610802?source=topic_page---------7------------------1,-
Medium.com,Industry,WeWork Dropped the Best Idea They Had,Business,https://medium.com/swlh/wework-dropped-the-best-idea-they-had-bd37d087f24b?source=topic_page---------8------------------1,-
Medium.com,Industry,Americans Losing Their Trust in the Tech Industry,Business,https://medium.com/dice-insights/americans-losing-their-trust-in-the-tech-industry-84674486fa69?source=topic_page---------9------------------1,-
Medium.com,Industry,Netflixing the sport: The DAZN model,Business,https://medium.com/@theconsultancygroupswitzerland/netflixing-the-sport-the-dazn-model-dd1466e34790?source=topic_page---------10------------------1,-
Medium.com,Industry,Apple TV+’s Flops Prove TV Has To Be Controversial To Be Good,Business,https://medium.com/feministly/apple-tv-s-flops-prove-tv-has-to-be-controversial-to-be-good-fb0e1bf72f66?source=topic_page---------11------------------1,-
Medium.com,Industry,Will Venture Capital Vetting Change After WeWork’s Failed IPO?,Business,https://medium.com/swlh/will-venture-capital-vetting-change-after-weworks-failed-ipo-86d00e97bbf1?source=topic_page---------12------------------1,-
Medium.com,Industry,"Why Unilever’s Latest Mishap Needs More Attention, but for the Right Reasons",Business,https://medium.com/@sheranga.senanayake/why-unilevers-latest-mishap-needs-more-attention-but-for-the-right-reasons-658880bd615c?source=topic_page---------13------------------1,-
Medium.com,Industry,How US retailers are using tech now,Business,https://medium.com/@emsharley/how-us-retailers-are-using-tech-now-ffb0541b0bdd?source=topic_page---------14------------------1,-
Medium.com,Industry,How to deliver concrete business value with your data science team?,Business,https://towardsdatascience.com/how-to-deliver-concrete-business-value-with-your-data-science-team-6fe314475184?source=topic_page---------15------------------1,-
Medium.com,Industry,Riding Dirty: Waymo and the Climate Cost of Autonomous Mobility (as Currently Conceived),Business,https://medium.com/@joseph.wildey/riding-dirty-waymo-and-the-climate-cost-of-autonomous-mobility-as-currently-conceived-9fa34b4f76f4?source=topic_page---------16------------------1,-
Medium.com,Industry,What’s a dba and do I need one?,Business,https://medium.com/sprout-legal/whats-a-dba-and-do-i-need-one-2027141d6751?source=topic_page---------17------------------1,-
Medium.com,Industry,Rev Slashes Minimum Pay for Gig Workers,Business,https://onezero.medium.com/rev-slashes-minimum-pay-for-gig-workers-10baf9b68c54?source=topic_page---------18------------------1,-
Medium.com,Industry,Why Etsy Gives Its Social-Impact Goals Equal Standing With Its Financial Performance,Business,https://medium.com/fast-company/why-etsy-gives-its-social-impact-goals-equal-standing-with-its-financial-performance-a988788ec3f7?source=topic_page---------19------------------1,-
Medium.com,Industry,Disney Plus vs. Apple TV Plus? Now You Can Play Streaming Fantasy Sports,Business,https://marker.medium.com/disney-vs-apple-now-you-can-play-streaming-fantasy-sports-2bd69ca263ce?source=topic_page---------20------------------1,-
Medium.com,Industry,Just how far is Apple prepared to go in its transformation from product manufacturer to service…,Business,https://medium.com/enrique-dans/just-how-far-is-apple-prepared-to-go-in-its-transformation-from-product-manufacturer-to-service-7688707e9073?source=topic_page---------21------------------1,-
