Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Cities Should Look At Los Angeles’ History of Big Data Policing and Avoid Its Mistakes,Cities,https://medium.com/swlh/cities-should-look-at-los-angeles-history-of-big-data-policing-and-avoid-its-mistakes-e64d96760e15?source=topic_page---------0------------------1,-
Medium.com,Society,Cities captured by cars: Part 1 of ‘And you may find yourself behind the wheel of a large…,Cities,https://medium.com/butwhatwasthequestion/cities-captured-by-cars-part-1-of-and-you-may-find-yourself-behind-the-wheel-of-a-large-949cc00dd2bd?source=topic_page---------1------------------1,-
Medium.com,Society,A modern guide to living in NYC,Cities,https://medium.com/@SarahMcBride/a-modern-guide-to-living-in-nyc-64a65e3bb8bf?source=topic_page---------2------------------1,-
Medium.com,Society,"Ghosts, swings, and zoning",Cities,https://medium.com/@amydain/ghosts-swings-and-zoning-bc782c718e81?source=topic_page---------4------------------1,-
Medium.com,Society,Whitewashed: When Erasing a Mural Emboldens a Message,Cities,https://medium.com/@elizabethswebster/whitewashed-when-erasing-a-mural-emboldens-a-message-2aa07902e152?source=topic_page---------5------------------1,-
Medium.com,Society,What Design Can Do for Your City,Cities,https://modus.medium.com/what-design-can-do-for-the-city-884b3322f17f?source=topic_page---------6------------------1,-
Medium.com,Society,Looking For Leaders? Look At Smart Cities,Cities,https://medium.com/@CmccClimate/looking-for-leaders-look-at-smart-cities-d3bcb6b5a4d4?source=topic_page---------7------------------1,-
Medium.com,Society,Strengthening the Economy and Improving the Quality of Life: Infrastructure for a 21st Century New…,Cities,https://medium.com/@chrismcnickle/strengthening-the-economy-and-improving-the-quality-of-life-infrastructure-for-a-21st-century-new-7eae45482e29?source=topic_page---------8------------------1,-
Medium.com,Society,The City of the Homeless: Humanitarian Crisis on the Streets of Los Angeles,Cities,https://towardsdatascience.com/the-city-of-the-homeless-humanitarian-crisis-on-the-streets-of-los-angeles-1bdbef345e6c?source=topic_page---------9------------------1,-
Medium.com,Society,Finding My Home in Motown’s Margins,Cities,https://zora.medium.com/finding-my-home-in-motowns-margins-1c4d595d640d?source=topic_page---------10------------------1,-
Medium.com,Society,A New Yorker’s Guide to Embracing Diversity,Cities,https://medium.com/@melissatoldy/a-new-yorkers-guide-to-embracing-diversity-a8ff557601d?source=topic_page---------11------------------1,-
Medium.com,Society,It Takes a City and a Slice.,Cities,https://medium.com/@adrianavyoung/it-takes-a-city-and-a-slice-d44df01af21a?source=topic_page---------12------------------1,-
Medium.com,Society,Homelessness & Housing,Cities,https://medium.com/@congresscom/homelessness-housing-5cd11e6ba9e8?source=topic_page---------13------------------1,-
Medium.com,Society,A New Chapter in Broken Windows Theory: Bridging Cognitive Science and Criminology,Cities,https://becominghuman.ai/a-new-chapter-in-broken-windows-theory-bridging-cognitive-science-and-criminology-1bac64791c6b?source=topic_page---------14------------------1,-
Medium.com,Society,Why is it so hard to green the grid?,Cities,https://medium.com/sidewalk-talk/why-is-it-so-hard-to-green-the-grid-fd9d37c433d0?source=topic_page---------15------------------1,-
Medium.com,Society,The Politics of “MLK Boulevard” — Political Religions,Cities,https://medium.com/breakthrough1/the-politics-of-mlk-boulevard-political-religions-2ed6ebc4689e?source=topic_page---------16------------------1,-
Medium.com,Society,Google’s Partner Company Just Unveiled Its Controversial ‘Smart City’ for Toronto.,Cities,https://medium.com/inc./googles-partner-company-just-unveiled-its-controversial-smart-city-for-toronto-a99e4eb2dbbd?source=topic_page---------17------------------1,-
Medium.com,Society,The Sketchiest Bay Area Apartments You Can Rent in November,Cities,https://thebolditalic.com/the-sketchiest-bay-area-apartments-you-can-rent-in-november-61a7a23ba5a5?source=topic_page---------18------------------1,-
Medium.com,Society,Model Metropolis,Cities,https://medium.com/logic-magazine/model-metropolis-8b3c5783b7a4?source=topic_page---------19------------------1,-
Medium.com,Society,We’re Always Missing the Point,Cities,https://psiloveyou.xyz/were-always-missing-the-point-f49d4439f7a4?source=topic_page---------20------------------1,-
Medium.com,Society,Affordable Housing in NYC for Black Women Is a Crapshoot,Cities,https://zora.medium.com/affordable-housing-in-nyc-for-black-women-is-a-crapshoot-ff83162310c?source=topic_page---------21------------------1,-
Medium.com,Society,The Porch Pirate of Potrero Hill Can’t Believe It Came to This,Cities,https://medium.com/the-atlantic/the-porch-pirate-of-potrero-hill-cant-believe-it-came-to-this-c95858a24e8e?source=topic_page---------22------------------1,-
Medium.com,Society,"When Trump Doesn’t Pay His Bills, Crime Victims Pay",Cities,https://medium.com/@delanirbartlette/when-trump-doesnt-pay-his-bills-crime-victims-pay-20e492041a2e?source=topic_page---------23------------------1,-
Medium.com,Society,Why New York is a Lovingly Unlivable City,Cities,https://medium.com/@barnes.devynn/why-new-york-is-a-lovingly-unlivable-city-6747a12a39d2?source=topic_page---------24------------------1,-
Medium.com,Society,"Fast, Frequent and Reliable Mass Transit",Cities,https://medium.com/@brendon_harre/fast-frequent-and-reliable-mass-transit-dc97bdd1ce60?source=topic_page---------25------------------1,-
