Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Biometric Big Brother: Streaming Services Want Thumbprint Verification for Access,Cybersecurity,https://medium.com/extremetech-access/biometric-big-brother-streaming-services-want-thumbprint-verification-for-access-7926eb863396?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Fending off Hackers,Cybersecurity,https://medium.com/swlh/fending-off-hackers-f99ca1cd4696?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,"Building an End-to-End Encrypted Chatbot With Stream React Chat, Virgil Security, and Google…",Cybersecurity,https://medium.com/better-programming/building-an-end-to-end-encrypted-chatbot-with-stream-react-chat-virgil-security-and-google-c000bb585453?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,Fantastic Security Breaches and Where to Find Them,Cybersecurity,https://medium.com/@ctoemmel/fantastic-security-breaches-and-where-to-find-them-4a815cb27a61?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Ransomware: Every Industry’s Multimillion-Dollar Nightmare,Cybersecurity,https://medium.com/swlh/ransomware-every-industrys-multimillion-dollar-nightmare-df501f0781b6?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Russia’s new “sovereign internet” law gives the government sweeping power over the internet,Cybersecurity,https://medium.com/@themillennialsource/russias-new-sovereign-internet-law-gives-the-government-sweeping-power-over-the-internet-87b6c5383416?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,"When Windows 7 Dies, Don’t Rely on Microsoft to Keep Your PC Safe",Cybersecurity,https://medium.com/pcmag-access/when-windows-7-dies-dont-rely-on-microsoft-to-keep-your-pc-safe-c39822e5886f?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,Password Security And Thoughts On Authentication Methods,Cybersecurity,https://medium.com/datadriveninvestor/password-security-and-thoughts-on-authentication-methods-c5ff45864e78?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,When Bob Met Alice Who Met Carol,Cybersecurity,https://medium.com/asecuritysite-when-bob-met-alice/when-bob-met-alice-who-met-carol-27f36cc19d39?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Getting to Grips with JWT in ASP.NET Core,Cybersecurity,https://medium.com/swlh/getting-to-grips-with-jwt-in-asp-net-core-f43a6ffc4d94?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,Crypto Pairing By Example,Cybersecurity,https://medium.com/asecuritysite-when-bob-met-alice/crypto-pairing-by-example-77578158996d?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,The Steg Chronicles — In the Beginning,Cybersecurity,https://medium.com/swlh/the-steg-chronicles-in-the-beginning-8ee377be4772?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,"Apple Mail Stores Encrypted Emails in Plain Text Database, fix included!",Cybersecurity,https://medium.com/@boberito/apple-mail-stores-encrypted-emails-in-plain-text-database-fix-included-3c2369ce26d4?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,"Understand why do companies claim that their social networking apps, websites, UPI payments are…",Cybersecurity,https://medium.com/@kvvsuryavanshi/understand-why-do-companies-claim-that-their-social-networking-apps-websites-upi-payments-are-8e870871f353?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,"If Data Is the Fuel Our Digital World Runs On, Are We Having a Climate Crisis?",Cybersecurity,https://medium.com/datavisor/if-data-is-the-fuel-our-digital-world-runs-on-are-we-having-a-climate-crisis-5d8b8f523138?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,The five pillars of cyber security,Cybersecurity,https://medium.com/swlh/the-five-pillars-of-cyber-security-d247cd2e49cb?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,Best Encryption Protected Messaging Apps,Cybersecurity,https://medium.com/millennial-moderator/best-encryption-protected-messaging-apps-8fe7f45259e6?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,Everything is Broken,Cybersecurity,https://medium.com/fwd50/everything-is-broken-8627a848dcac?source=topic_page---------18------------------1,-
