Source,Domain,Heading,Category,URL,Text
Medium.com,Industry,Recycled Plastic Isn’t Going to Save Us,Design,https://medium.com/fast-company/recycled-plastic-isnt-going-to-save-us-68ed9409d218?source=topic_page---------0------------------1,-
Medium.com,Industry,Why you should incorporate mood boards into your design process,Design,https://medium.com/@PurpleGreenLemon/why-you-should-incorporate-mood-boards-into-your-design-process-5d7ce062c2b0?source=topic_page---------1------------------1,-
Medium.com,Industry,Not every designer can work at a user-driven corporation,Design,https://uxdesign.cc/not-every-designer-can-work-at-a-user-driven-corporation-918072c9ed44?source=topic_page---------2------------------1,-
Medium.com,Industry,"Design Tokens beyond colors, typography, and spacing.",Design,https://badootech.badoo.com/design-tokens-beyond-colors-typography-and-spacing-ad7c98f4f228?source=topic_page---------4------------------1,-
Medium.com,Industry,Foldable Devices: Should We Care?,Design,https://medium.com/swlh/foldable-devices-should-we-care-a847f37126f8?source=topic_page---------5------------------1,-
Medium.com,Industry,Does Everything Need to Be ‘Smart’?,Design,https://modus.medium.com/does-everything-need-to-be-smart-4bd4bbf08c64?source=topic_page---------6------------------1,-
Medium.com,Industry,"The Bauhaus Master Who Saw Photoshop Coming, 90 Years Ahead of Time",Design,https://medium.com/aiga-eye-on-design/the-bauhaus-master-who-saw-photoshop-coming-90-years-ahead-of-time-10eb599e5b1f?source=topic_page---------7------------------1,-
Medium.com,Industry,Why you should stop designing multiple proposals,Design,https://uxdesign.cc/why-you-should-stop-designing-multiple-proposals-ad7b08bfa7c7?source=topic_page---------8------------------1,-
Medium.com,Industry,10 rules of thumb in UI design,Design,https://uxdesign.cc/10-rules-of-thumb-in-ui-design-aa5f91885444?source=topic_page---------9------------------1,-
Medium.com,Industry,Inaccessibility is Everywhere: how can we fix it?,Design,https://medium.com/swlh/inaccessibility-is-everywhere-how-can-we-fix-it-502bc50133bb?source=topic_page---------10------------------1,-
Medium.com,Industry,ExplorAR: A Collaborative Augmented Reality Game Platform for Museums — Development Phase 1,Design,https://medium.com/swlh/explorar-a-collaborative-augmented-reality-game-platform-for-museums-development-phase-1-5224ce70d1c3?source=topic_page---------11------------------1,-
Medium.com,Industry,Agile is great-Scrum is OK-ish; If you work on software you should really understand the difference,Design,https://medium.com/@seandexter1/agile-is-great-ecf271f4e9a6?source=topic_page---------12------------------1,-
Medium.com,Industry,"How I joined Google as a new grad designer, and what I learned from it",Design,https://uxdesign.cc/how-i-joined-google-as-a-new-grad-designer-and-what-i-learned-from-it-525d10c9b796?source=topic_page---------13------------------1,-
Medium.com,Industry,How being HSP shapes my creative career,Design,https://uxdesign.cc/how-being-hsp-shapes-my-creative-career-54d8ec7e0b1a?source=topic_page---------14------------------1,-
Medium.com,Industry,Sustainability without compromise,Design,https://medium.com/swlh/sustainability-without-compromise-9e4655c3095d?source=topic_page---------15------------------1,-
Medium.com,Industry,Holistic vs. feature design: how to stop shipping only individual features,Design,https://uxdesign.cc/holistic-vs-feature-design-how-to-advocate-for-holistic-design-49f2ffe53273?source=topic_page---------16------------------1,-
Medium.com,Industry,The Creatively Tense Power of Doing Things the Wrong Way,Design,https://medium.com/tedium/the-creatively-tense-power-of-doing-things-the-wrong-way-9d80c543bf5d?source=topic_page---------17------------------1,-
Medium.com,Industry,A Guide to Working With Product Owners,Design,https://modus.medium.com/a-guide-to-working-with-product-owners-8be2f11068d7?source=topic_page---------18------------------1,-
Medium.com,Industry,5 Ways to Build a More Impactful Product Design Team,Design,https://medium.com/swlh/5-ways-to-build-a-more-impactful-product-design-team-ea4712783c44?source=topic_page---------19------------------1,-
Medium.com,Industry,What Design Can Do for Your City,Design,https://modus.medium.com/what-design-can-do-for-the-city-884b3322f17f?source=topic_page---------20------------------1,-
Medium.com,Industry,Why Some Products Stick With Us,Design,https://modus.medium.com/why-some-products-stick-with-us-4aed1206376d?source=topic_page---------21------------------1,-
Medium.com,Industry,"I made a great portfolio from scratch in less than a week, and you can too!",Design,https://uxdesign.cc/i-made-a-great-portfolio-from-scratch-in-less-than-a-week-and-you-can-too-1eb1a175d0f7?source=topic_page---------22------------------1,-
Medium.com,Industry,What Your Designers Wish They Could Tell You,Design,https://modus.medium.com/what-your-designers-wish-they-could-tell-you-70ceb93a1963?source=topic_page---------23------------------1,-
Medium.com,Industry,"Tel Aviv, a showcase for Modernist architecture",Design,https://medium.com/voyages/tel-aviv-a-showcase-for-modernist-architecture-a651b00597bc?source=topic_page---------24------------------1,-
Medium.com,Industry,Following Steve Jobs: Lessons From a College Typography Class,Design,https://uxdesign.cc/following-steve-jobs-lessons-from-a-college-typography-class-4f9a603bc964?source=topic_page---------25------------------1,-
Medium.com,Industry,Fast Food as Design Standard,Design,https://medium.com/swlh/fast-food-as-design-standard-6de97819b431?source=topic_page---------26------------------1,-
Medium.com,Industry,"When Technology Fails, Who’s Responsible?",Design,https://modus.medium.com/when-technology-fails-whos-responsible-62647e90d1f9?source=topic_page---------27------------------1,-
Medium.com,Industry,"Why some designs look messy, and others don’t",Design,https://uxdesign.cc/why-some-designs-look-messy-and-others-dont-1755b8ce22ff?source=topic_page---------28------------------1,-
Medium.com,Industry,Empowering our farmers — a UX case study,Design,https://uxdesign.cc/empowering-our-farmers-a-case-study-b1959cb58eef?source=topic_page---------29------------------1,-
Medium.com,Industry,"Brutalism: Architectural Movement, or Steamroller of Souls?",Design,https://modus.medium.com/my-morning-in-brutalism-2ec13a1c1d34?source=topic_page---------30------------------1,-
Medium.com,Industry,Paint It Black: 7 Dark & Moody Kitchens to Enjoy All Year Long,Design,https://medium.com/studio-dearborn-kitchen-design-journal/paint-it-black-7-dark-moody-kitchens-to-enjoy-all-year-long-e21fdbbdd2cf?source=topic_page---------31------------------1,-
Medium.com,Industry,Resimercial Design: The New Path to Workplace Creativity,Design,https://medium.com/swlh/resimercial-design-the-new-path-to-workplace-creativity-bde72737364a?source=topic_page---------32------------------1,-
Medium.com,Industry,Using elements of Japanese aesthetics,Design,https://medium.com/swlh/using-elements-of-japanese-aesthetics-ed0c2e07ec0e?source=topic_page---------33------------------1,-
