Source,Domain,Heading,Category,URL,Text
Medium.com,Life,"Be a bridge builder, not just an ally",Disability,https://medium.com/@johunt0311/be-a-bridge-builder-not-just-an-ally-a80090e3c0a7?source=topic_page---------0------------------1,-
Medium.com,Life,Audism: The Unseen Prejudice,Disability,https://medium.com/live-deaf/audism-the-unseen-prejudice-7accd5a2ebbe?source=topic_page---------1------------------1,-
Medium.com,Life,I Have a Disability — That Doesn’t Mean I’m Suffering From It,Disability,https://medium.com/an-injustice/i-have-a-disability-that-doesnt-mean-i-m-suffering-from-it-2c3f7f7f605a?source=topic_page---------2------------------1,-
Medium.com,Life,Inaccessibility is Everywhere: how can we fix it?,Disability,https://medium.com/swlh/inaccessibility-is-everywhere-how-can-we-fix-it-502bc50133bb?source=topic_page---------4------------------1,-
Medium.com,Life,"Why Yes, Both of My Parents Are Blind",Disability,https://medium.com/@BrailleWorks/why-yes-both-of-my-parents-are-blind-51b532af038?source=topic_page---------5------------------1,-
Medium.com,Life,The Endless Recovery From the Endless War,Disability,https://medium.com/new-york-magazine/the-endless-recovery-from-the-endless-war-a8eb7c67db63?source=topic_page---------6------------------1,-
Medium.com,Life,The Moment Therapy Brought Me Back To Life After My Stroke,Disability,https://medium.com/@harshadarajani/the-moment-therapy-brought-me-back-to-like-85ee5be45257?source=topic_page---------7------------------1,-
Medium.com,Life,Driving with Autism is Awkard AF,Disability,https://medium.com/honestly-yours/driving-with-autism-is-awkard-af-bb35b3c483?source=topic_page---------8------------------1,-
Medium.com,Life,Five Things I’ve Learned While Parenting Autistic Kids,Disability,https://medium.com/@sarahstoltzfusallen/five-things-ive-learned-while-parenting-autistic-kids-ef13c26c8fc2?source=topic_page---------9------------------1,-
Medium.com,Life,"My Child is Not Broken, Our Education System Is",Disability,https://medium.com/age-of-awareness/my-child-is-not-broken-our-education-system-is-567c6b905453?source=topic_page---------10------------------1,-
Medium.com,Life,Opening Up About Mental Health When it Might Ruin Your Career,Disability,https://medium.com/the-ascent/opening-up-about-mental-health-when-it-might-ruin-your-career-6b0ed45af04d?source=topic_page---------11------------------1,-
Medium.com,Life,The Evolution of the Sibling Perspective,Disability,https://medium.com/@ali.gentry/the-evolution-of-the-sibling-perspective-22a5fe8f733e?source=topic_page---------12------------------1,-
Medium.com,Life,Lost in Translation,Disability,https://medium.com/the-walkley-magazine/lost-in-translation-33e82a78f70?source=topic_page---------13------------------1,-
Medium.com,Life,The Gifts We Have Lost,Disability,https://medium.com/swlh/the-gifts-we-have-lost-58211fcca741?source=topic_page---------14------------------1,-
Medium.com,Life,Do Blue Pumpkins Really Raise Acceptance For Autism?,Disability,https://medium.com/@nichollegillian/do-blue-pumpkins-really-raise-acceptance-for-autism-a01868a3789c?source=topic_page---------15------------------1,-
Medium.com,Life,Kindness is Not Created Equal.,Disability,https://medium.com/@elizabeth_87041/kindness-is-not-created-equal-4a37221761c2?source=topic_page---------16------------------1,-
Medium.com,Life,The Deaf Culture Hates Being Politically Correct,Disability,https://medium.com/live-deaf/the-deaf-culture-hates-being-politically-correct-228234cf74cb?source=topic_page---------17------------------1,-
Medium.com,Life,Re-Negotiating Perfectionism,Disability,https://medium.com/swlh/re-negotiating-perfectionism-96cc9f50bb73?source=topic_page---------18------------------1,-
Medium.com,Life,Fall Fun without Sensory Overload,Disability,https://medium.com/@BrailleWorks/fall-fun-without-sensory-overload-ee9e56e44776?source=topic_page---------19------------------1,-
Medium.com,Life,Forgiving My Disability,Disability,https://psiloveyou.xyz/forgiving-my-disability-e79e91424bb9?source=topic_page---------20------------------1,-
Medium.com,Life,What It’s Like Learning to Drive At 26 With A Physical Disability,Disability,https://medium.com/@miss_marisa/what-its-like-learning-to-drive-at-26-with-a-physical-disability-c0a796eec316?source=topic_page---------21------------------1,-
Medium.com,Life,I’m a Tired Writer with Autism Burnout,Disability,https://medium.com/honestly-yours/im-a-tired-writer-with-autism-burnout-fdf4f4f54707?source=topic_page---------22------------------1,-
Medium.com,Life,I Don’t Want to be Your Inspira-porn,Disability,https://medium.com/an-injustice/i-dont-want-to-be-your-inspira-porn-364f18e7ed30?source=topic_page---------23------------------1,-
Medium.com,Life,Dyslexic Entrepreneurs Are Successful By Any Measure. It’s All in the Way We Think.,Disability,https://medium.com/swlh/dyslexic-entrepreneurs-are-successful-by-any-measure-its-all-in-the-way-we-think-9d8ce9562ca3?source=topic_page---------24------------------1,-
Medium.com,Life,Snooze Button: How my Autistic Daughter Helps Me See Through The System,Disability,https://medium.com/@melaniejaynemakovsky/snooze-button-how-my-autistic-daughter-helps-me-see-through-the-system-acec06eb9a53?source=topic_page---------25------------------1,-
Medium.com,Life,The Huge Underserved Market for Accessible Fashion,Disability,https://modus.medium.com/how-innovative-designers-are-creating-better-fashion-for-people-with-disabilities-48ce78ee1970?source=topic_page---------26------------------1,-
Medium.com,Life,"As a Parent With a Disability, I Focus on What I Can Do Instead of What I Can’t",Disability,https://medium.com/apparently/parenting-with-a-disability-means-focusing-on-what-i-can-do-instead-of-what-i-cant-2d794b78ed3f?source=topic_page---------27------------------1,-
Medium.com,Life,How can I help my students set effective communication goals?,Disability,https://medium.com/@drwilliamlane/how-can-i-help-my-students-set-effective-communication-goals-6b5792eb7afe?source=topic_page---------28------------------1,-
Medium.com,Life,Please Stop Trying to Make My Child Normal,Disability,https://medium.com/be-unique/please-stop-trying-to-make-my-child-normal-fd71e934f2a?source=topic_page---------29------------------1,-
Medium.com,Life,The Invisible People,Disability,https://medium.com/@DebbieWalker59/the-invisible-people-248a1bd6a7b2?source=topic_page---------30------------------1,-
Medium.com,Life,3 Reasons I am Grateful for My Disability.,Disability,https://medium.com/swlh/3-reasons-i-am-grateful-for-my-disability-c5be9cbbf7fd?source=topic_page---------31------------------1,-
Medium.com,Life,Disability Microagressions-AKA “Ableist things people say”,Disability,https://medium.com/@sheribyrnehaber/disability-microagressions-aka-ableist-things-people-say-89c3fffd11a1?source=topic_page---------32------------------1,-
Medium.com,Life,Inside ADHD,Disability,https://medium.com/@rydercarroll/inside-adhd-55b9618cd708?source=topic_page---------33------------------1,-
Medium.com,Life,"If You Have Hearing Loss, Visit A Deaf School When You Travel",Disability,https://medium.com/voices-through-silence/if-you-have-hearing-loss-visit-a-deaf-school-when-you-travel-9e999425ac9d?source=topic_page---------34------------------1,-
Medium.com,Life,Deafness and Discrimination in the Workplace,Disability,https://medium.com/@drjennybeck/deafness-and-discrimination-in-the-workplace-de5c5a2f2878?source=topic_page---------35------------------1,-
Medium.com,Life,You don’t get a “pass” to discriminate against people with disabilities in an emergency,Disability,https://medium.com/@sheribyrnehaber/you-dont-get-a-pass-to-discriminate-against-people-with-disabilities-in-an-emergency-d828efb86c84?source=topic_page---------36------------------1,-
Medium.com,Life,Motor Planning,Disability,https://medium.com/@brooksidevic/motor-planning-3bfe11a6d66f?source=topic_page---------37------------------1,-
Medium.com,Life,Chronic Pain Doesn’t Have to Last Forever,Disability,https://medium.com/@adamkellerman1/chronic-pain-doesnt-have-to-last-forever-dc198edca403?source=topic_page---------38------------------1,-
Medium.com,Life,A Case Against Domino’s Reveals a Slice of the Internet’s Accessibility Issues,Disability,https://onezero.medium.com/a-case-against-dominos-reveals-a-slice-of-the-internet-s-accessibility-issues-4b414c4e75?source=topic_page---------39------------------1,-
Medium.com,Life,Having My Groceries Delivered Is an Act of Self Love,Disability,https://medium.com/invisible-illness/having-my-groceries-delivered-is-an-act-of-self-love-de87cb16dc36?source=topic_page---------40------------------1,-
Medium.com,Life,Cochlear Implants as a Forecast for the Future of the Neurotech Field,Disability,https://medium.com/neurotech-berkeley/cochlear-implants-as-a-forecast-for-the-future-of-the-neurotech-field-d391d2d8cfc6?source=topic_page---------41------------------1,-
