Source,Domain,Heading,Category,URL,Text
Medium.com,Industry,We Need to Move Away from Neoliberalism,Economy,https://medium.com/@nadinbrzezinski/we-need-to-move-away-from-neoliberalism-b2a117db44cb?source=topic_page---------0------------------1,-
Medium.com,Industry,Marx’s Theory of Exploitation,Economy,https://arcdigital.media/marxs-theory-of-exploitation-df9ca35feb?source=topic_page---------1------------------1,-
Medium.com,Industry,Warren’s wealth tax would raise less than she claims — even using her economists’ own assumptions,Economy,https://medium.com/@MaxGhenis/warrens-wealth-tax-would-raise-less-than-she-claims-even-using-her-economists-own-assumptions-bea43840bc0a?source=topic_page---------2------------------1,-
Medium.com,Industry,What if Human Capital Was a Tangible Asset?,Economy,https://medium.com/@amsilverny/what-if-human-capital-was-a-tangible-asset-d0dbd10022fa?source=topic_page---------4------------------1,-
Medium.com,Industry,Trump Needs China Trade Deal to Save Christmas,Economy,https://medium.com/goods-services/trump-needs-china-trade-deal-to-save-christmas-405c7ba3caef?source=topic_page---------5------------------1,-
Medium.com,Industry,Reinventing Economic Theory: Behavioural Economics,Economy,https://medium.com/discourse/reinventing-economic-theory-behavioural-economics-8f1b4e3e6284?source=topic_page---------6------------------1,-
Medium.com,Industry,Machine Learning for Day Trading,Economy,https://towardsdatascience.com/machine-learning-for-day-trading-27c08274df54?source=topic_page---------7------------------1,-
Medium.com,Industry,The Evolving Role Of Information In High Speed Trading,Economy,https://medium.com/swlh/the-evolving-role-of-information-in-high-speed-trading-68d9be3c5995?source=topic_page---------8------------------1,-
Medium.com,Industry,The Unparalleled Genius of John von Neumann,Economy,https://medium.com/cantors-paradise/the-unparalleled-genius-of-john-von-neumann-791bb9f42a2d?source=topic_page---------9------------------1,-
Medium.com,Industry,Why McDonald’s Failed in Iceland,Economy,https://medium.com/better-marketing/why-mcdonalds-failed-in-iceland-769544c08898?source=topic_page---------10------------------1,-
