Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Groceries or Graduation?,Education,https://medium.com/the-future-of-education/groceries-or-graduation-e8d5a6d74580?source=topic_page---------0------------------1,-
Medium.com,Society,Are You Ready for a PhD?,Education,https://medium.com/@mina.mekhail/are-you-ready-for-a-phd-150a3835861?source=topic_page---------1------------------1,-
Medium.com,Society,Education Systems: The Source and Alleviation of Wicked Problems,Education,https://medium.com/@joepucci/education-systems-the-source-and-alleviation-of-wicked-problems-67dc0a0e34ea?source=topic_page---------2------------------1,-
Medium.com,Society,What You Don’t Learn in Data Science Bootcamps,Education,https://towardsdatascience.com/what-you-dont-learn-in-data-science-bootcamps-abfd1af60a9e?source=topic_page---------4------------------1,-
Medium.com,Society,Girls and Boys Have the Same Math Ability,Education,https://medium.com/@enricosayo/boys-and-girls-are-equally-good-in-math-68376f4d3123?source=topic_page---------5------------------1,-
Medium.com,Society,We Need to Move Away from Neoliberalism,Education,https://medium.com/@nadinbrzezinski/we-need-to-move-away-from-neoliberalism-b2a117db44cb?source=topic_page---------6------------------1,-
Medium.com,Society,My Whole Life is Work,Education,https://medium.com/@stephanietodd_21734/my-whole-life-is-work-245c8ee19e49?source=topic_page---------7------------------1,-
Medium.com,Society,The Invisible Pressure: Creating a Culture of Competition Over Learning,Education,https://medium.com/student-voice/the-invisible-pressure-creating-a-culture-of-competition-over-learning-8941005d2127?source=topic_page---------8------------------1,-
Medium.com,Society,Here Is Where The Heart Is,Education,https://medium.com/@erindavisvaldez/here-is-where-the-heart-is-b0a407e224a6?source=topic_page---------9------------------1,-
Medium.com,Society,Coaching and Learning Styles,Education,https://medium.com/@fareforwardtraining/coaching-and-learning-styles-b8d421dcdb6?source=topic_page---------10------------------1,-
Medium.com,Society,In Praise Of The Career Changer,Education,https://towardsdatascience.com/in-praise-of-the-career-changer-d734a39de1d9?source=topic_page---------11------------------1,-
Medium.com,Society,Fitting a Square Peg into a Round Hole,Education,https://medium.com/@cronqnroll/fitting-a-square-peg-into-a-round-hole-987b87f7c716?source=topic_page---------12------------------1,-
Medium.com,Society,Bring Gaming to Classrooms Already,Education,https://gen.medium.com/games-should-be-a-subject-in-school-equally-as-important-as-english-or-math-56397d4c7f12?source=topic_page---------13------------------1,-
Medium.com,Society,Words from a Failed School Administrator,Education,https://medium.com/swlh/words-from-a-failed-school-administrator-3fb641f93101?source=topic_page---------14------------------1,-
Medium.com,Society,Should you do a PhD?,Education,https://medium.com/@pchojecki/should-you-do-a-phd-dfe5691fd8aa?source=topic_page---------15------------------1,-
Medium.com,Society,Your Future Starts Here —  But No Pressure,Education,https://medium.com/student-voice/your-future-starts-here-but-no-pressure-1e24ff8da84d?source=topic_page---------16------------------1,-
Medium.com,Society,Managing Academic Stress in Schools Today,Education,https://medium.com/student-voice/managing-academic-stress-in-schools-today-a8a3db25b0d9?source=topic_page---------17------------------1,-
Medium.com,Society,Let’s Harness the Untapped Power of Community Colleges,Education,https://medium.com/black-intellect-journal/lets-harness-the-untapped-power-of-community-colleges-db8df94afe1a?source=topic_page---------18------------------1,-
Medium.com,Society,STEMerica: Roaring Into The 2020s,Education,https://medium.com/@stemceo/stemerica-roaring-into-the-2020s-517414fd8ba7?source=topic_page---------19------------------1,-
Medium.com,Society,Disrupting the Teacher Hero Narrative with This Story Instead,Education,https://medium.com/@bethpandolpho/disrupting-the-teacher-hero-narrative-with-this-story-instead-fbafc287cbb5?source=topic_page---------20------------------1,-
Medium.com,Society,Notes From Graduate School,Education,https://psiloveyou.xyz/notes-from-graduate-school-56c738b47910?source=topic_page---------21------------------1,-
Medium.com,Society,How to Explain Systemic Racism to a 12-Year-Old,Education,https://medium.com/swlh/how-to-explain-systemic-racism-to-a-12-year-old-70862e9667a0?source=topic_page---------22------------------1,-
Medium.com,Society,Empowering Kids Will Take Them Further Than Enabling,Education,https://medium.com/the-ascent/empowering-kids-will-take-them-further-than-enabling-2014ac45bc1e?source=topic_page---------23------------------1,-
Medium.com,Society,We’re Failing to Protect Marginalized Kids in Schools. Here’s Why.,Education,https://medium.com/@jorjorian/were-failing-to-protect-marginalized-kids-in-schools-here-s-why-edb4de96d2d3?source=topic_page---------24------------------1,-
Medium.com,Society,Communication: a vital skill for success,Education,https://medium.com/med-daily/communication-a-vital-skill-for-success-237ae38bdc89?source=topic_page---------25------------------1,-
Medium.com,Society,The Art Of Not Knowing: Language Learning Beyond Practice & Talent,Education,https://medium.com/swlh/the-art-of-not-knowing-language-learning-beyond-practice-talent-e6b162a05eab?source=topic_page---------26------------------1,-
Medium.com,Society,Teachers should be Neutral!,Education,https://medium.com/nonsense-or-not/teachers-should-be-neutral-fa056e932f36?source=topic_page---------27------------------1,-
Medium.com,Society,Graduating Middle Class: Colleges’ Hidden Obstacles for Middle Income Students,Education,https://medium.com/student-voice/graduating-middle-class-colleges-hidden-obstacles-for-middle-income-students-248c0c9d5093?source=topic_page---------28------------------1,-
Medium.com,Society,This Can Make or Break Your School’s Success with 1:1 Technology,Education,https://medium.com/@sbuchanan_43299/this-can-make-or-break-your-schools-success-with-1-1-technology-902b1d9c8edb?source=topic_page---------29------------------1,-
Medium.com,Society,Google Slides in the Classroom,Education,https://medium.com/@trandavidc/google-slides-in-the-classroom-4a3cc97968a6?source=topic_page---------30------------------1,-
Medium.com,Society,How Making Monsters Made Me Less Afraid to Fail,Education,https://medium.com/swlh/how-making-monsters-made-me-less-afraid-to-fail-3f8c2a0782b1?source=topic_page---------31------------------1,-
Medium.com,Society,Finding a Better Recommendation Letter Approach,Education,https://medium.com/@marknepper/finding-a-better-recommendation-letter-approach-8b5dbc4ce806?source=topic_page---------32------------------1,-
Medium.com,Society,Ultraprocessed Food Is Linked to Obesity and Disease — So Why Are We Feeding It to Our Kids?,Education,https://heated.medium.com/ultraprocessed-food-is-linked-to-obesity-and-disease-so-why-are-we-feeding-it-to-our-kids-9d90bc1eafc?source=topic_page---------33------------------1,-
Medium.com,Society,Students Shouldn’t Be Ashamed to Eat Lunch,Education,https://heated.medium.com/lunch-shaming-can-be-traumatic-for-a-kid-i-know-because-i-was-one-of-them-12bf08deca5e?source=topic_page---------34------------------1,-
Medium.com,Society,The World Needs More Problem Solvers,Education,https://medium.com/humble-ventures/the-world-needs-more-problem-solvers-8cef6d4945cf?source=topic_page---------35------------------1,-
Medium.com,Society,How Sesame Street Changed Television and My Life,Education,https://medium.com/fast-company/how-sesame-street-changed-television-and-my-life-f694c597539e?source=topic_page---------36------------------1,-
