Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Joe Biden Plus Elizabeth Warren Equals Michael Bloomberg,Election 2020,https://medium.com/@munrkazmir/joe-biden-plus-elizabeth-warren-equals-michael-bloomberg-376f7896d67c?source=topic_page---------0------------------1,-
Medium.com,Society,Why are people comparing Buttigieg and Obama…and is it helpful?,Election 2020,https://medium.com/@georgeej111/why-are-people-comparing-buttigieg-and-obama-and-is-it-helpful-6e42b846d073?source=topic_page---------1------------------1,-
Medium.com,Society,Misinformation Attacks During the October 2019 Presidential Debates,Election 2020,https://medium.com/@nir_69150/misinformation-attacks-during-the-october-2019-presidential-debates-506264d01c12?source=topic_page---------2------------------1,-
Medium.com,Society,Lack of Foreign Policy Discussion Reveals Insincerity of Immigration Debate,Election 2020,https://medium.com/discourse/lack-of-foreign-policy-discussion-reveals-insincerity-of-immigration-debate-3f870a22d213?source=topic_page---------4------------------1,-
Medium.com,Society,Fighting Corporate Perjury,Election 2020,https://medium.com/@teamwarren/fighting-corporate-perjury-2346950a08b8?source=topic_page---------5------------------1,-
Medium.com,Society,"Why Story, Not Science, is Our Best Hope for Surviving 2020",Election 2020,https://medium.com/@jodi_barnes/why-story-not-science-is-our-best-hope-for-surviving-2020-e2ad9fd4fd65?source=topic_page---------6------------------1,-
Medium.com,Society,"Elizabeth Warren, Embrace Your Anger.",Election 2020,https://medium.com/discourse/elizabeth-warren-embrace-your-anger-3fa92acc46e1?source=topic_page---------7------------------1,-
Medium.com,Society,Statement by Vice President Joe Biden on the 30th Anniversary of the Fall of the Berlin Wall,Election 2020,https://medium.com/@JoeBiden/statement-by-vice-president-joe-biden-on-the-30th-anniversary-of-the-fall-of-the-berlin-wall-e24260143594?source=topic_page---------8------------------1,-
Medium.com,Society,The Fight of our Lives: Elizabeth Warren & Medicare for All,Election 2020,https://medium.com/@nathaniel_hundt/the-fight-of-our-lives-elizabeth-warren-medicare-for-all-a8e74d4f11a3?source=topic_page---------9------------------1,-
Medium.com,Society,Is Michael Bloomberg The Answer?,Election 2020,https://medium.com/@ericjscholl/is-michael-bloomberg-the-answer-ed16070fc3f6?source=topic_page---------10------------------1,-
Medium.com,Society,The Double Standard For Democrats,Election 2020,https://medium.com/@tidalsoundings/the-double-standard-for-democrats-9e686be8c3ed?source=topic_page---------11------------------1,-
Medium.com,Society,"By All Means Mr. Bloomberg, Run For President.",Election 2020,https://medium.com/discourse/by-all-means-mr-bloomberg-run-for-president-503935e0cd73?source=topic_page---------12------------------1,-
Medium.com,Society,"Heartbreak, Hope, and Elizabeth Warren",Election 2020,https://medium.com/@samosherson/heartbreak-hope-and-elizabeth-warren-187452feaa9d?source=topic_page---------13------------------1,-
Medium.com,Society,Kamala Harris’ Plan to Extend School Hours Is Good — for White-Collar Parents,Election 2020,https://gen.medium.com/kamala-harris-plan-to-extend-school-hours-is-good-for-white-collar-parents-b538e1043401?source=topic_page---------14------------------1,-
Medium.com,Society,Code-switching in politics and the subtle branding behind “keeping it real”,Election 2020,https://medium.com/@apandit/code-switching-in-politics-and-the-subtle-branding-behind-keeping-it-real-16fe91385f26?source=topic_page---------15------------------1,-
Medium.com,Society,Democratic Blind Spots Give Trump an Advantage in 2020,Election 2020,https://medium.com/@munrkazmir/democratic-blind-spots-give-trump-an-advantage-in-2020-b628d35bbbcb?source=topic_page---------16------------------1,-
Medium.com,Society,"Yes, this was a Blue Wave and it shows Democrats have changed their old ways.",Election 2020,https://medium.com/@georgeej111/yes-this-was-a-blue-wave-and-it-shows-democrats-have-changed-their-old-ways-559fb7075d07?source=topic_page---------17------------------1,-
Medium.com,Society,Mitch McConnell is in Trouble.,Election 2020,https://medium.com/discourse/mitch-mcconnell-is-in-trouble-f5e65578360d?source=topic_page---------18------------------1,-
Medium.com,Society,We Always Give Democrats Grief For “Selling” Smaller-Than-Expected Losses As Wins,Election 2020,https://medium.com/discourse/we-always-give-democrats-grief-for-selling-smaller-than-expected-losses-as-wins-da77068523?source=topic_page---------19------------------1,-
Medium.com,Society,How Democrats Flipped the Hell Out of Virginia,Election 2020,https://gen.medium.com/how-democrats-flipped-the-hell-out-of-virginia-ef47d6257e78?source=topic_page---------20------------------1,-
Medium.com,Society,What Sanders and Warren Don’t Get About Work,Election 2020,https://gen.medium.com/democrats-big-labor-plans-have-a-big-hole-in-them-9e0fdc2010fe?source=topic_page---------21------------------1,-
Medium.com,Society,The Illusion of Ending Division,Election 2020,https://medium.com/@Tammy_Beth/the-illusion-of-ending-division-5d29c3a3fd1b?source=topic_page---------22------------------1,-
Medium.com,Society,The Hater’s Guide to Mayor Pete,Election 2020,https://gen.medium.com/the-haters-guide-to-mayor-pete-d383ebd94bb5?source=topic_page---------23------------------1,-
Medium.com,Society,I Have Fought for the Democratic Party My Whole Career,Election 2020,https://medium.com/@JoeBiden/i-have-fought-for-the-democratic-party-my-whole-career-2ca4a2dac271?source=topic_page---------24------------------1,-
Medium.com,Society,Should Democrats Panic About Elizabeth Warren’s Chances Against Trump?,Election 2020,https://medium.com/new-york-magazine/should-democrats-panic-about-elizabeth-warrens-chances-against-trump-fc2a36757c0c?source=topic_page---------25------------------1,-
Medium.com,Society,Growing influence of Latino donors is on the rise in the United States.,Election 2020,https://medium.com/plus-three/growing-influence-of-latino-donors-is-on-the-rise-in-the-united-states-f4b133e0864b?source=topic_page---------26------------------1,-
Medium.com,Society,"Keeping Our Promises to Our Service Members, Veterans, and Military Families",Election 2020,https://medium.com/@teamwarren/keeping-our-promises-to-our-service-members-veterans-and-military-families-f582fa299240?source=topic_page---------27------------------1,-
Medium.com,Society,What Beto Did Wrong.,Election 2020,https://medium.com/discourse/what-beto-did-wrong-3cc2f7009fbf?source=topic_page---------28------------------1,-
Medium.com,Society,Democratic Candidates 2020: Agriculture and Rural America Report,Election 2020,https://medium.com/@abering00/democratic-candidates-2020-agriculture-and-rural-america-report-ff28faf2668d?source=topic_page---------29------------------1,-
Medium.com,Society,The American Left has to get angry,Election 2020,https://medium.com/@josephcrossleyemail/the-american-left-has-to-get-angry-6ec6e392469e?source=topic_page---------30------------------1,-
Medium.com,Society,Your Comfort Is Not My Concern,Election 2020,https://medium.com/@marleyk/your-comfort-is-not-my-concern-d9ee1918141c?source=topic_page---------31------------------1,-
Medium.com,Society,Why Betomania Failed To Sweep The US,Election 2020,https://medium.com/high-key/why-betomania-failed-to-sweep-the-us-dff818fb749d?source=topic_page---------32------------------1,-
Medium.com,Society,"No, Facebook Should Not Ban Political Ads",Election 2020,https://gen.medium.com/a-knee-jerk-reaction-that-could-hand-trump-the-election-c002a0ff11e2?source=topic_page---------33------------------1,-
Medium.com,Society,Should We Trust Presidential Candidates Who Promise to Honor Native Treaties?,Election 2020,https://zora.medium.com/democratic-presidential-candidates-promise-to-honor-native-treaties-should-we-trust-them-fca0a3c02b55?source=topic_page---------34------------------1,-
