Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Coercion is Not Consent,Equality,https://medium.com/@GoodMenProject/coercion-is-not-consent-46822a7bd727?source=topic_page---------0------------------1,-
Medium.com,Society,The Ongoing Political and Racial Fire Continues.,Equality,https://medium.com/the-polis/the-ongoing-political-and-racial-fire-continues-69393f5a7935?source=topic_page---------1------------------1,-
Medium.com,Society,It’s Good Men are Afraid of Being #MeToo’d,Equality,https://medium.com/an-injustice/its-good-men-are-afraid-of-being-metoo-d-5ef898ff59b2?source=topic_page---------2------------------1,-
Medium.com,Society,“OK Boomer” Blows the Lid off Age-Based Identity Politics — Political Religions,Equality,https://medium.com/breakthrough1/ok-boomer-blows-the-lid-off-age-based-identity-politics-political-religions-56256b470e2d?source=topic_page---------4------------------1,-
Medium.com,Society,Investigating institutional betrayal in the wake of #MeToo,Equality,https://medium.com/swlh/investigating-institutional-betrayal-in-the-wake-of-metoo-b22e377d87ba?source=topic_page---------5------------------1,-
Medium.com,Society,I’m An Uncultured White Girl,Equality,https://medium.com/an-injustice/im-an-uncultured-white-girl-f9e2e2764a00?source=topic_page---------6------------------1,-
Medium.com,Society,We Need to Move Away from Neoliberalism,Equality,https://medium.com/@nadinbrzezinski/we-need-to-move-away-from-neoliberalism-b2a117db44cb?source=topic_page---------7------------------1,-
Medium.com,Society,It’s OK to Not Know Yourself,Equality,https://medium.com/@transphilosophr/its-ok-to-not-know-yourself-6d4e7aa0cd1a?source=topic_page---------8------------------1,-
Medium.com,Society,Don’t Poke Holes in Potential,Equality,https://medium.com/@megan.housekeeper/dont-poke-holes-in-potential-50d3f85d228b?source=topic_page---------9------------------1,-
Medium.com,Society,What It Means to Walk Around a City Without Purpose,Equality,https://zora.medium.com/what-it-means-to-walk-around-a-city-without-purpose-6c84630d86ab?source=topic_page---------10------------------1,-
Medium.com,Society,"Uighurs in NL, the forgotten refugees",Equality,https://medium.com/@vittoriamalgi/uighurs-in-nl-the-forgotten-refugees-4496445693bc?source=topic_page---------11------------------1,-
Medium.com,Society,Good Riddance to the Venus Symbol on Maxi Pads,Equality,https://gen.medium.com/good-riddance-to-the-venus-symbol-on-maxi-pads-7d2669e98539?source=topic_page---------12------------------1,-
Medium.com,Society,Saggy Boobs and Big Nipples Are Perfectly Natural,Equality,https://medium.com/heavybyshannonashley/saggy-boobs-and-big-nipples-are-perfectly-natural-3493aafee795?source=topic_page---------13------------------1,-
Medium.com,Society,"The Problems With Philanthropy, and What We Can Do to Fix Them",Equality,https://zora.medium.com/the-problems-with-philanthropy-and-what-we-can-do-to-fix-them-c7315aaf04cd?source=topic_page---------14------------------1,-
Medium.com,Society,Georgia Voters Brace for Another Voter Roll Purge,Equality,https://zora.medium.com/georgia-voters-brace-for-another-voter-roll-purge-40d0e7f9306e?source=topic_page---------15------------------1,-
Medium.com,Society,Can Mastering Kitchen Skills Empower Returning Citizens?,Equality,https://heated.medium.com/can-learning-kitchen-skills-change-the-lives-of-people-just-released-from-jail-4438980db5cb?source=topic_page---------16------------------1,-
Medium.com,Society,"Be a bridge builder, not just an ally",Equality,https://medium.com/@johunt0311/be-a-bridge-builder-not-just-an-ally-a80090e3c0a7?source=topic_page---------17------------------1,-
Medium.com,Society,The Trope of The Farmer’s Daughter,Equality,https://medium.com/inside-of-elle-beau/the-trope-of-the-farmers-daughter-3519cbdfa7c6?source=topic_page---------18------------------1,-
Medium.com,Society,What Happens When Me Too Comes for a Prominent Evangelical?,Equality,https://medium.com/the-cut/what-happens-when-me-too-comes-for-a-prominent-evangelical-c95cf34ed569?source=topic_page---------19------------------1,-
Medium.com,Society,Audism: The Unseen Prejudice,Equality,https://medium.com/live-deaf/audism-the-unseen-prejudice-7accd5a2ebbe?source=topic_page---------20------------------1,-
Medium.com,Society,The Way of the Predator vs the Way of the Nurturer,Equality,https://eand.co/the-way-of-the-predator-vs-the-way-of-the-nurturer-3ee308bf3087?source=topic_page---------21------------------1,-
Medium.com,Society,How My Relationship Changed For the Better After I Came Out,Equality,https://medium.com/@rhian.beam/how-my-relationship-changed-for-the-better-after-i-came-out-9f7c949484a3?source=topic_page---------22------------------1,-
Medium.com,Society,It’s Time To Help Veterans with Other-Than-Honorable Discharges Access Mental Health Treatment,Equality,https://medium.com/truman-doctrine-blog/its-time-to-help-veterans-with-other-than-honorable-discharges-access-mental-health-treatment-6df743a09b5f?source=topic_page---------23------------------1,-
Medium.com,Society,My walk through Polycystic Ovary Syndrome,Equality,https://medium.com/@manalkhan_34769/my-walk-through-polycystic-ovary-syndrome-2cc673bcdda?source=topic_page---------24------------------1,-
Medium.com,Society,I Had Two Abortions Before I Found the Right Birth Control,Equality,https://medium.com/fearless-she-wrote/i-had-two-abortions-before-i-found-the-right-birth-control-b15eb8ca4535?source=topic_page---------25------------------1,-
Medium.com,Society,Trans Reflections: Finding Your Voice and Pushing Your Own Limits,Equality,https://medium.com/@michellejanetat/trans-reflections-finding-your-voice-and-pushing-your-own-limits-2719b2e95de1?source=topic_page---------26------------------1,-
Medium.com,Society,We Need To Stop Talking About Feeling Fat and Losing Weight,Equality,https://medium.com/an-injustice/we-need-to-stop-talking-about-feeling-fat-and-losing-weight-9a8e7fe584e?source=topic_page---------27------------------1,-
Medium.com,Society,Famous Writers Who Were In It For The Money,Equality,https://medium.com/honestly-yours/famous-writers-who-were-in-it-for-the-money-206582ef69ac?source=topic_page---------28------------------1,-
