Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,Watchmen review: “She Was Killed by Space Junk”,Film,https://medium.com/@charlesevans/watchmen-review-she-was-killed-by-space-junk-39ee4bcd4a78?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,Is Game Changers an anti-feminist take on veganism?,Film,https://medium.com/@amymontaguechs/is-game-changers-an-anti-feminist-take-on-veganism-1fd2fcd880b8?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,Writing Superhero Movies,Film,https://medium.com/storiusmag/writing-superhero-movies-3575a5e5a958?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,"As Wings to a Bird: Pride and Prejudice, Annihilation, and the Magnetism Musical Scores Bring to…",Film,https://medium.com/@amrita.chakraborty/as-wings-to-a-bird-pride-and-prejudice-annihilation-and-the-magnetism-musical-scores-bring-to-6046ec00387d?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,"Movie Review: Doctor Sleep (2019) (Which, Yes, Is The Year It Came Out, But Also The Number Of…",Film,https://medium.com/@movieleaguemike/movie-review-doctor-sleep-2019-which-yes-is-the-year-it-came-out-but-also-the-number-of-ba300688da44?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,"Merry Christmas, Mr. Lawrence (1983)- Love in the Time of War",Film,https://medium.com/@rat_tweak/merry-christmas-mr-lawrence-1983-love-in-the-time-of-war-f01207e178f9?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,“Jojo Rabbit” is a daring yet heartfelt WWII comedy that confidently charges forward and rarely…,Film,https://medium.com/@victordebonis/jojo-rabbit-is-a-daring-yet-heartfelt-wwii-comedy-that-confidently-charges-forward-and-rarely-c179f5441d5b?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,A Villainous Villainess: Rose the Hat,Film,https://medium.com/@thesamlenz/a-villainous-villainess-rose-the-hat-83657154882?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,Errol Morris On Sitting Down With Alt-Right Nationalist Steve Bannon In American Dharma,Film,https://medium.com/@cvonhassett/errol-morris-on-sitting-down-with-alt-right-nationalist-steve-bannon-in-american-dharma-e31d00194b5b?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,A Nightmare on Elm Street (1984) • 35 Years Later,Film,https://medium.com/framerated/a-nightmare-on-elm-street-1984-35-years-later-98421eda38d7?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,All Nic Cages Go To Heaven,Film,https://medium.com/humungus/all-nic-cages-go-to-heaven-a84300580976?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,Wanted: Oscar-Worthy Lead Roles for Black Women,Film,https://medium.com/@Theme4Gr8Cities/wanted-oscar-worthy-lead-roles-for-black-women-47915fa4e701?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,“Doctor Sleep” Review,Film,https://medium.com/pop-off/doctor-sleep-review-a9b6fe17d77a?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,Doctor Sleep — Review,Film,https://medium.com/@thesamlenz/doctor-sleep-review-a54c2310ed99?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,Review: ‘Ford v Ferrari’ Cares as Much About its Characters as it Does About the Cars,Film,https://medium.com/@Michaeldinich/review-ford-v-ferrari-cares-as-much-about-its-characters-as-it-does-about-the-cars-430013ae315a?source=topic_page---------15------------------1,-
