Source,Domain,Heading,Category,URL,Text
Medium.com,Society,AI Ethics — Transparency,Future,https://medium.com/technofile/ai-ethics-transparency-c61d9bc963b5?source=topic_page---------0------------------1,-
Medium.com,Society,How reality has exceeded our expectations about self-driving vehicles,Future,https://medium.com/enrique-dans/how-reality-has-exceeded-our-expectations-about-self-driving-vehicles-32f21d24c06f?source=topic_page---------1------------------1,-
Medium.com,Society,"On the future of society, technology and innovation",Future,https://medium.com/enrique-dans/on-the-future-of-society-technology-and-innovation-c994de1a9f4a?source=topic_page---------2------------------1,-
Medium.com,Society,The Most Ironic Comedy Sketch in History?,Future,https://medium.com/@charleshorn/the-most-ironic-comedy-sketch-in-history-cf3a750de7de?source=topic_page---------4------------------1,-
Medium.com,Society,The AI-Powered Future of Drones,Future,https://medium.com/predict/the-ai-powered-future-of-drones-e455777d603a?source=topic_page---------5------------------1,-
Medium.com,Society,Why I Donate All of My Book’s Proceeds to Girls Who Code,Future,https://towardsdatascience.com/why-i-donate-all-of-my-books-proceeds-to-girls-who-code-b9654e4379bd?source=topic_page---------6------------------1,-
Medium.com,Society,Wall-E with a Paintbrush?,Future,https://arcdigital.media/wall-e-with-a-paintbrush-f833f4cd6a85?source=topic_page---------7------------------1,-
Medium.com,Society,Quantifying Ethical AI: How to Build Trustworthy Solutions,Future,https://medium.com/leoilab/how-to-build-trustworthy-ai-99942a154955?source=topic_page---------8------------------1,-
Medium.com,Society,How Long Before AI Avatars Become Campaign Surrogates?,Future,https://medium.com/swlh/how-long-before-ai-avatars-become-campaign-surrogates-9a4b947c4304?source=topic_page---------9------------------1,-
Medium.com,Society,The Four-Day Work Week Is The Future Of Work,Future,https://medium.com/swlh/the-four-day-work-week-is-the-future-of-work-b681af0457ac?source=topic_page---------10------------------1,-
Medium.com,Society,Why I’m excited about Transition Design,Future,https://medium.com/change-collective/why-im-excited-about-transition-design-700cdfdbc813?source=topic_page---------11------------------1,-
Medium.com,Society,The Age of the Superplatform,Future,https://medium.com/swlh/the-age-of-the-superplatform-18546fa77680?source=topic_page---------12------------------1,-
Medium.com,Society,The Economist Who Wants To Ditch Math,Future,https://marker.medium.com/robert-shiller-says-economics-needs-to-go-viral-to-save-itself-f157eceb4c7d?source=topic_page---------13------------------1,-
Medium.com,Society,Artificial Intelligence is Revolutionizing Humanitarian Aid,Future,https://medium.com/needslist/artificial-intelligence-is-revolutionizing-humanitarian-aid-cf512cddfcd7?source=topic_page---------14------------------1,-
Medium.com,Society,"Jeff, Please Don’t Send Me To Space.",Future,https://medium.com/swlh/jeff-please-dont-send-me-to-space-ab6cf81ceb8a?source=topic_page---------15------------------1,-
Medium.com,Society,AI and the Future of Counterterror,Future,https://medium.com/predict/ai-and-the-future-of-counterterror-c4244c0e302f?source=topic_page---------16------------------1,-
Medium.com,Society,Switched Transport Network for Personal Mobility Pods,Future,https://medium.com/swlh/switched-transport-network-for-personal-mobility-pods-45672f39756?source=topic_page---------17------------------1,-
Medium.com,Society,"BB-8 Has a New Sibling: Meet Misty II, the $3,000 Customizable Robot",Future,https://medium.com/pcmag-access/bb-8-has-a-new-sibling-meet-misty-ii-the-3-000-customizable-robot-ecc10d166a4c?source=topic_page---------18------------------1,-
Medium.com,Society,What is DesignTech?,Future,https://provocations.darkmatterlabs.org/what-is-designtech-41868f0bd45d?source=topic_page---------19------------------1,-
Medium.com,Society,Is Automation Going to Eat Your Job?,Future,https://medium.com/swlh/is-automation-going-to-eat-your-job-2ab021d05c2?source=topic_page---------20------------------1,-
Medium.com,Society,Urban Air Mobility — “It’s the logistics stupid”,Future,https://medium.com/swlh/urban-air-mobility-its-the-logistics-stupid-82d475f4aaa9?source=topic_page---------21------------------1,-
Medium.com,Society,Six Ways We Could Time Travel,Future,https://medium.com/predict/six-ways-we-could-time-travel-c49d2bd3ba78?source=topic_page---------22------------------1,-
Medium.com,Society,"Human-centred design: to successfully build density in cities, we need to build communities first",Future,https://medium.com/@heidi.benham/human-centred-design-to-successfully-build-density-in-cities-we-need-to-build-communities-first-e73d227a1442?source=topic_page---------23------------------1,-
Medium.com,Society,CRISPR 2.0: The latest gene-editor,Future,https://medium.com/technicity/crispr-2-0-the-latest-gene-editor-65085d4a44c2?source=topic_page---------24------------------1,-
Medium.com,Society,An Invisibility Cloak designed by a Canadian company,Future,https://medium.com/technicity/an-invisibility-cloak-designed-by-a-canadian-company-ae6c9b9d5630?source=topic_page---------25------------------1,-
Medium.com,Society,2030 | Home Service Hubs,Future,https://medium.com/@PiersFawkes/2030-home-service-hubs-20b51dd6ecc8?source=topic_page---------26------------------1,-
Medium.com,Society,The Smart City Evolution: The possibilities in the Future,Future,https://medium.com/datadriveninvestor/the-smart-city-evolution-the-possibilities-in-the-future-c24cfe65baea?source=topic_page---------27------------------1,-
Medium.com,Society,Experiencing the Horrors of 1917 Passchendaele in 2019,Future,https://medium.com/swlh/experiencing-the-horrors-of-1917-passchendaele-in-2019-f50baee075b1?source=topic_page---------28------------------1,-
Medium.com,Society,"Eating Roadkill Is Our Future, and That’s Okay",Future,https://onezero.medium.com/eating-roadkill-is-our-future-and-thats-okay-84fefd333cd4?source=topic_page---------29------------------1,-
Medium.com,Society,Beyond Impossible: How fungi could become our future protein source,Future,https://medium.com/hngry/the-chicken-sandwich-wars-may-be-broken-up-by-a-fungus-a95f385b518a?source=topic_page---------30------------------1,-
Medium.com,Society,What Does Google’s Quantum Supremacy Achievement Mean?,Future,https://medium.com/swlh/what-does-googles-quantum-supremacy-achievement-mean-f4102400e4a7?source=topic_page---------31------------------1,-
Medium.com,Society,Change is a given. Handle it like a futurist.,Future,https://medium.com/swlh/change-is-a-given-handle-it-like-a-futurist-2e70fc2753ff?source=topic_page---------32------------------1,-
Medium.com,Society,The Future of Work is About Change,Future,https://medium.com/swlh/the-future-of-work-is-about-change-aa2bcb7beed6?source=topic_page---------33------------------1,-
Medium.com,Society,World’s First artificial womb for humans will be ready within 5 years,Future,https://medium.com/technicity/worlds-first-artificial-womb-for-humans-will-be-ready-within-5-years-268a21af49e?source=topic_page---------34------------------1,-
Medium.com,Society,You’re Dying on the Street. A Drone Might Be Your Only Hope.,Future,https://onezero.medium.com/youre-dying-on-the-street-a-drone-might-be-your-only-hope-d5c0db7e0aab?source=topic_page---------35------------------1,-
Medium.com,Society,Micro-Fulfillment: Venture Cap’s Big Warehouse Play Is Playing Small,Future,https://medium.com/swlh/micro-fulfillment-venture-caps-big-warehouse-play-is-playing-small-790632919d33?source=topic_page---------36------------------1,-
Medium.com,Society,Artificial Intelligence (A.I.) to detect risk of any future heart attack,Future,https://medium.com/predict/artificial-intelligence-a-i-to-detect-risk-of-any-future-heart-attack-f3f4f88a0711?source=topic_page---------37------------------1,-
Medium.com,Society,Finding meaning in a future of less work,Future,https://medium.com/cgo-benchmark/finding-meaning-in-a-future-of-less-work-ebd5412bdf14?source=topic_page---------38------------------1,-
Medium.com,Society,Our Tech and Our Markets Have an Anti-Human Agenda,Future,https://medium.com/team-human/our-tech-and-our-markets-have-an-anti-human-agenda-be21d4db767c?source=topic_page---------39------------------1,-
Medium.com,Society,What the French Can Teach Americans about the Future of Work,Future,https://medium.com/@mitpress/what-the-french-can-teach-americans-about-the-future-of-work-cbb3797ac661?source=topic_page---------40------------------1,-
Medium.com,Society,What Will New Technology Mean for the Future of Warehouse Work?,Future,https://medium.com/swlh/what-will-new-technology-mean-for-the-future-of-warehouse-work-e99eea7d0177?source=topic_page---------41------------------1,-
Medium.com,Society,Cryonics: Putting Life on Pause,Future,https://medium.com/predict/cryonics-putting-life-on-pause-68e012124e19?source=topic_page---------42------------------1,-
Medium.com,Society,"Is Artificial Intelligence the Best That Has Happened to Our Civilisation, or the Worst?",Future,https://towardsdatascience.com/is-artificial-intelligence-the-best-that-has-happened-to-our-civilisation-or-the-worst-2bcec4e86d79?source=topic_page---------43------------------1,-
Medium.com,Society,Robot for a Boss? Most Workers Wouldn’t Mind.,Future,https://medium.com/dice-insights/robot-for-a-boss-most-workers-wouldnt-mind-c87165b94aa4?source=topic_page---------44------------------1,-
Medium.com,Society,(Book Review) The Big Nine: How The Tech Titans & Their Thinking Machines Could Warp Humanity,Future,https://medium.com/swlh/book-review-the-big-nine-how-the-tech-titans-their-thinking-machines-could-warp-humanity-3b5d573fd90b?source=topic_page---------45------------------1,-
Medium.com,Society,Let's Get Real about Disruption,Future,https://medium.com/@chamer/lets-get-real-about-disruption-b2d785e323?source=topic_page---------46------------------1,-
Medium.com,Society,Mars Is the New ‘New World’,Future,https://onezero.medium.com/mars-is-the-new-new-world-e4c46e4c2a0b?source=topic_page---------47------------------1,-
Medium.com,Society,Achieving Viable Mind Uploading via Our Understanding of Brain Lateralization,Future,https://medium.com/swlh/achieving-viable-mind-uploading-via-our-understanding-of-brain-lateralization-3fe78e1bd502?source=topic_page---------48------------------1,-
Medium.com,Society,Scientists Grew a Mouse Fetus Without Sperm or Eggs,Future,https://onezero.medium.com/scientists-grew-a-mouse-fetus-without-sperm-or-eggs-51180f11f504?source=topic_page---------49------------------1,-
Medium.com,Society,Will 5 out of 10 Jobs Really be Replaced by AI?,Future,https://medium.com/futurefile/will-5-out-of-10-jobs-be-replaced-by-ai-934d84f6de4a?source=topic_page---------50------------------1,-
Medium.com,Society,Human 2.0 — Embodying the Octopus,Future,https://medium.com/swlh/human-2-0-embodying-the-octopus-d36adcfc2d76?source=topic_page---------51------------------1,-
Medium.com,Society,In the Future We Will All Live in Star Wars,Future,https://medium.com/swlh/in-the-future-we-will-all-live-in-star-wars-dac8a6670a94?source=topic_page---------52------------------1,-
Medium.com,Society,MIT Helps Robots Adjust Grip With New Algorithms,Future,https://medium.com/extremetech-access/mit-helps-robots-adjust-grip-with-new-algorithms-c3fa7ffe87c8?source=topic_page---------53------------------1,-
Medium.com,Society,"Biohacking is Scary, But Is It New?",Future,https://medium.com/wisecrack/biohacking-is-scary-but-is-it-new-f0a23a737cd0?source=topic_page---------54------------------1,-
Medium.com,Society,Ford Foundation’s Darren Walker: How to Save Capitalism From Itself,Future,https://medium.com/fast-company/ford-foundations-darren-walker-how-to-save-capitalism-from-itself-6bd9b467b9d1?source=topic_page---------55------------------1,-
Medium.com,Society,Stray Thoughts: Nobel Laureate Robert Solow’s Predictions for the Next Century,Future,https://medium.com/@mitpress/stray-thoughts-nobel-laureate-robert-solows-predictions-for-the-next-century-98b358a86a21?source=topic_page---------56------------------1,-
Medium.com,Society,We should all be Luddites now,Future,https://medium.com/swlh/we-should-all-be-luddites-now-65f83121aea5?source=topic_page---------57------------------1,-
Medium.com,Society,Do We Live in a Simulation?,Future,https://medium.com/predict/do-we-live-in-a-simulation-5cda969c9d1b?source=topic_page---------58------------------1,-
Medium.com,Society,Will people and their habitats become an integral part of tomorrow’s communication networks?,Future,https://towardsdatascience.com/will-people-and-their-habitats-become-an-integral-part-of-tomorrows-communication-networks-1145c26f2072?source=topic_page---------59------------------1,-
Medium.com,Society,Internet 3.0: Decentralizing Everything,Future,https://medium.com/@georgealexpopescu/internet-3-0-decentralizing-everything-b463897b0e10?source=topic_page---------60------------------1,-
Medium.com,Society,Astronomers trying to “listen” to the dark matter,Future,https://medium.com/technicity/astronomers-trying-to-listen-to-the-dark-matter-e2127481330?source=topic_page---------61------------------1,-
Medium.com,Society,Space Elevators: Reaching for the Stars,Future,https://medium.com/predict/space-elevators-reaching-for-the-stars-8b582216ac10?source=topic_page---------62------------------1,-
