Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Is The G8X A Return To Form?,Gadgets,https://medium.com/@gregorycameron/is-the-g8x-a-return-to-form-e4e879ece6ac?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Headphone Showdown: AKG K371 Vs Beyerdynamic DT770 Pro,Gadgets,https://medium.com/@Xander51/headphone-showdown-akg-k371-vs-beyerdynamic-dt770-pro-e9692006272?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,Canon EOS 80D Review: The Best Crop Sensor?,Gadgets,https://medium.com/lumoid/canon-eos-80d-review-the-best-crop-sensor-7f58ac0d9e26?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,Foldable Devices: Should We Care?,Gadgets,https://medium.com/swlh/foldable-devices-should-we-care-a847f37126f8?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Does Everything Need to Be ‘Smart’?,Gadgets,https://modus.medium.com/does-everything-need-to-be-smart-4bd4bbf08c64?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,The Dream E-reader Folds Like a Book and Is Made by Apple,Gadgets,https://onezero.medium.com/applereader-6c6559a33aa?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,Why Some Products Stick With Us,Gadgets,https://modus.medium.com/why-some-products-stick-with-us-4aed1206376d?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,Gaming Headset Showdown: HyperX Cloud Orbit S VS SteelSeries Arctis Pro Wireless,Gadgets,https://medium.com/@Xander51/gaming-headset-showdown-hyperx-cloud-orbit-s-vs-steelseries-arctis-pro-wireless-cb7bd36b47e1?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,AirPods Pro and the Sound of Silence,Gadgets,https://500ish.com/airpods-pro-and-the-sound-of-silence-1ecd29dd7cc1?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,The Absurdity of Naming Tech Products,Gadgets,https://onezero.medium.com/the-absurdity-of-naming-tech-products-b8fad3f76790?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,Windows Sonic is The Future of Gaming Audio,Gadgets,https://medium.com/@Xander51/windows-sonic-is-the-future-of-gaming-audio-cbc7f3abfae8?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,Inside Amazon’s Plan for Alexa to Run Your Entire Life,Gadgets,https://medium.com/mit-technology-review/inside-amazons-plan-for-alexa-to-run-your-entire-life-dd3f0add60a7?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,The Wearable Fitness Market is Now Just Apple and Google,Gadgets,https://onezero.medium.com/the-wearable-fitness-market-is-now-just-apple-and-google-d50ff9f67aa6?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,How to Survive a Blackout: 6 Things You Need to Build an Emergency Tech Kit,Gadgets,https://medium.com/pcmag-access/how-to-survive-a-blackout-6-things-you-need-to-build-an-emergency-tech-kit-a41cb6d7fce5?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,What Siri Could Learn from Thanos,Gadgets,https://modus.medium.com/what-siri-could-learn-from-thanos-e6a29df16e2d?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,Alphabet and Fitbit: could this be the competition the wearables segment has been waiting for?,Gadgets,https://medium.com/enrique-dans/alphabet-and-fitbit-could-this-be-the-competition-the-wearables-segment-has-been-waiting-for-a05c384b7a8d?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,2019's Best Budget Wireless Noise Cancelling Headphones,Gadgets,https://medium.com/@Xander51/2019s-best-budget-wireless-noise-cancelling-headphones-4c5c8d371631?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,"You will love Alexa, Siri in 30 Years",Gadgets,https://medium.com/@kiteaton/you-will-love-alexa-siri-in-30-years-4d4a52ec6c0b?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,Working with the 3D Camera on the Samsung S10 5G,Gadgets,https://medium.com/swlh/working-with-the-3d-camera-on-the-samsung-s10-5g-4782336783c?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,Gaming Headset Showdown: HyperX Cloud MIX Vs The Gauntlet,Gadgets,https://medium.com/@Xander51/gaming-headset-showdown-hyperx-cloud-mix-vs-the-gauntlet-d1349d7484f5?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Review: Amazon Kindle Kids Edition Is the Best eReader Value,Gadgets,https://medium.com/pcmag-access/review-amazon-kindle-kids-edition-is-the-best-ereader-value-5b717c81d5bc?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,The Fascinating Science Behind Low-Light Photography In Smartphones,Gadgets,https://medium.com/swlh/the-fascinating-science-behind-low-light-photography-in-smartphones-5c23b07a5881?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,AirPods Pro Review: They’re Great (and Expensive),Gadgets,https://onezero.medium.com/airpods-pro-review-theyre-great-and-too-expensive-cd809193f14f?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,NordVPN and TorGuard VPN Breaches: What You Need to Know,Gadgets,https://medium.com/pcmag-access/nordvpn-and-torguard-vpn-breaches-what-you-need-to-know-6642e9308309?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,"Hands On: Samsung’s Galaxy Book Ion, the First QLED-Screen Laptop",Gadgets,https://medium.com/pcmag-access/hands-on-samsungs-galaxy-book-ion-the-first-qled-screen-laptop-4b5fbd28ed60?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Porting Apache Mynewt OS to GigaDevice GD32 VF103 on RISC-V,Gadgets,https://medium.com/swlh/porting-apache-mynewt-os-to-gigadevice-gd32-vf103-on-risc-v-4054a5922493?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,AKG K371 Studio Headphones Review,Gadgets,https://medium.com/@Xander51/akg-k371-studio-headphones-review-523f6d11a23d?source=topic_page---------27------------------1,-
