Source,Domain,Heading,Category,URL,Text
Medium.com,Society,The Self-Defense Scam,Gun Control,https://medium.com/the-polis/the-self-defense-scam-30b6aea7f623?source=topic_page---------0------------------1,-
Medium.com,Society,Cold Methodical Killers: The Psychology of Mass Shooters,Gun Control,https://medium.com/the-wise-heart/cold-methodical-killers-the-psychology-of-mass-shooters-a9c79978c79e?source=topic_page---------1------------------1,-
Medium.com,Society,Guns Are Like Racism,Gun Control,https://medium.com/@deciphercity/guns-are-like-racism-2bd5f0bf5915?source=topic_page---------2------------------1,-
Medium.com,Society,Generation Z: The Crisis Numb Generation,Gun Control,https://medium.com/teaching-the-next-gen/generation-z-the-crisis-numb-generation-ff2c16f97387?source=topic_page---------4------------------1,-
Medium.com,Society,Mass Murders Are Not “Tragedies”: Finding a New Language to Combat Gun Violence,Gun Control,https://medium.com/@jsilosphd/mass-murders-are-not-tragedies-finding-a-new-language-to-combat-gun-violence-c8745f0829b?source=topic_page---------5------------------1,-
Medium.com,Society,The Untouchable Gun,Gun Control,https://medium.com/reformermag/the-untouchable-gun-9e8558fc4454?source=topic_page---------6------------------1,-
Medium.com,Society,Why Second Amendment Literalists Always Fail,Gun Control,https://medium.com/@marybaker/why-second-amendment-literalists-always-fail-92e2c2fbac?source=topic_page---------7------------------1,-
Medium.com,Society,What the US Can Learn From Switzerland’s Gun Culture,Gun Control,https://medium.com/@alicebesso/what-the-us-can-learn-from-switzerlands-gun-culture-77dec8c8dcc6?source=topic_page---------8------------------1,-
Medium.com,Society,Spying on Kids to Prevent School Shootings Will Backfire,Gun Control,https://gen.medium.com/policing-students-texts-is-a-great-way-to-destroy-all-trust-2aedeac44411?source=topic_page---------9------------------1,-
Medium.com,Society,"The Pittsburgh Synagogue Shooting, One Year Later",Gun Control,https://medium.com/the-national-discussion/the-pittsburgh-synagogue-shooting-one-year-later-1cb454d55b8a?source=topic_page---------10------------------1,-
