Source,Domain,Heading,Category,URL,Text
Medium.com,Life,2 Week Experiment: Minimal Sleep and 124 Work Hours,Health,https://medium.com/@munndiaries/2-week-experiment-minimal-sleep-and-124-work-hours-9a279b7da7f5?source=topic_page---------0------------------1,-
Medium.com,Life,Why Your Genes Are Not Your Destiny,Health,https://medium.com/medical-myths-and-models/why-your-genes-are-not-your-destiny-952efa377d2e?source=topic_page---------1------------------1,-
Medium.com,Life,How Dishonesty Hurts Those Caring For People With Dementia,Health,https://medium.com/@annapierlot/how-dishonesty-hurts-those-caring-for-people-with-dementia-4d2c39d0d53e?source=topic_page---------2------------------1,-
Medium.com,Life,Medical Emergencies in Flight: Tech to the Rescue,Health,https://medium.com/datadriveninvestor/medical-emergencies-in-flight-tech-to-the-rescue-81dba53aef66?source=topic_page---------4------------------1,-
Medium.com,Life,Eye vs computer display: who wins?,Health,https://medium.com/@alfrdpeschka/eye-vs-computer-display-who-wins-2cadf615b1c?source=topic_page---------5------------------1,-
Medium.com,Life,Is Google Snooping on Your Health Records?,Health,https://medium.com/pcmag-access/is-google-snooping-on-your-health-records-896c3fa0a0cd?source=topic_page---------6------------------1,-
Medium.com,Life,Here’s What Happened When I Spent 24 (Semi-Miserable) Hours Trying Silicon Valley’s Hot New Trend…,Health,https://medium.com/inc./heres-what-happened-when-i-spent-24-semi-miserable-hours-trying-silicon-valley-s-hot-new-trend-92db56f3867b?source=topic_page---------7------------------1,-
Medium.com,Life,There Is Almost No Evidence That Cannabis Will Improve Mental Health Conditions,Health,https://medium.com/@jbrandonlowry/cannabis-and-mental-health-3724d0e352f4?source=topic_page---------8------------------1,-
Medium.com,Life,What I Wish Doctors Told Me About Chronic Illness,Health,https://medium.com/@stellaguan/what-i-wish-doctors-told-me-about-chronic-illness-b02c4c3106f5?source=topic_page---------9------------------1,-
Medium.com,Life,Inexpensive Ingredients to Get You to Payday,Health,https://heated.medium.com/deliciousingredientstogetyouthroughleanbudgettimes-5b667c107d8a?source=topic_page---------10------------------1,-
Medium.com,Life,My walk through Polycystic Ovary Syndrome,Health,https://medium.com/@manalkhan_34769/my-walk-through-polycystic-ovary-syndrome-2cc673bcdda?source=topic_page---------11------------------1,-
Medium.com,Life,Building a machine learning classifier model for diabetes,Health,https://towardsdatascience.com/building-a-machine-learning-classifier-model-for-diabetes-4fca624daed0?source=topic_page---------12------------------1,-
Medium.com,Life,The Diet That Was Supposed to Feed the World Forgot to Factor in the Poor,Health,https://onezero.medium.com/the-diet-that-was-supposed-to-feed-the-world-forgot-to-factor-in-the-poor-cd0e223d6945?source=topic_page---------13------------------1,-
Medium.com,Life,Does Your Microbiome Shape Your Friendships?,Health,https://medium.com/sapiens-org/does-your-microbiome-shape-your-friendships-b7a144339e76?source=topic_page---------14------------------1,-
Medium.com,Life,How a Men’s Support Group Helped My Depression,Health,https://elemental.medium.com/how-a-mens-support-group-helped-my-depression-8eb526b08bdc?source=topic_page---------15------------------1,-
Medium.com,Life,The Dangers of Drinking Essential Oils,Health,https://elemental.medium.com/the-dangers-of-drinking-essential-oils-36a89dd8d600?source=topic_page---------16------------------1,-
Medium.com,Life,Systems Thinking & How It Can Solve The Overdose Crisis,Health,https://medium.com/swlh/systems-thinking-how-it-can-solve-the-overdose-crisis-f9a545ff4148?source=topic_page---------17------------------1,-
Medium.com,Life,I am in Medical School and I Hate Visiting the Doctor,Health,https://medium.com/@BennettEmpty/i-am-in-medical-school-and-i-hate-visiting-the-doctor-3921ac11c45b?source=topic_page---------18------------------1,-
Medium.com,Life,The Unique Health Benefits of Autumn Hikes,Health,https://elemental.medium.com/the-unique-health-benefits-of-autumn-hikes-cacacc5d4bf4?source=topic_page---------19------------------1,-
Medium.com,Life,Remaining Positive With a Chronic Illness,Health,https://medium.com/becominggg/remaining-positive-with-a-chronic-mental-illness-6cb8b6fe257c?source=topic_page---------20------------------1,-
Medium.com,Life,The Grandma Cure,Health,https://medium.com/afwp/the-grandma-cure-bb089d67d8d0?source=topic_page---------21------------------1,-
Medium.com,Life,Is Your Asthma Inhaler Ruining the Environment?,Health,https://medium.com/@amiller1000/is-your-asthma-inhaler-ruining-the-environment-3d4ddcf62e01?source=topic_page---------22------------------1,-
Medium.com,Life,Sony Scrubs In to Help Operating Room Devices Talk to Each Other,Health,https://medium.com/pcmag-access/sony-scrubs-in-to-help-operating-room-devices-talk-to-each-other-8accbbed349f?source=topic_page---------23------------------1,-
Medium.com,Life,You’re Still in Your 20’s. Don’t Kill Yourself.,Health,https://psiloveyou.xyz/youre-still-in-your-20-s-don-t-kill-yourself-a7283d6c76aa?source=topic_page---------24------------------1,-
Medium.com,Life,What The Gamechangers Got Right: A Plant-Based Diet Can Meet Your Protein Needs And Then Some.,Health,https://medium.com/@chanapdavis/what-the-gamechangers-got-right-a-plant-based-diet-can-meet-your-protein-needs-and-then-some-220a77d3635f?source=topic_page---------25------------------1,-
Medium.com,Life,Stress and the Body: How Stress Manifests in Our Bodies,Health,https://medium.com/@kerri.bevis/stress-and-the-body-how-stress-manifests-in-our-bodies-44c0889bd?source=topic_page---------26------------------1,-
Medium.com,Life,"Eating healthy, but not feeling healthy — lettuce in on the secret!!",Health,https://medium.com/foodmarble/eating-healthy-but-not-feeling-healthy-lettuce-in-on-the-secret-dd0f45b206a0?source=topic_page---------27------------------1,-
Medium.com,Life,Here’s To The Kaleidoscope Years,Health,https://psiloveyou.xyz/heres-to-the-kaleidoscope-years-987f7f14cb72?source=topic_page---------28------------------1,-
Medium.com,Life,“This Might Be My Last Thanksgiving.”,Health,https://psiloveyou.xyz/this-might-be-my-last-thanksgiving-dede1a9f8a40?source=topic_page---------29------------------1,-
Medium.com,Life,Surgeons Transplanted Living Pig Skin Onto Humans for the First Time,Health,https://onezero.medium.com/surgeons-transplanted-pig-skin-onto-humans-for-the-first-time-607fc519eb56?source=topic_page---------30------------------1,-
Medium.com,Life,Should I Take a Multivitamin?,Health,https://elemental.medium.com/should-i-take-a-multivitamin-eb7ebd8069e0?source=topic_page---------31------------------1,-
Medium.com,Life,Should I Take B Vitamins?,Health,https://elemental.medium.com/should-i-take-b-vitamins-c82631d94c03?source=topic_page---------32------------------1,-
Medium.com,Life,Should I Take Probiotics?,Health,https://elemental.medium.com/should-i-take-probiotics-f4bcfd0c34a3?source=topic_page---------33------------------1,-
Medium.com,Life,Motherhood Didn’t Cure My Infertility,Health,https://psiloveyou.xyz/motherhood-didnt-cure-my-infertility-97b983a8be38?source=topic_page---------34------------------1,-
Medium.com,Life,The Best Thing You Can Do with a Health Condition,Health,https://medium.com/swlh/the-best-thing-you-can-do-with-a-rare-condition-ac6a08aabc85?source=topic_page---------35------------------1,-
Medium.com,Life,Nurses & Doctors Hate Drug Users,Health,https://medium.com/@byronwood/nurses-doctors-hate-drug-users-a68ed63bed85?source=topic_page---------36------------------1,-
Medium.com,Life,Missing What I Never Had,Health,https://psiloveyou.xyz/missing-what-i-never-had-26aee594b873?source=topic_page---------37------------------1,-
Medium.com,Life,The Art of Going Platinum Blonde at Home,Health,https://psiloveyou.xyz/the-art-of-going-platinum-blonde-at-home-78aa8a03c2a3?source=topic_page---------38------------------1,-
Medium.com,Life,"Two Percenters, Your Attention Please",Health,https://medium.com/@essenceoffiona/two-percenters-your-attention-please-116959979f15?source=topic_page---------39------------------1,-
Medium.com,Life,Death & Depression Have Guided My Journey with Cancer,Health,https://medium.com/invisible-illness/death-depression-have-guided-my-journey-with-cancer-d6765b27bbde?source=topic_page---------40------------------1,-
Medium.com,Life,Ultraprocessed Food Is Linked to Obesity and Disease — So Why Are We Feeding It to Our Kids?,Health,https://heated.medium.com/ultraprocessed-food-is-linked-to-obesity-and-disease-so-why-are-we-feeding-it-to-our-kids-9d90bc1eafc?source=topic_page---------41------------------1,-
Medium.com,Life,"CDC Guidelines Go Against Its Own Research, Leaving Pain Patients to Suffer",Health,https://medium.com/@darisse.smith/cdc-guidelines-go-against-its-own-research-leaving-pain-patients-to-suffer-adb1996f74e?source=topic_page---------42------------------1,-
Medium.com,Life,That Time I Got My Eyeballs Lasered in South Korea,Health,https://humanparts.medium.com/the-joy-and-terror-of-getting-lasik-in-south-korea-993066f0c0fb?source=topic_page---------43------------------1,-
Medium.com,Life,How Technology Helps in Early detection of Liver disease,Health,https://tincture.io/how-technology-helps-in-early-detection-of-liver-disease-7d119ad69f67?source=topic_page---------44------------------1,-
Medium.com,Life,I Have Eaten PB & J to Mark Every Major Life Event,Health,https://heated.medium.com/why-i-obsessed-over-whether-my-daughter-would-have-a-peanut-allergy-before-she-was-born-dde5021be07f?source=topic_page---------45------------------1,-
Medium.com,Life,The Experience of Eating After Your Jaw Has Been Wired Shut,Health,https://heated.medium.com/i-truly-appreciated-food-once-my-jaw-was-wired-shut-1a24d69cf6ae?source=topic_page---------46------------------1,-
Medium.com,Life,Baby Food Isn’t Poisoning Our Kids,Health,https://elemental.medium.com/baby-food-isnt-poisoning-our-children-1bf9c998dd2f?source=topic_page---------47------------------1,-
Medium.com,Life,Intermittent Fasting Is the Diet of the Moment,Health,https://heated.medium.com/headlines-shout-the-benefits-of-intermittent-fasting-ba0e80706cfa?source=topic_page---------48------------------1,-
