Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,Sickness Cabinets For Single People,Humor,https://medium.com/@shanisilver/sickness-cabinets-for-single-people-9e8a615aff74?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,I Got Kicked Out of a Store because I Am Not Scottish. A Journey Through Appalachia.,Humor,https://medium.com/@RachelKhona/i-got-kicked-out-of-a-store-because-i-am-not-scottish-a-journey-through-appalachia-cbb213e37e9c?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,8 People You Hate to Fly With,Humor,https://medium.com/traveltruth/8-people-you-hate-to-fly-with-8eb8040d043a?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,The Therapist,Humor,https://medium.com/no-crime-in-rhymin/the-therapist-e932e33019ce?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,Five Horrid Activities That Are Still More Beneficial Than Texting Your Ex,Humor,https://medium.com/the-partnered-pen/five-horrid-activities-that-are-still-more-beneficial-than-texting-your-ex-64aa4704a2b5?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,Greek Myths Updated For Modern Audiences,Humor,https://medium.com/jane-austens-wastebasket/greek-myths-updated-for-modern-audiences-beb38c176656?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,Tonight’s comic thought being creative was fun.,Humor,https://medium.com/@rstevens/tonights-comic-thought-being-creative-was-fun-efc4d3fe2904?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,How Dating Men in Their 30s Compares to Dating Middle-School Boys,Humor,https://thebolditalic.com/how-men-i-dated-in-my-30s-compared-to-boys-i-dated-in-middle-school-d08236a396fb?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,Landscaping Customer Surveys Our Work Like A Lord: In His Briefs,Humor,https://medium.com/down-in-the-dingle/landscaping-customer-surveys-our-work-like-a-lord-in-his-briefs-ad8e17aeda46?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,Yakov the Supplanter,Humor,https://medium.com/@rosenworld/yakov-the-supplanter-5c275c5a2269?source=topic_page---------10------------------1,-
