Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Drinking the Kool-Aid: The Perils of Over-Identification in Divorce,Justice,https://medium.com/@brendan_hammer/drinking-the-kool-aid-the-perils-of-over-identification-in-divorce-6f2c63610b47?source=topic_page---------0------------------1,-
Medium.com,Society,When the Body Becomes a Crime Scene,Justice,https://medium.com/fearless-she-wrote/when-the-body-becomes-a-crime-scene-541b06456173?source=topic_page---------1------------------1,-
Medium.com,Society,Making social media responsible for illegal content,Justice,https://medium.com/alliance-to-counter-crime-online/making-social-media-responsible-for-illegal-content-d30e9f9a6abf?source=topic_page---------2------------------1,-
Medium.com,Society,Cities Should Look At Los Angeles’ History of Big Data Policing and Avoid Its Mistakes,Justice,https://medium.com/swlh/cities-should-look-at-los-angeles-history-of-big-data-policing-and-avoid-its-mistakes-e64d96760e15?source=topic_page---------4------------------1,-
Medium.com,Society,Data Science of Evictions,Justice,https://towardsdatascience.com/data-science-of-evictions-874a41f3cc36?source=topic_page---------5------------------1,-
Medium.com,Society,Facebook Ad Targeting still enables Voter Suppression — “probably”,Justice,https://medium.com/swlh/facebook-ad-targeting-still-enables-voter-suppression-probably-9cec70a798d3?source=topic_page---------6------------------1,-
Medium.com,Society,The Visitor’s Guide to Prison,Justice,https://medium.com/an-injustice/the-visitors-guide-to-prison-f24e830cb60b?source=topic_page---------7------------------1,-
Medium.com,Society,Don’t Judge a Rape by the Survivor’s Reaction,Justice,https://medium.com/@starkraving/dont-judge-a-rape-by-the-survivor-s-reaction-3ba918461485?source=topic_page---------8------------------1,-
Medium.com,Society,Government Agencies Can’t Stop Employees from Talking to the Press. Here’s Why.,Justice,https://medium.com/university-of-florida-college-of-journalism-and/government-agencies-cant-stop-employees-from-talking-to-the-press-here-s-why-97fc41e785c2?source=topic_page---------9------------------1,-
Medium.com,Society,Migrant Children: An American Commodity,Justice,https://medium.com/@ExtremeArturo/migrant-children-an-american-commodity-a65b0080abc?source=topic_page---------10------------------1,-
Medium.com,Society,The Cash Bail Crisis in Allegheny County,Justice,https://medium.com/@ACLUPA/the-cash-bail-crisis-in-allegheny-county-2d524e9b18ca?source=topic_page---------11------------------1,-
Medium.com,Society,Trump Tax Return Case: A Judicial Minefield and Political Sword,Justice,https://medium.com/@matthewbuzard/trump-tax-return-case-a-judicial-minefield-and-political-sword-a85a19af886b?source=topic_page---------12------------------1,-
Medium.com,Society,Quit Accusing Me of Threatening You,Justice,https://medium.com/@vrob125/quit-accusing-me-of-threatening-you-70873593ebf?source=topic_page---------13------------------1,-
Medium.com,Society,Harmful Speech as the New Porn,Justice,https://medium.com/whither-news/harmful-speech-as-the-new-porn-88cb74c1ec93?source=topic_page---------14------------------1,-
Medium.com,Society,What I learned from getting arrested with Jane Fonda,Justice,https://medium.com/@alexandra.charitan/i-got-arrested-for-the-first-time-with-jane-fonda-ed29a80c8642?source=topic_page---------15------------------1,-
Medium.com,Society,Higher Wages for Inmate Workers?,Justice,https://medium.com/the-gotham-grind/products-of-prison-labor-in-new-york-state-37c7ea23bfee?source=topic_page---------16------------------1,-
Medium.com,Society,Boston’s Legacy of Racist Policing & Media Coverage of Crime: 30 Years after Chuck Stuart,Justice,https://medium.com/houstonmarshall/bostons-legacy-of-racist-policing-media-coverage-of-crime-30-years-after-chuck-stuart-b64ebfd7928?source=topic_page---------17------------------1,-
Medium.com,Society,Co-Signing Corruption,Justice,https://medium.com/@stephanievolin/co-signing-corruption-b6fee8da475c?source=topic_page---------18------------------1,-
Medium.com,Society,Is Big Tech Heading for a Wall Street-Style Meltdown?,Justice,https://marker.medium.com/is-big-tech-heading-for-a-wall-street-style-meltdown-a209d0a4708a?source=topic_page---------19------------------1,-
Medium.com,Society,"Capital Punishment, one of America’s Achilles’ heels: How the US’s hypocritical take on Human…",Justice,https://medium.com/@chahineamri/capital-punishment-one-of-americas-achilles-heels-how-the-us-s-hypocritical-take-on-human-80c0a9d2241f?source=topic_page---------20------------------1,-
Medium.com,Society,Quit concern trolling about black “fatherlessness”,Justice,https://medium.com/@justinward/quit-concern-trolling-about-black-fatherlessness-96e08da327aa?source=topic_page---------21------------------1,-
Medium.com,Society,A New Kind of Tyranny: The Global State’s War on Those Who Speak Truth to Power,Justice,https://medium.com/@johnw_whitehead/a-new-kind-of-tyranny-the-global-states-war-on-those-who-speak-truth-to-power-ce90a7ace97c?source=topic_page---------22------------------1,-
Medium.com,Society,Why Stephon Clark’s Shooting Death Is Another Slap of Injustice,Justice,https://medium.com/@nilegirl/why-stephon-clarks-shooting-death-is-another-slap-of-injustice-929bd0a6c04a?source=topic_page---------23------------------1,-
Medium.com,Society,Should only free speech be free speech?,Justice,https://medium.com/swlh/should-only-free-speech-be-free-speech-e011fb93a34f?source=topic_page---------24------------------1,-
Medium.com,Society,I Nearly Died in #Yolo County,Justice,https://medium.com/@sabra.boyd/i-nearly-died-in-yolo-county-eaaed16ac334?source=topic_page---------25------------------1,-
Medium.com,Society,Closing Private Prisons — California’s Bold (?) Pushback on the Corporate Warehousing of People,Justice,https://medium.com/@markeroseman/closing-private-prisons-californias-bold-pushback-on-the-corporate-warehousing-of-people-e3ae69487035?source=topic_page---------26------------------1,-
Medium.com,Society,SF’s District Attorney Race Could Determine the Course of the City,Justice,https://thebolditalic.com/san-franciscos-da-race-could-determine-the-course-of-the-city-88862b00b6dd?source=topic_page---------27------------------1,-
Medium.com,Society,Is America Okay With How it Appears to Outsiders?,Justice,https://medium.com/an-injustice/is-america-okay-with-how-it-appears-to-outsiders-be75da093f10?source=topic_page---------28------------------1,-
Medium.com,Society,The Porch Pirate of Potrero Hill Can’t Believe It Came to This,Justice,https://medium.com/the-atlantic/the-porch-pirate-of-potrero-hill-cant-believe-it-came-to-this-c95858a24e8e?source=topic_page---------29------------------1,-
Medium.com,Society,"When Trump Doesn’t Pay His Bills, Crime Victims Pay",Justice,https://medium.com/@delanirbartlette/when-trump-doesnt-pay-his-bills-crime-victims-pay-20e492041a2e?source=topic_page---------30------------------1,-
Medium.com,Society,Federal Fuel Efficiency Standards,Justice,https://medium.com/@thejbsgroup78/federal-fuel-efficiency-standards-7dec8f790508?source=topic_page---------31------------------1,-
Medium.com,Society,Are Rape Laws Reformed Enough?,Justice,https://medium.com/@steverussell_9575/are-rape-laws-reformed-enough-5d4a34e79ec8?source=topic_page---------32------------------1,-
Medium.com,Society,Facebook’s Free Speech Charade,Justice,https://medium.com/swlh/facebooks-free-speech-charade-1630576bf305?source=topic_page---------33------------------1,-
Medium.com,Society,Notorious Attorney Dennis Block Fuels Eviction Crisis,Justice,https://medium.com/@patrickrangemcdonald/notorious-attorney-dennis-block-fuels-eviction-crisis-8b4635aef20?source=topic_page---------34------------------1,-
Medium.com,Society,"Judge Blocks Alabama Abortion Law, Laying a Path to Supreme Court",Justice,https://medium.com/citizen-truth/judge-blocks-alabama-abortion-law-laying-a-path-to-supreme-court-17989b0a21f2?source=topic_page---------35------------------1,-
Medium.com,Society,Austerity Is an Algorithm,Justice,https://medium.com/logic-magazine/austerity-is-an-algorithm-2e87c9e9133f?source=topic_page---------36------------------1,-
Medium.com,Society,Sentences,Justice,https://medium.com/scribe/sentences-d0e5765893fc?source=topic_page---------37------------------1,-
Medium.com,Society,GOP Senators Need to Admit That Donald Trump Has Lost Control,Justice,https://gen.medium.com/gop-senators-need-to-admit-that-donald-trump-has-lost-control-5bafd67cd700?source=topic_page---------38------------------1,-
Medium.com,Society,The Teen Who Cried “There’s a Rapist in Our School”,Justice,https://medium.com/swlh/the-teen-who-cried-theres-a-rapist-in-our-school-69a7786a37c9?source=topic_page---------39------------------1,-
Medium.com,Society,I Was Criticized for My Criticism of the ‘Lock Him Up’ Chant,Justice,https://gen.medium.com/i-was-criticized-for-my-criticism-of-the-lock-him-up-chant-c6328e38545b?source=topic_page---------40------------------1,-
Medium.com,Society,On Who I Become to Survive Life On the Inside — Ryan M. Moser,Justice,https://medium.com/@thewildwordmagazine/on-who-i-become-to-survive-life-on-the-inside-ryan-m-moser-a82437e4d2cb?source=topic_page---------41------------------1,-
Medium.com,Society,70 Phoenix Cops Disciplined for Biased Social Media Posts,Justice,https://medium.com/swlh/70-phoenix-cops-disciplined-for-biased-social-media-posts-ad05e0d4ae36?source=topic_page---------42------------------1,-
Medium.com,Society,When the Wrongly Convicted Plead Guilty for Freedom,Justice,https://medium.com/@jhenryjustice/when-the-wrongly-convicted-plead-guilty-for-freedom-a5909021489c?source=topic_page---------43------------------1,-
Medium.com,Society,"Another Day, Another Killer-Cop Video",Justice,https://medium.com/@hdyerjr/another-day-another-killer-cop-video-d23a2dfd011a?source=topic_page---------44------------------1,-
Medium.com,Society,"No, international students speaking out against S386 is NOT Visa Fraud",Justice,https://medium.com/@realimmigrationvoice/no-international-students-speaking-out-against-s386-is-not-visa-fraud-7bcecc7c7273?source=topic_page---------45------------------1,-
Medium.com,Society,Trans Woman Who Died in ICE Custody Highlights Ongoing Abuse of LGBT Inmates,Justice,https://medium.com/@Phaylen/trans-woman-who-died-in-ice-custody-highlights-ongoing-abuse-of-lgbt-inmates-1f5a63aca93b?source=topic_page---------46------------------1,-
Medium.com,Society,“Going to prison is not the end of the world”: Roger Hallam and XR’s white saviour problem,Justice,https://medium.com/@baesharamdrag/going-to-prison-is-not-the-end-of-the-world-roger-hallam-and-xrs-white-saviour-problem-c34a33f3db93?source=topic_page---------47------------------1,-
Medium.com,Society,"Killing One Monster, Unleashing Another",Justice,https://medium.com/@timjwise/killing-one-monster-unleashing-another-495ca27e88e2?source=topic_page---------48------------------1,-
Medium.com,Society,Is William Barr the Head of DOJ or QAnon?,Justice,https://gen.medium.com/is-william-barr-the-head-of-doj-or-qanon-58d68fc3a31?source=topic_page---------49------------------1,-
Medium.com,Society,Baltimore State’s Attorney Asks Court to Throw Out 790 Crooked Cops’ Cases,Justice,https://medium.com/breakthrough1/baltimore-states-attorney-moves-to-throw-out-thousands-of-crooked-cops-cases-b297ff1b274a?source=topic_page---------50------------------1,-
Medium.com,Society,"POTUS, SCOTUS and US",Justice,https://medium.com/breakthrough1/potus-scotus-and-us-4236484e2a6b?source=topic_page---------51------------------1,-
Medium.com,Society,Watching the House Foreign Affairs Committee’s Hearing on Human Rights in South Asia was like…,Justice,https://medium.com/@induv/colonizerboardmeeting-633584032dee?source=topic_page---------52------------------1,-
Medium.com,Society,A Candid Retelling by the Assaulted and the Assaulter,Justice,https://medium.com/@alexandramosher/a-candid-retelling-by-the-assaulted-and-the-assaulter-2240aa994916?source=topic_page---------53------------------1,-
Medium.com,Society,"Quid Pro Quos, Bureaucrats and Duty",Justice,https://medium.com/freeman-spogli-institute-for-international-studies/quid-pro-quos-bureaucrats-and-duty-45fc51566aab?source=topic_page---------54------------------1,-
Medium.com,Society,Why Pennsylvanians Should Vote “No” On Marsy’s Law,Justice,https://medium.com/@ACLUPA/why-pennsylvanians-should-vote-no-on-marsys-law-c7b438e2e78a?source=topic_page---------55------------------1,-
Medium.com,Society,Restorative Justice: Healing Instead of Incarceration,Justice,https://medium.com/@USNewsBeat/restorative-justice-healing-instead-of-incarceration-bf760601de7?source=topic_page---------56------------------1,-
Medium.com,Society,Trump Signed a Contract to Uphold the Rule of Law. He’s Stiffing America on That Deal.,Justice,https://gen.medium.com/trump-signed-a-contract-to-uphold-the-rule-of-law-hes-welching-on-the-deal-c856e846431c?source=topic_page---------57------------------1,-
Medium.com,Society,How to Support the Fight For LGBTQ Rights,Justice,https://medium.com/wake-up-call/how-to-support-the-fight-for-lgbtq-rights-1ab719065e38?source=topic_page---------58------------------1,-
Medium.com,Society,Should Corporations Go To Jail?,Justice,https://medium.com/@nathanshedroff/should-corporations-go-to-jail-1caca1a59975?source=topic_page---------59------------------1,-
Medium.com,Society,Artificial Intelligence and the Future of Law,Justice,https://medium.com/per-pro-schema/artificial-intelligence-and-the-future-of-law-280c606d6f24?source=topic_page---------60------------------1,-
Medium.com,Society,Spending $9 Billion on New Architecture Will Not Solve the Rikers Problem,Justice,https://medium.com/new-york-magazine/spending-9-billion-on-new-architecture-will-not-solve-the-rikers-problem-c64b9dec7452?source=topic_page---------61------------------1,-
Medium.com,Society,Police officer in Fort Worth shooting charged with murder,Justice,https://medium.com/@themillennialsource/police-officer-in-fort-worth-shooting-charged-with-murder-c784b6f17a7f?source=topic_page---------62------------------1,-
Medium.com,Society,Dedicated to the Loved Ones of Women Who’ve Been Raped,Justice,https://medium.com/@lilianraji/dedicated-to-the-loved-ones-of-women-whove-been-raped-bf4b1d173d23?source=topic_page---------63------------------1,-
Medium.com,Society,The Zombie Hunter: Trial Started for Arizona’s Real-Life Serial Killer,Justice,https://medium.com/@kympasqualini/the-zombie-hunter-trial-started-for-arizonas-real-life-serial-killer-637ef6514e9b?source=topic_page---------64------------------1,-
Medium.com,Society,Averting the Supreme Court Apocalypse,Justice,https://medium.com/@david_70369/averting-the-supreme-court-apocalypse-899b2f323d2?source=topic_page---------65------------------1,-
Medium.com,Society,Fighting Back as SCOTUS Takes Aim at Abortion Rights,Justice,https://medium.com/@terry.oneill.2008/fighting-back-as-scotus-takes-aim-at-abortion-rights-2e1d9f95ba56?source=topic_page---------66------------------1,-
Medium.com,Society,Advocates Call on DA Zappala to End Use of Facial Recognition Technology,Justice,https://medium.com/@ACLUPA/advocates-call-on-da-zappala-to-end-use-of-facial-recognition-technology-aaf6cbd2d02?source=topic_page---------67------------------1,-
Medium.com,Society,The Legacy of the Silk Road Lives on While Its Founder Rots in Prison,Justice,https://medium.com/@boylan.mm/the-legacy-of-the-silk-road-lives-on-while-its-founder-rots-in-prison-dbef0a461306?source=topic_page---------68------------------1,-
Medium.com,Society,The Scandal of Evangelicals Protecting Sexual Abuse…with Doctrine,Justice,https://medium.com/@dissentingpilgrim/the-scandal-of-evangelicals-protecting-sexual-abuse-with-doctrine-acb940c9e8e3?source=topic_page---------69------------------1,-
Medium.com,Society,The Clueless Cruelty of Trump,Justice,https://medium.com/@jacquelinedooley/the-clueless-cruelty-of-trump-fa97f5e61aea?source=topic_page---------70------------------1,-
Medium.com,Society,What I Learned from Looking at ~100K Domestic Violence Cases in San Antonio and Bexar County,Justice,https://medium.com/@lilygc/what-i-learned-from-looking-at-100k-domestic-violence-cases-in-san-antonio-and-bexar-county-1345c3f9d08b?source=topic_page---------71------------------1,-
