Source,Domain,Heading,Category,URL,Text
Medium.com,Society,My Partner Made Me Wait A Year Before We Had Sex,LGBTQIA,https://medium.com/sexography/my-partner-made-me-wait-a-year-before-we-had-sex-6619dcd8efe9?source=topic_page---------0------------------1,-
Medium.com,Society,It’s OK to Not Know Yourself,LGBTQIA,https://medium.com/swlh/its-ok-to-not-know-yourself-6d4e7aa0cd1a?source=topic_page---------1------------------1,-
Medium.com,Society,Are the Responses to the Viral Renault Clio Advert Biphobic?,LGBTQIA,https://medium.com/an-injustice/are-the-responses-to-the-viral-renault-clio-advert-biphobic-b416255e5525?source=topic_page---------2------------------1,-
Medium.com,Society,Good Riddance to the Venus Symbol on Maxi Pads,LGBTQIA,https://gen.medium.com/good-riddance-to-the-venus-symbol-on-maxi-pads-7d2669e98539?source=topic_page---------4------------------1,-
Medium.com,Society,Preparing for Parenthood: A LGBTQ+ Quick Guide,LGBTQIA,https://medium.com/b-o-s-perspectives/preparing-for-parenthood-a-lgbtq-quick-guide-6567ca3ed23e?source=topic_page---------5------------------1,-
Medium.com,Society,Privilege Defines King Princess’ New Album,LGBTQIA,https://medium.com/something-sensational/privilege-defines-king-princess-new-album-af1754887ce6?source=topic_page---------6------------------1,-
Medium.com,Society,How My Relationship Changed For the Better After I Came Out,LGBTQIA,https://medium.com/@rhian.beam/how-my-relationship-changed-for-the-better-after-i-came-out-9f7c949484a3?source=topic_page---------7------------------1,-
Medium.com,Society,Trans Reflections: Finding Your Voice and Pushing Your Own Limits,LGBTQIA,https://medium.com/@michellejanetat/trans-reflections-finding-your-voice-and-pushing-your-own-limits-2719b2e95de1?source=topic_page---------8------------------1,-
Medium.com,Society,"No, I’m Not Babysitting My Own Kids",LGBTQIA,https://medium.com/@daddyandpapa/no-im-not-babysitting-my-own-kids-4e7e92b10e16?source=topic_page---------9------------------1,-
Medium.com,Society,I Thought I Would Marry Jesus,LGBTQIA,https://humanparts.medium.com/i-thought-i-would-marry-jesus-21c33c0e49ad?source=topic_page---------10------------------1,-
Medium.com,Society,How a High School Student Can Be a Real LGBT Activist,LGBTQIA,https://medium.com/james-finn/how-a-high-school-student-can-be-a-real-lgbt-activist-4471c267a9ae?source=topic_page---------11------------------1,-
Medium.com,Society,We’re Failing to Protect Marginalized Kids in Schools. Here’s Why.,LGBTQIA,https://medium.com/@jorjorian/were-failing-to-protect-marginalized-kids-in-schools-here-s-why-edb4de96d2d3?source=topic_page---------12------------------1,-
Medium.com,Society,North America’s Shocking Rate of LGBTQ+ Homelessness,LGBTQIA,https://medium.com/th-ink/north-americas-shocking-rate-of-lgbtq-homelessness-1b86a4f155db?source=topic_page---------13------------------1,-
Medium.com,Society,I Feel Like I’m Wasting My Bisexuality,LGBTQIA,https://medium.com/love-emma/i-feel-like-im-wasting-my-bisexuality-ae7671815680?source=topic_page---------14------------------1,-
Medium.com,Society,"LGBTQ Characters Hit Record High on Network TV, Study Says",LGBTQIA,https://medium.com/@CTStaff/lgbtq-characters-hit-record-high-on-network-tv-study-says-83f9b643928a?source=topic_page---------15------------------1,-
Medium.com,Society,We Need To Talk About Trans-Agitators,LGBTQIA,https://medium.com/@Phaylen/we-need-to-talk-about-trans-agitators-d1bbd5c55c6b?source=topic_page---------16------------------1,-
Medium.com,Society,How Heartbreak Helped Me Recognize and Process My Internalized Biphobia,LGBTQIA,https://medium.com/@reidunsaxerud/how-heartbreak-helped-me-recognize-and-process-my-internalized-biphobia-e70f9dad535?source=topic_page---------17------------------1,-
Medium.com,Society,The Paradoxes and Ambiguities of ‘Gay’ and ‘Mormon’: My Journey to Embracing My Sexuality,LGBTQIA,https://medium.com/@michael.i.mcleod/the-paradoxes-and-ambiguities-of-gay-and-mormon-my-journey-to-embracing-my-sexuality-cadb1dd681fd?source=topic_page---------18------------------1,-
Medium.com,Society,I’m Growing My Hair Long and I’m Worried I’ll Look Straight,LGBTQIA,https://medium.com/an-injustice/im-growing-my-hair-long-and-i-m-worried-i-ll-look-straight-22399ed59194?source=topic_page---------19------------------1,-
Medium.com,Society,When a Gay Man Dates a Married Straight Guy,LGBTQIA,https://medium.com/sexography/when-a-gay-man-dates-a-married-straight-guy-2bf2a4893187?source=topic_page---------20------------------1,-
Medium.com,Society,My Trans Kid Is About to Start Testosterone,LGBTQIA,https://psiloveyou.xyz/my-trans-kid-is-about-to-start-testosterone-c101b7de3377?source=topic_page---------21------------------1,-
Medium.com,Society,Gay Penguin Power Couples Around The World,LGBTQIA,https://medium.com/@TheOutOutdoors/gay-penguin-power-couples-around-the-world-8947c1155bbc?source=topic_page---------22------------------1,-
Medium.com,Society,A Road Trip with Jonathan Van Ness,LGBTQIA,https://medium.com/@aaronhicklin/a-road-trip-with-jonathan-van-ness-46c5d013651d?source=topic_page---------23------------------1,-
Medium.com,Society,Word Wednesday: ‘Seeing Gender’ by Iris Gottlieb,LGBTQIA,https://medium.com/@geekdads/word-wednesday-seeing-gender-by-iris-gottlieb-596426798af6?source=topic_page---------24------------------1,-
Medium.com,Society,Taipei Holds First Pride Parade After This Year’s Passed Legislation On Same-Sex Marriage,LGBTQIA,https://medium.com/@sidewalkkilla.official/taipei-holds-first-pride-parade-after-this-years-passed-legislation-on-same-sex-marriage-6ae1fac73a6e?source=topic_page---------25------------------1,-
Medium.com,Society,"King Ester: Art, Activism, and Trans Reality",LGBTQIA,https://medium.com/james-finn/king-ester-art-activism-and-trans-reality-3cba05e2124f?source=topic_page---------26------------------1,-
Medium.com,Society,The Pulpit Presents: Let’s Get Spooked,LGBTQIA,https://medium.com/pulpmag/the-pulpit-presents-lets-get-spooked-c416893205b7?source=topic_page---------27------------------1,-
Medium.com,Society,November Tarotscopes,LGBTQIA,https://medium.com/pulpmag/november-tarotscopes-692a015e1866?source=topic_page---------28------------------1,-
Medium.com,Society,Love at the Intersection of Identities,LGBTQIA,https://medium.com/th-ink/love-at-the-intersection-of-identities-5e619173793e?source=topic_page---------29------------------1,-
Medium.com,Society,Is My Suit Making You Uncomfortable?,LGBTQIA,https://humanparts.medium.com/is-my-suit-making-you-uncomfortable-367b44d43dac?source=topic_page---------30------------------1,-
