Source,Domain,Heading,Category,URL,Text
Medium.com,Society,A Cheat Sheet for Commas,Language,https://medium.com/live-your-life-on-purpose/a-cheat-sheet-for-commas-51c37028b346?source=topic_page---------0------------------1,-
Medium.com,Society,Stop Asking People if They Speak Mandarin or Cantonese,Language,https://medium.com/@taiarima/stop-asking-people-if-they-speak-mandarin-or-cantonese-c679bcbd6730?source=topic_page---------1------------------1,-
Medium.com,Society,Impact of using transfer learning in NLP,Language,https://towardsdatascience.com/impact-of-using-transfer-learning-in-nlp-59ffc4ffb806?source=topic_page---------2------------------1,-
Medium.com,Society,How to Never Run Out of Things to Talk About,Language,https://medium.com/@marcforsteralgas/how-to-never-run-out-of-things-to-talk-about-748b0b6a615f?source=topic_page---------4------------------1,-
Medium.com,Society,The Advent of Language,Language,https://medium.com/swlh/the-advent-of-language-245e8df17668?source=topic_page---------5------------------1,-
Medium.com,Society,I Will Never Again Use the Term “My Tribe”,Language,https://medium.com/the-partnered-pen/i-will-never-again-use-the-term-my-tribe-639467d419f8?source=topic_page---------6------------------1,-
Medium.com,Society,"Language, Humanity, and Religion",Language,https://medium.com/interfaith-now/language-humanity-and-religion-2b49beae17f6?source=topic_page---------7------------------1,-
Medium.com,Society,Your Brain On Storytelling: 3 Reasons Why Stories Help Us Learn Languages Faster & More Efficiently,Language,https://medium.com/swlh/your-brain-on-storytelling-3-reasons-why-stories-help-us-learn-languages-faster-more-efficiently-9700d663d65f?source=topic_page---------8------------------1,-
Medium.com,Society,‘Boomer’ is Not the Ageist Slur You Think It Is,Language,https://medium.com/@taylor.carr/boomer-is-not-the-ageist-slur-you-think-it-is-19041ddb208?source=topic_page---------9------------------1,-
Medium.com,Society,Museums of the mind,Language,https://medium.com/adinkra/museums-of-the-mind-f4bd6940716c?source=topic_page---------10------------------1,-
Medium.com,Society,You’re The Alien! How Learning A New Language Gives You A Radically Strange Perspective on Life,Language,https://medium.com/@andr3klein/youre-the-alien-how-learning-a-new-language-gives-you-a-radically-new-perspective-on-life-1e3868002469?source=topic_page---------11------------------1,-
Medium.com,Society,The Origins of The World’s Most Iconic Idioms,Language,https://medium.com/the-geist-by-d-i-hughes/the-origins-of-the-worlds-most-iconic-idioms-b8f5a42efb86?source=topic_page---------12------------------1,-
Medium.com,Society,Can We Please Stop Using ‘Latinx’? Thanx.,Language,https://humanparts.medium.com/can-we-please-stop-using-latinx-thanx-423ac92a87dc?source=topic_page---------13------------------1,-
