Source,Domain,Heading,Category,URL,Text
Medium.com,Industry,Before You Introduce a Change You Need to Allow People to Say Goodbye,Leadership,https://medium.com/summit-plus/before-you-introduce-a-change-you-need-to-allow-people-to-say-goodbye-b8476f5e1587?source=topic_page---------0------------------1,-
Medium.com,Industry,Project Manager: Leader or Administrator?,Leadership,https://medium.com/management-matters/project-manager-leader-or-administrator-77e95fa544eb?source=topic_page---------1------------------1,-
Medium.com,Industry,The Power Of A Come To Jesus Talk,Leadership,https://medium.com/the-helm/the-power-of-a-come-to-jesus-talk-a846eb3f4260?source=topic_page---------2------------------1,-
Medium.com,Industry,Don’t Poke Holes in Potential,Leadership,https://medium.com/@megan.housekeeper/dont-poke-holes-in-potential-50d3f85d228b?source=topic_page---------4------------------1,-
Medium.com,Industry,"Sometimes, Being a Programmer Sucks",Leadership,https://medium.com/better-programming/sometimes-being-a-programmer-sucks-7be2696dc09f?source=topic_page---------5------------------1,-
Medium.com,Industry,"On the future of society, technology and innovation",Leadership,https://medium.com/enrique-dans/on-the-future-of-society-technology-and-innovation-c994de1a9f4a?source=topic_page---------6------------------1,-
Medium.com,Industry,"If You Want to Be a Great Leader, You Need EQ, Not IQ",Leadership,https://medium.com/swlh/if-you-want-to-be-a-great-leader-you-need-eq-not-iq-8052b974e4c1?source=topic_page---------7------------------1,-
Medium.com,Industry,"When You Work For Yourself, You Work For Everyone",Leadership,https://medium.com/@aarondinin/when-you-work-for-yourself-you-work-for-everyone-45dacf610802?source=topic_page---------8------------------1,-
Medium.com,Industry,Stop Faking It: Why We Should All Be More Vulnerable at Work,Leadership,https://medium.com/swlh/stop-faking-it-why-we-should-all-be-more-vulnerable-at-work-39722fbd8bfd?source=topic_page---------9------------------1,-
Medium.com,Industry,Why Smart People Sometimes Fail,Leadership,https://medium.com/@rosennab/why-smart-people-sometimes-fail-e19e0f025c19?source=topic_page---------10------------------1,-
Medium.com,Industry,5 Common Errors Stopping You From Leading Effectively,Leadership,https://medium.com/the-gyst/5-common-errors-stopping-you-from-leading-effectively-9354a53364c3?source=topic_page---------11------------------1,-
Medium.com,Industry,Businesses die because of Shiny Object Syndrome,Leadership,https://medium.com/swlh/businesses-die-because-of-shiny-object-syndrome-fcbc801dc1df?source=topic_page---------12------------------1,-
Medium.com,Industry,5 Things You Need To Stop Doing in Interviews,Leadership,https://medium.com/swlh/5-things-you-need-to-stop-doing-in-interviews-ab0520d27824?source=topic_page---------13------------------1,-
Medium.com,Industry,How to Build an Effective Team for Projects,Leadership,https://levelup.gitconnected.com/how-to-build-an-effective-team-for-projects-8786975e030d?source=topic_page---------14------------------1,-
Medium.com,Industry,Design Principles in Leadership: Postel’s Law,Leadership,https://medium.com/the-human-business/design-principles-in-leadership-postels-law-f3d7192cc7ac?source=topic_page---------15------------------1,-
Medium.com,Industry,10 Principles to Run Productive Meetings Every Time,Leadership,https://medium.com/swlh/10-principles-to-run-productive-meetings-every-time-3ac8d7082e04?source=topic_page---------16------------------1,-
Medium.com,Industry,How To Tell If Your Idea Is Any Good,Leadership,https://medium.com/better-marketing/how-to-tell-if-your-idea-is-any-good-8ba5a7008830?source=topic_page---------17------------------1,-
Medium.com,Industry,Feeling Burned Out? How to Bounce Back Without Working Less,Leadership,https://medium.com/swlh/feeling-burned-out-how-to-bounce-back-without-working-less-3f39c2f0983b?source=topic_page---------18------------------1,-
Medium.com,Industry,Why Every Team Needs Its ‘Oh Sh*t’ Moment,Leadership,https://marker.medium.com/why-great-leaders-let-their-team-feel-the-pressure-77cb04ecaf1e?source=topic_page---------19------------------1,-
Medium.com,Industry,‘Why’ Is A Useless Question,Leadership,https://medium.com/mind-cafe/why-is-a-useless-question-9fd816a5a3c1?source=topic_page---------20------------------1,-
Medium.com,Industry,"Why Women Rule, At Least They Should",Leadership,https://ceoplaybook.io/why-women-rule-at-least-they-should-416403c3072b?source=topic_page---------21------------------1,-
Medium.com,Industry,How being brave will improve your productivity,Leadership,https://medium.com/sparks-publication/how-being-brave-will-improve-your-productivity-880c74f591fd?source=topic_page---------22------------------1,-
Medium.com,Industry,A Few Things I Realised After My First Year of Managing People,Leadership,https://medium.com/swlh/a-few-things-i-realised-after-my-first-year-of-managing-people-ec82f99299b7?source=topic_page---------23------------------1,-
