Source,Domain,Heading,Category,URL,Text
Medium.com,Life,Eat Better on Your Next Flight with This Prep-Ahead Meal Guide,Lifestyle,https://medium.com/airbnbmag/eat-well-on-flights-c02d68c51b85?source=topic_page---------0------------------1,-
Medium.com,Life,Cupid Tinder Match: Is There a Manual For This?,Lifestyle,https://psiloveyou.xyz/cupid-tinder-match-is-there-a-manual-for-this-e25eba7870eb?source=topic_page---------1------------------1,-
Medium.com,Life,You Should Fall in Platonic Love More Often,Lifestyle,https://psiloveyou.xyz/you-should-fall-in-platonic-love-more-often-aa062cdcb8b5?source=topic_page---------2------------------1,-
Medium.com,Life,An Ex at the Airport,Lifestyle,https://psiloveyou.xyz/an-ex-at-the-airport-47f33d39db76?source=topic_page---------4------------------1,-
Medium.com,Life,Effective Ways to Stop a Habit,Lifestyle,https://medium.com/live-your-life-on-purpose/effective-ways-to-stop-a-habit-88151909d636?source=topic_page---------5------------------1,-
Medium.com,Life,A Simple Guide to Decluttering,Lifestyle,https://medium.com/@davetanwrites/a-simple-guide-to-decluttering-f5ce924179c?source=topic_page---------6------------------1,-
Medium.com,Life,When Did I Get this Heavy?,Lifestyle,https://medium.com/@mjblehart/when-did-i-get-this-heavy-2fb2135e5062?source=topic_page---------7------------------1,-
Medium.com,Life,My Life Under 200 Pounds,Lifestyle,https://medium.com/girl-get-you-shit-together/my-life-under-200-pounds-a2d4bc4a3b36?source=topic_page---------8------------------1,-
Medium.com,Life,Playing Games vs. Having Standards: Why Rules in Dating Matter,Lifestyle,https://psiloveyou.xyz/playing-games-vs-having-standards-why-rules-in-dating-matter-3a3e3efde5d8?source=topic_page---------9------------------1,-
Medium.com,Life,Here’s What Happened When I Spent 24 (Semi-Miserable) Hours Trying Silicon Valley’s Hot New Trend…,Lifestyle,https://medium.com/inc./heres-what-happened-when-i-spent-24-semi-miserable-hours-trying-silicon-valley-s-hot-new-trend-92db56f3867b?source=topic_page---------10------------------1,-
Medium.com,Life,"50 Gift Ideas for the Writers, Bloggers, and Entrepreneurs in Your Life",Lifestyle,https://medium.com/better-marketing/50-gift-ideas-for-the-writers-bloggers-and-entrepreneurs-in-your-life-8870efd96645?source=topic_page---------11------------------1,-
Medium.com,Life,The 7 Characteristics of Highly Confident People,Lifestyle,https://psiloveyou.xyz/the-7-characteristics-of-highly-confident-people-4eed8db8dbf7?source=topic_page---------12------------------1,-
Medium.com,Life,The Reasons Why People Cheat Are Never Simple,Lifestyle,https://psiloveyou.xyz/the-reasons-why-people-cheat-are-never-simple-deda907b4779?source=topic_page---------13------------------1,-
Medium.com,Life,The Stories We Tell Ourselves,Lifestyle,https://medium.com/@sachacohen/the-stories-we-tell-ourselves-7576b01b1d8b?source=topic_page---------14------------------1,-
Medium.com,Life,Get Organized: How Technology Can Help (and Hurt) Your Sleep,Lifestyle,https://medium.com/pcmag-access/get-organized-how-technology-can-help-and-hurt-your-sleep-3f294b40d16b?source=topic_page---------15------------------1,-
Medium.com,Life,What Nutritionists Say About Cheat Days,Lifestyle,https://medium.com/@sleeplessauthor/what-nutritionists-say-about-cheat-days-45159c9fa6df?source=topic_page---------16------------------1,-
Medium.com,Life,How I Forgave My Abusive Ex,Lifestyle,https://psiloveyou.xyz/how-i-forgave-my-abusive-ex-b0fc619e9e40?source=topic_page---------17------------------1,-
