Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Special Relativity Rebooted — Part 2,Math,https://medium.com/neoclassical-physics/special-relativity-rebooted-part-2-8d5c7d53d9d6?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,"Mean, Median and Mode",Math,https://medium.com/@shefaliohara/mean-median-and-mode-c1d681df3fae?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,Linear Algebra and Probability Theory Review for ML,Math,https://towardsdatascience.com/linear-algebra-and-probability-theory-review-for-ml-e3d2d70c5eb3?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,Multicollinearity: Why is it a problem?,Math,https://towardsdatascience.com/multicollinearity-why-is-it-a-problem-398b010b77ac?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Pieces of Programming — Binary Search,Math,https://medium.com/@kristian.roopnarine/pieces-of-programming-binary-search-777f1826c734?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Do androids play electric scrabble?,Math,https://medium.com/@simon.notley.work/do-androids-play-electric-scrabble-bb0de7124410?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,Decision Trees: A Complete Introduction,Math,https://towardsdatascience.com/decision-trees-60707f06e836?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,The Problem with P-Values,Math,https://towardsdatascience.com/the-problem-with-p-values-f056245f78a3?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,Basic statistics for every Data Scientist,Math,https://towardsdatascience.com/basic-statistics-for-every-data-scientist-898ab5116a08?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Dijkstra’s Shortest Path Algorithm in Python,Math,https://medium.com/cantors-paradise/dijkstras-shortest-path-algorithm-in-python-d955744c7064?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,The Unparalleled Genius of John von Neumann,Math,https://medium.com/cantors-paradise/the-unparalleled-genius-of-john-von-neumann-791bb9f42a2d?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,The Julia Factorial Issue,Math,https://towardsdatascience.com/the-julia-factorial-issue-72d12f1f42f?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,Powering Through that Math Degree —  What’s Next?,Math,https://medium.com/@bobbymul93/powering-through-that-math-degree-whats-next-eb5de7585f4b?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,Fundamentals of Reinforcement Learning: Navigating Gridworld with Dynamic Programming,Math,https://medium.com/gradientcrescent/fundamentals-of-reinforcement-learning-navigating-gridworld-with-dynamic-programming-9b98a6f20310?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,Mathematics (and a bit of Computer Science),Math,https://medium.com/@gvdatiles/mathematics-and-a-bit-of-computer-science-cefa1bc71704?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,Einstein’s Theory of Relativity,Math,https://medium.com/cantors-paradise/einsteins-theory-of-relativity-25278f96013?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,STL decomposition : How to do it from Scratch?,Math,https://towardsdatascience.com/stl-decomposition-how-to-do-it-from-scratch-b686711986ec?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,How Big Is The Number — Tree(3),Math,https://towardsdatascience.com/how-big-is-the-number-tree-3-61b901a29a2c?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,Probability Learning VI: Hidden Markov Models,Math,https://towardsdatascience.com/probability-learning-vi-hidden-markov-models-fab5c1f0a31d?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,Why Giant Dragonflies Aren’t Eating Your Pets,Math,https://medium.com/@cosinekitty/why-giant-dragonflies-arent-eating-your-pets-62a7182b783d?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Do You Know Credible Interval,Math,https://towardsdatascience.com/do-you-know-credible-interval-e5b833adf399?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,Regression Discontinuity Design: The Crown Jewel of Causal Inference,Math,https://towardsdatascience.com/the-crown-jewel-of-causal-inference-regression-discontinuity-design-rdd-bad37a68e786?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,Ensemble Trees: Bagging and Boosting,Math,https://medium.com/analytics-vidhya/ensemble-trees-bagging-and-boosting-7f964c6add7?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,Just Keep Guessing: The Power of the Monte Carlo Method,Math,https://towardsdatascience.com/just-keep-guessing-the-power-of-the-monte-carlo-method-f06bc6f33d19?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,Understanding Maximum Likelihood Estimation,Math,https://towardsdatascience.com/understanding-maximum-likelihood-estimation-fa495a03017a?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Using Texas Hold Em to Understand Probability,Math,https://medium.com/@jakecohen212/using-texas-hold-em-to-understand-probability-fc2d21edeeee?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,An intuitive real life example of a binomial distribution and how to simulate it in R,Math,https://towardsdatascience.com/an-intuitive-real-life-example-of-a-binomial-distribution-and-how-to-simulate-it-in-r-d72367fbc0fa?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,Applying Statistics in Python — part II,Math,https://towardsdatascience.com/applying-statistics-in-python-part-ii-a66c9b2ccabd?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,Let’s Make a Deal,Math,https://towardsdatascience.com/lets-make-a-deal-7eff0f5a7ef8?source=topic_page---------29------------------1,-
Medium.com,Innovation & Tech,Essential Probability in Python: Permutations and Combinations,Math,https://towardsdatascience.com/essential-probability-in-python-permutations-and-combinations-7323a2ea39e5?source=topic_page---------30------------------1,-
Medium.com,Innovation & Tech,Abusing the Null Hypothesis,Math,https://medium.com/the-spiritual-anthropologist/abusing-the-null-hypothesis-1c488ad763c?source=topic_page---------31------------------1,-
Medium.com,Innovation & Tech,Central Limit & Large Numbers,Math,https://towardsdatascience.com/central-limit-large-numbers-b86713585491?source=topic_page---------32------------------1,-
Medium.com,Innovation & Tech,"How to Lose Weight, Mathematically",Math,https://medium.com/cantors-paradise/how-to-lose-weight-mathematically-c66196a67b72?source=topic_page---------33------------------1,-
Medium.com,Innovation & Tech,Leibniz and His Approach to God,Math,https://medium.com/however-mathematics/leibniz-and-his-approach-to-god-3246f81da650?source=topic_page---------34------------------1,-
