Source,Domain,Heading,Category,URL,Text
Medium.com,Life,My Battle with Perfectionism,Mental Health,https://medium.com/@nwjs888/my-battle-with-perfectionism-304862a1f67e?source=topic_page---------0------------------1,-
Medium.com,Life,Why do holes horrify me?,Mental Health,https://medium.com/@mosaicscience/why-do-holes-horrify-me-98e7dc3c79aa?source=topic_page---------1------------------1,-
Medium.com,Life,The Relentless Pursuit of Nothing,Mental Health,https://medium.com/@thisisgorman/the-relentless-pursuit-of-nothing-ee7e43f2f427?source=topic_page---------2------------------1,-
Medium.com,Life,"We Write to Heal, So How Do We Heal from Writing?",Mental Health,https://medium.com/the-brave-writer/we-write-to-heal-so-how-do-we-heal-from-writing-ab5c4839e970?source=topic_page---------4------------------1,-
Medium.com,Life,So Your Friend is in a Toxic Relationship?,Mental Health,https://medium.com/fearless-she-wrote/so-your-friend-is-in-a-toxic-relationship-77fe003f6f0a?source=topic_page---------5------------------1,-
Medium.com,Life,The art of doing nothing.,Mental Health,https://medium.com/invisible-illness/the-art-of-doing-nothing-2a9b9e231dbb?source=topic_page---------6------------------1,-
Medium.com,Life,Working Together on Mental Health SF,Mental Health,https://medium.com/@LondonBreed/working-together-on-mental-health-sf-6052d32cd2d3?source=topic_page---------7------------------1,-
Medium.com,Life,Articulating Love can be Scary but you Should do it Anyway,Mental Health,https://medium.com/@KittyHannahEden/articulating-love-can-be-scary-but-you-should-do-it-anyway-4c2fc4d51e1d?source=topic_page---------8------------------1,-
Medium.com,Life,The Myth of Resiliency After an Assault,Mental Health,https://humanparts.medium.com/after-and-assault-the-myth-of-resiliency-bc0d3b176203?source=topic_page---------9------------------1,-
Medium.com,Life,Getting Good at Doing Things Badly,Mental Health,https://humanparts.medium.com/getting-good-at-doing-things-badly-d691ec7cf17f?source=topic_page---------10------------------1,-
Medium.com,Life,How I Overcame Cult Trauma With Psychedelics,Mental Health,https://humanparts.medium.com/how-i-overcame-cult-trauma-with-psychedelics-4342c03a074c?source=topic_page---------11------------------1,-
Medium.com,Life,In The Passing: Tips for Handling Grief,Mental Health,https://medium.com/reboot-leadership-resiliency/in-the-passing-tips-for-handling-grief-d4a1d401a765?source=topic_page---------12------------------1,-
Medium.com,Life,The Biggest Reason We Don’t Stay Sober,Mental Health,https://medium.com/@GillianCanWrite/the-biggest-reason-we-dont-stay-sober-944c0276a0cd?source=topic_page---------13------------------1,-
Medium.com,Life,The How-to Guide to Grieving,Mental Health,https://medium.com/@mollyroseschwartz/the-how-to-guide-to-grieving-f199b531913a?source=topic_page---------14------------------1,-
Medium.com,Life,There Is Almost No Evidence That Cannabis Will Improve Mental Health Conditions,Mental Health,https://medium.com/the-no-bs-guide-to-medical-cannabis/cannabis-and-mental-health-3724d0e352f4?source=topic_page---------15------------------1,-
Medium.com,Life,For The Love of Art,Mental Health,https://psiloveyou.xyz/for-the-love-of-art-d998a9873f4e?source=topic_page---------16------------------1,-
Medium.com,Life,OCD Went to War With the Dishwasher and Won,Mental Health,https://medium.com/invisible-illness/ocd-went-to-war-with-thedishwasher-and-won-83d6d8fa1e96?source=topic_page---------17------------------1,-
Medium.com,Life,It’s Time To Help Veterans with Other-Than-Honorable Discharges Access Mental Health Treatment,Mental Health,https://medium.com/truman-doctrine-blog/its-time-to-help-veterans-with-other-than-honorable-discharges-access-mental-health-treatment-6df743a09b5f?source=topic_page---------18------------------1,-
Medium.com,Life,We Need To Stop Talking About Feeling Fat and Losing Weight,Mental Health,https://medium.com/an-injustice/we-need-to-stop-talking-about-feeling-fat-and-losing-weight-9a8e7fe584e?source=topic_page---------19------------------1,-
Medium.com,Life,Kicking the Anxiety Demon to the Curb,Mental Health,https://medium.com/the-ascent/kicking-the-anxiety-demon-to-the-curb-2bb5b5c4057c?source=topic_page---------20------------------1,-
Medium.com,Life,Living with an Eating Disorder- Ever Wondered what It Feels like?,Mental Health,https://medium.com/@claudiavidor/living-with-an-eating-disorder-ever-wondered-what-it-feels-like-8c61b9f4b2e3?source=topic_page---------21------------------1,-
Medium.com,Life,You can find inspiration in the midst of depression,Mental Health,https://medium.com/lady-vivra/getting-inspired-while-depressed-325060bfe887?source=topic_page---------22------------------1,-
Medium.com,Life,The Disorder Returns.,Mental Health,https://medium.com/@orionjessie/the-disorder-returns-2af2a141612c?source=topic_page---------23------------------1,-
