Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,From Carman to Kanye: An Incomplete Timeline of Holy Hip Hop,Music,https://medium.com/@Christian.Dashiell/from-carman-to-kanye-an-incomplete-timeline-of-holy-hip-hop-7f2ce2eb3e5d?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,The Magic of Shazam,Music,https://medium.com/@durutheguru/the-magic-of-shazam-7d06cd5963c6?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,"As Wings to a Bird: Pride and Prejudice, Annihilation, and the Magnetism Musical Scores Bring to…",Music,https://medium.com/@amrita.chakraborty/as-wings-to-a-bird-pride-and-prejudice-annihilation-and-the-magnetism-musical-scores-bring-to-6046ec00387d?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,"The Smaller the Theater, the Faster the Music",Music,https://medium.com/nautilus-magazine/the-smaller-the-theater-the-faster-the-music-30a520f53a3?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,Christine Smith — It’s about time,Music,https://medium.com/ko63-music/christine-smith-its-about-time-4c40dab7b8ee?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,Rich Robinson keeps it real with The Magpie Salute,Music,https://medium.com/ko63-music/rich-robinson-keeps-it-real-with-the-magpie-salute-3c38f9e96e29?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,Privilege Defines King Princess’ New Album,Music,https://medium.com/something-sensational/privilege-defines-king-princess-new-album-af1754887ce6?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,John or Paul? Data Resolves the Age Old “Who was the #1 Beatle” Question,Music,https://towardsdatascience.com/john-or-paul-data-resolves-the-age-old-who-was-the-1-beatle-question-fca8d8232df5?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,Paul’s Song on His 7th Birthday or a Fan Letter to M. Ward,Music,https://medium.com/@katesuddes/pauls-song-on-his-7th-birthday-or-a-fan-letter-to-m-ward-b705a92331fd?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,Here’s to the Youth Gone Forever Wild,Music,https://medium.com/the-wonderland-culture-report/heres-to-the-youth-gone-forever-wild-7dff31ece607?source=topic_page---------10------------------1,-
