Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,How to Manipulate Memories,Neuroscience,https://medium.com/neodotlife/how-to-manipulate-memories-eff2e2ecc8ce?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,The TL;DR on Neuralink’s First Press Conference,Neuroscience,https://towardsdatascience.com/the-tl-dr-on-neuralinks-first-press-conference-11ba33b136f9?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,The Stories We Tell Us About Ourselves,Neuroscience,https://towardsdatascience.com/explainability-and-the-art-of-confabulation-d4fb176de982?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,AI: fledgling barn owls vs. general-purpose learning algorithms,Neuroscience,https://medium.com/swlh/ai-fledgling-barn-owls-vs-general-purpose-learning-algorithms-e6b3300d319d?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Your Brain On Storytelling: 3 Reasons Why Stories Help Us Learn Languages Faster & More Efficiently,Neuroscience,https://medium.com/swlh/your-brain-on-storytelling-3-reasons-why-stories-help-us-learn-languages-faster-more-efficiently-9700d663d65f?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Speech Impairments in the 21st Century: Could BCIs be the Solution?,Neuroscience,https://medium.com/swlh/speech-impairments-in-the-21st-century-could-bcis-be-the-solution-d3d356b7b822?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,SAD Is Serious,Neuroscience,https://elemental.medium.com/sad-is-serious-b7c672fd185?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,The Colors We Eat,Neuroscience,https://medium.com/nautilus-magazine/the-colors-we-eat-9ae8a867d17f?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,"To Boost Your Creativity, Embrace Your Inner Scientist",Neuroscience,https://medium.com/swlh/to-boost-your-creativity-embrace-your-inner-scientist-42a1c792e4ee?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Sensory Ghosts: An Accidental Debut,Neuroscience,https://medium.com/swlh/a-little-help-from-our-friends-the-first-publication-on-phantom-pain-2ca220d9b874?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,How to Train Your Brain to Remember Almost Anything,Neuroscience,https://elemental.medium.com/how-to-train-your-brain-to-remember-almost-anything-77cb653a0c04?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,Extra-Special Snowflakes,Neuroscience,https://medium.com/swlh/extra-special-snowflakes-7b1a3d699b3b?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,How Much Data Can Our Brains Store?,Neuroscience,https://medium.com/average-student/how-much-data-can-our-brains-store-aae6f96a66fa?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,You’ve Been Misled About Action Potentials,Neuroscience,https://medium.com/medical-myths-and-models/youve-been-misled-about-action-potentials-4229a1fe956d?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,A Deep Dive into the Functionality of Artificial Vs. Biological Neural Networks,Neuroscience,https://towardsdatascience.com/neural-networks-6ef91fa3bb7c?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,Insight Report: Potential Therapeutic Targets for Alzheimer’s | BioSpace,Neuroscience,https://medium.com/swlh/insight-report-potential-therapeutic-targets-for-alzheimers-biospace-d126989aaea2?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,Ingenious: Mazviita Chirimuuta,Neuroscience,https://medium.com/nautilus-magazine/ingenious-mazviita-chirimuuta-6c9e7a14c582?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,The Girl Who Smelled Pink,Neuroscience,https://medium.com/nautilus-magazine/the-girl-who-smelled-pink-f0c5d581b6a2?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,How To Navigate Your Internal Narrative,Neuroscience,https://medium.com/swlh/how-to-navigate-your-internal-narrative-1265a29f9b3c?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,Learning to be Addicted,Neuroscience,https://medium.com/swlh/drug-tolerance-and-withdrawal-is-a-learned-behavior-cd31b64f2cc6?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Do We Only Use 10% Of Our Brain Capacity?,Neuroscience,https://medium.com/swlh/do-we-only-use-10-of-our-brain-capacity-a1a5c5a42716?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,We Are All Hallucinating. All the Time.,Neuroscience,https://medium.com/swlh/we-are-all-hallucinating-all-the-time-1e29179db15?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,I Didn’t Know I Had PTSD,Neuroscience,https://elemental.medium.com/i-didnt-know-i-had-ptsd-3d3d0d9e0b10?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,Why Intelligence might be simpler than we think,Neuroscience,https://towardsdatascience.com/why-intelligence-might-be-simpler-than-we-think-1d3d7feb5d34?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,Do You Need More Happy Brain Chemicals?,Neuroscience,https://medium.com/@michellemcquaid/do-you-need-more-happy-brain-chemicals-cc51f6d95768?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Neuroscience Isn’t Sexist,Neuroscience,https://medium.com/@ndisisnd/neuroscience-isnt-sexist-5de80e651bdf?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,Your Brain: It’s About More Than What You Think,Neuroscience,https://medium.com/swlh/your-brain-its-about-more-than-what-you-think-8b9041e16835?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,The Geometry of Thought,Neuroscience,https://towardsdatascience.com/the-geometry-of-thought-700047775956?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,Merging With Machines: A Look at Emerging Neuroscience Technologies,Neuroscience,https://becominghuman.ai/merging-with-machines-a-look-at-emerging-neuroscience-technologies-9ade4030c825?source=topic_page---------29------------------1,-
Medium.com,Innovation & Tech,Mushrooms and Meditation Can Make You a ‘Nicer’ Person,Neuroscience,https://medium.com/the-soul-tribe/mushrooms-and-meditation-could-make-you-a-nicer-person-6946534d213d?source=topic_page---------30------------------1,-
Medium.com,Innovation & Tech,From Neuroscience to Computer Vision,Neuroscience,https://medium.com/better-programming/from-neuroscience-to-computer-vision-e86a4dea3574?source=topic_page---------31------------------1,-
Medium.com,Innovation & Tech,Connectomics: It’s not as easy as “Connect the Dots”…,Neuroscience,https://medium.com/swlh/connectomics-its-not-as-easy-as-connect-the-dots-96480f3c97b8?source=topic_page---------32------------------1,-
Medium.com,Innovation & Tech,The Alzheimer’s Gene: Why Getting Tested Changed My Life,Neuroscience,https://medium.com/@tamaraclaunch79/the-alzheimers-gene-why-getting-tested-changed-my-life-4216ff3e2147?source=topic_page---------33------------------1,-
Medium.com,Innovation & Tech,Neural network reconstructs human ‘thoughts’ from brain waves in real time,Neuroscience,https://medium.com/@mipt/neural-network-reconstructs-human-thoughts-from-brain-waves-in-real-time-c786dc31c6f5?source=topic_page---------34------------------1,-
Medium.com,Innovation & Tech,Holding Hands Is Natural Pain Relief,Neuroscience,https://elemental.medium.com/holding-hands-is-natural-pain-relief-3edc9e253596?source=topic_page---------35------------------1,-
Medium.com,Innovation & Tech,The Cognitive Consequences of Talking to Your Kids,Neuroscience,https://medium.com/swlh/the-cognitive-consequences-of-talking-to-your-kids-8bae87037c9b?source=topic_page---------36------------------1,-
Medium.com,Innovation & Tech,What if Human Brain Had AI Implant?,Neuroscience,https://medium.com/average-student/what-if-human-brain-had-ai-implant-bb17fdd55b88?source=topic_page---------37------------------1,-
Medium.com,Innovation & Tech,Meet Your Brain’s Control Centers for Creative Thinking,Neuroscience,https://medium.com/swlh/meet-your-brains-control-centers-for-creative-thinking-c9605e8348c2?source=topic_page---------38------------------1,-
Medium.com,Innovation & Tech,Consciousness — nature’s operating system for sentient beings,Neuroscience,https://medium.com/swlh/consciousness-natures-operating-system-for-sentient-beings-5fe1f2fd27c7?source=topic_page---------39------------------1,-
Medium.com,Innovation & Tech,Harnessing the Power of Brain Waves in Virtual Reality: Applications for Gaming and Medicine,Neuroscience,https://medium.com/neurotech-berkeley/harnessing-the-power-of-brain-waves-in-virtual-reality-applications-for-gaming-and-medicine-ea307a19c8db?source=topic_page---------40------------------1,-
Medium.com,Innovation & Tech,Just Relax,Neuroscience,https://medium.com/swlh/just-relax-bee1cfc6cbda?source=topic_page---------41------------------1,-
Medium.com,Innovation & Tech,Beyond consent: 6 ways of bringing equity into neuroscience,Neuroscience,https://uxdesign.cc/beyond-consent-6-ways-of-bringing-equity-into-neuroscience-53c54b0a7f5f?source=topic_page---------42------------------1,-
Medium.com,Innovation & Tech,A Simple Solution to Increase Creativity,Neuroscience,https://medium.com/swlh/a-simple-solution-to-increase-creativity-fbf96cc9af0f?source=topic_page---------43------------------1,-
Medium.com,Innovation & Tech,Why Do Marathons Make Me Cry?,Neuroscience,https://elemental.medium.com/why-do-marathons-make-me-cry-7bb7c7005a20?source=topic_page---------44------------------1,-
Medium.com,Innovation & Tech,Trying Not to Try,Neuroscience,https://medium.com/nautilus-magazine/trying-not-to-try-399d7729b822?source=topic_page---------45------------------1,-
Medium.com,Innovation & Tech,Sound and Touch Collide,Neuroscience,https://medium.com/nautilus-magazine/sound-and-touch-collide-4827458b8ff?source=topic_page---------46------------------1,-
Medium.com,Innovation & Tech,Understanding Hallucinations on Psychedelics,Neuroscience,https://medium.com/the-soul-tribe/understanding-hallucinations-on-psychedelics-b03bd068a752?source=topic_page---------47------------------1,-
Medium.com,Innovation & Tech,Dealing with difficult teen behaviour (and the neuroscience behind it.),Neuroscience,https://psiloveyou.xyz/dealing-with-difficult-teen-behaviour-and-the-neuroscience-behind-it-bc97df612dc4?source=topic_page---------48------------------1,-
Medium.com,Innovation & Tech,Muscle Memory 101,Neuroscience,https://medium.com/swlh/muscle-memory-101-a409ff7f7e90?source=topic_page---------49------------------1,-
Medium.com,Innovation & Tech,Feeling Blue the Day After Drinking?,Neuroscience,https://medium.com/mind-cafe/feeling-blue-the-day-after-drinking-ca4a48b8d92d?source=topic_page---------50------------------1,-
Medium.com,Innovation & Tech,Composing Music With Your Eyes,Neuroscience,https://medium.com/neurotech-berkeley/composing-music-with-your-eyes-968e1f2eba93?source=topic_page---------51------------------1,-
Medium.com,Innovation & Tech,What is Time?,Neuroscience,https://medium.com/swlh/what-is-time-f48842a01f89?source=topic_page---------52------------------1,-
Medium.com,Innovation & Tech,Achieving Viable Mind Uploading via Our Understanding of Brain Lateralization,Neuroscience,https://medium.com/swlh/achieving-viable-mind-uploading-via-our-understanding-of-brain-lateralization-3fe78e1bd502?source=topic_page---------53------------------1,-
Medium.com,Innovation & Tech,Alzheimer research has misstepped.,Neuroscience,https://medium.com/swlh/alzheimer-research-has-misstepped-3b162faf3762?source=topic_page---------54------------------1,-
Medium.com,Innovation & Tech,Silicon Valley’s Brain-Meddling: A New Frontier For Tech Gadgetry,Neuroscience,https://towardsdatascience.com/silicon-valleys-brain-meddling-a-new-frontier-for-tech-gadgetry-5bcd357c4189?source=topic_page---------55------------------1,-
Medium.com,Innovation & Tech,What Brain Scans Can Tell Us About Sex,Neuroscience,https://medium.com/@getmaude/what-brain-scans-can-tell-us-about-sex-693f82a5731b?source=topic_page---------56------------------1,-
Medium.com,Innovation & Tech,The US Military Is Trying to Read Minds,Neuroscience,https://medium.com/mit-technology-review/the-us-military-is-trying-to-read-minds-61b1dda785f4?source=topic_page---------57------------------1,-
Medium.com,Innovation & Tech,Nature over nurture: How our brains are wired to react to a different world,Neuroscience,https://medium.com/swlh/nature-over-nurture-how-our-brains-are-wired-to-react-to-a-different-world-1e836b20f298?source=topic_page---------58------------------1,-
Medium.com,Innovation & Tech,A Mind-reading exoskeleton lets a completely paralyzed man walk,Neuroscience,https://medium.com/technicity/a-mind-reading-exoskeleton-lets-a-completely-paralyzed-man-walk-9300818548e4?source=topic_page---------59------------------1,-
Medium.com,Innovation & Tech,Low-Effort Ways to Be More Likeable,Neuroscience,https://medium.com/swlh/low-effort-ways-to-be-more-likeable-15ae632fe26a?source=topic_page---------60------------------1,-
Medium.com,Innovation & Tech,The nature of human intelligence from a computer science perspective,Neuroscience,https://towardsdatascience.com/the-nature-of-human-intelligence-from-a-computer-science-perspective-30f6e9c09146?source=topic_page---------61------------------1,-
Medium.com,Innovation & Tech,What Sea Slugs Taught Us About Our Brain,Neuroscience,https://medium.com/nautilus-magazine/what-sea-slugs-taught-us-about-our-brain-a99646a5498c?source=topic_page---------62------------------1,-
Medium.com,Innovation & Tech,Don’t Price Your Products Like A Sushi Chef,Neuroscience,https://medium.com/swlh/dont-price-your-products-like-a-sushi-chef-d32d16e26aff?source=topic_page---------63------------------1,-
Medium.com,Innovation & Tech,Mind-reading Exoskeleton allows Paralyzed Man to Walk,Neuroscience,https://medium.com/@subverse/mind-reading-exoskeleton-allows-paralyzed-man-to-walk-f8f2aaf2ba7f?source=topic_page---------64------------------1,-
Medium.com,Innovation & Tech,Divergent Perception,Neuroscience,https://medium.com/swlh/divergent-perception-2eace1e68cb3?source=topic_page---------65------------------1,-
Medium.com,Innovation & Tech,A Theory of Consciousness Can Help Build a Theory of Everything,Neuroscience,https://medium.com/nautilus-magazine/a-theory-of-consciousness-can-help-build-a-theory-of-everything-1acb530cc105?source=topic_page---------66------------------1,-
Medium.com,Innovation & Tech,Is Consciousness Fractal?,Neuroscience,https://medium.com/nautilus-magazine/is-consciousness-fractal-246e6aa96e65?source=topic_page---------67------------------1,-
Medium.com,Innovation & Tech,"The Foot Fetishized, The Brain Dissociated, And The Body In-Between",Neuroscience,https://medium.com/pulpmag/the-foot-fetishized-the-brain-dissociated-and-the-body-in-between-c647211926ad?source=topic_page---------68------------------1,-
Medium.com,Innovation & Tech,The Diverse Mechanisms of Sensory Experience,Neuroscience,https://medium.com/awake-alive-mind/the-diverse-mechanisms-of-sensory-experience-5d1124d42d41?source=topic_page---------69------------------1,-
Medium.com,Innovation & Tech,Cochlear Implants as a Forecast for the Future of the Neurotech Field,Neuroscience,https://medium.com/neurotech-berkeley/cochlear-implants-as-a-forecast-for-the-future-of-the-neurotech-field-d391d2d8cfc6?source=topic_page---------70------------------1,-
Medium.com,Innovation & Tech,A fictional robotic velociraptor’s AI brain and nervous system,Neuroscience,https://medium.com/the-future-is-electric/a-fictional-robotic-velociraptors-ai-brain-and-nervous-system-3a41d2b9fb3a?source=topic_page---------71------------------1,-
Medium.com,Innovation & Tech,Memory Lessons from a Man Who Couldn’t Forget,Neuroscience,https://medium.com/young-coder/memory-lessons-from-a-man-who-couldnt-forget-4e5d9465d57e?source=topic_page---------72------------------1,-
Medium.com,Innovation & Tech,This is Your Brain on Drumming,Neuroscience,https://medium.com/indian-thoughts/this-is-your-brain-on-drumming-8ed6eaf314c4?source=topic_page---------73------------------1,-
Medium.com,Innovation & Tech,Why I’m learning neuroscience through stories,Neuroscience,https://medium.com/swlh/why-im-learning-neuroscience-through-stories-be8b17a9a773?source=topic_page---------74------------------1,-
Medium.com,Innovation & Tech,The Deep Space of Digital Reading,Neuroscience,https://medium.com/nautilus-magazine/the-deep-space-of-digital-reading-1310fc0d9766?source=topic_page---------75------------------1,-
Medium.com,Innovation & Tech,Can Our Minds Live Forever?,Neuroscience,https://medium.com/swlh/can-our-minds-live-forever-9129d5fd8bb1?source=topic_page---------76------------------1,-
Medium.com,Innovation & Tech,Why is UI/UX so Important?,Neuroscience,https://medium.com/edtech-trends/why-is-ui-ux-so-important-b3bfd3624b84?source=topic_page---------77------------------1,-
Medium.com,Innovation & Tech,The Science of removing experiences,Neuroscience,https://medium.com/swlh/the-science-of-removing-experiences-32992899df1b?source=topic_page---------78------------------1,-
Medium.com,Innovation & Tech,BCIs: Merging Mind and Machine,Neuroscience,https://medium.com/swlh/bcis-merging-mind-and-machine-cef4e77d4eb0?source=topic_page---------79------------------1,-
Medium.com,Innovation & Tech,What the Rat Brain Tells Us About Yours,Neuroscience,https://medium.com/nautilus-magazine/what-the-rat-brain-tells-us-about-yours-3accb0c1b135?source=topic_page---------80------------------1,-
Medium.com,Innovation & Tech,Is Matter Conscious?,Neuroscience,https://medium.com/nautilus-magazine/is-matter-conscious-2d9723259e8b?source=topic_page---------81------------------1,-
Medium.com,Innovation & Tech,What My Stroke Taught Me,Neuroscience,https://medium.com/nautilus-magazine/what-my-stroke-taught-me-12e7b865942f?source=topic_page---------82------------------1,-
Medium.com,Innovation & Tech,Is There Awareness Behind Vegetative States?,Neuroscience,https://medium.com/nautilus-magazine/is-there-awareness-behind-vegetative-states-731518a83052?source=topic_page---------83------------------1,-
Medium.com,Innovation & Tech,This Brain Computer Uses Your Jugular Like a USB Cable,Neuroscience,https://onezero.medium.com/this-brain-computer-uses-your-jugular-like-a-usb-cable-d02b4e76d26b?source=topic_page---------84------------------1,-
