Source,Domain,Heading,Category,URL,Text
Medium.com,Life,What Dogs Know,Pets,https://psiloveyou.xyz/what-dogs-know-dd7868366b38?source=topic_page---------0------------------1,-
Medium.com,Life,A Cat and his Writer,Pets,https://medium.com/@JeannettedeBeauvoir/a-cat-and-his-writer-1009665e40d0?source=topic_page---------1------------------1,-
Medium.com,Life,"Shelter Pet Reviews #7: Gene, Legacy, Jade, and Balto",Pets,https://medium.com/tenderlymag/shelter-pet-reviews-7-gene-legacy-jade-and-balto-1364a681da4a?source=topic_page---------2------------------1,-
Medium.com,Life,R.I.P. State Fair Tippy,Pets,https://medium.com/@steverussell_9575/r-i-p-state-fair-tippy-cb4998d7e2c1?source=topic_page---------4------------------1,-
Medium.com,Life,A Dog Called Money,Pets,https://psiloveyou.xyz/a-dog-called-money-88886c597662?source=topic_page---------5------------------1,-
Medium.com,Life,Gay Penguin Power Couples Around The World,Pets,https://medium.com/@TheOutOutdoors/gay-penguin-power-couples-around-the-world-8947c1155bbc?source=topic_page---------6------------------1,-
Medium.com,Life,"A Letter To My Abusers — From Perkins, the Dog",Pets,https://medium.com/@sydmarmion/a-letter-to-my-abusers-from-perkins-the-dog-502d5da4521b?source=topic_page---------7------------------1,-
Medium.com,Life,I’m Holding On. I’m Letting Go.,Pets,https://medium.com/good-news-daily/im-holding-on-i-m-letting-go-73dcbecb440e?source=topic_page---------8------------------1,-
Medium.com,Life,A Tale of Five Chickens,Pets,https://medium.com/@penandpage/a-tale-of-five-chickens-95893403e556?source=topic_page---------9------------------1,-
Medium.com,Life,Plan for emergencies before you board your dog for the holidays,Pets,https://medium.com/@kat_19645/plan-for-emergencies-before-you-board-your-dog-for-the-holidays-f685bf32a959?source=topic_page---------10------------------1,-
Medium.com,Life,A Mini Panther Walks Into MetLife Stadium,Pets,https://medium.com/tenderlymag/a-mini-panther-walks-into-metlife-stadium-fce3ee842216?source=topic_page---------11------------------1,-
Medium.com,Life,Our Dog Is Different on Instagram,Pets,https://humanparts.medium.com/our-dog-is-different-on-instagram-bd0aacb86084?source=topic_page---------12------------------1,-
Medium.com,Life,Why I Love Dogs,Pets,https://medium.com/@colleenheavens/why-i-love-dogs-8ea532122483?source=topic_page---------13------------------1,-
Medium.com,Life,When Your Child is Grieving a Pet,Pets,https://psiloveyou.xyz/when-your-child-is-grieving-a-pet-6f4e649a8eab?source=topic_page---------14------------------1,-
Medium.com,Life,One Dog’s Journey out of the Chinese Dog Meat Trade,Pets,https://medium.com/tenderlymag/one-dogs-journey-out-of-the-chinese-dog-meat-trade-ce04245dc28f?source=topic_page---------15------------------1,-
Medium.com,Life,Decoding My Dog,Pets,https://medium.com/@alexafukuoka/decoding-my-dog-48fdf39c161?source=topic_page---------16------------------1,-
Medium.com,Life,"No, I’m Not a Grandmother, But My Daughter Has Pets",Pets,https://psiloveyou.xyz/no-im-not-a-grandmother-but-my-daughter-has-pets-9de6459a7b9c?source=topic_page---------17------------------1,-
Medium.com,Life,I Think I’m Codependent With My Cat,Pets,https://humanparts.medium.com/i-think-im-codependent-with-my-cat-91d95e5a0331?source=topic_page---------18------------------1,-
Medium.com,Life,"I Need Space From My Cat, and I Feel Horrible About It",Pets,https://psiloveyou.xyz/i-need-space-from-my-cat-and-i-feel-horrible-about-it-6189baae0c52?source=topic_page---------19------------------1,-
Medium.com,Life,If San Francisco Neighborhoods Were Dogs,Pets,https://thebolditalic.com/if-san-francisco-neighborhoods-were-dogs-8c21b11a1350?source=topic_page---------20------------------1,-
Medium.com,Life,Holiday Leftovers:,Pets,https://medium.com/@FrankHyman1412/holiday-leftovers-2bc7a6494bb7?source=topic_page---------21------------------1,-
Medium.com,Life,Taking our Cat for a Walk in the Park,Pets,https://medium.com/@CatBradley/taking-our-cat-for-a-walk-in-the-park-9355ddd35c70?source=topic_page---------22------------------1,-
Medium.com,Life,Pets Raise Your Love Quotient,Pets,https://medium.com/thirty-over-fifty/pets-raise-your-love-quotient-7ebb31c9853c?source=topic_page---------23------------------1,-
