Source,Domain,Heading,Category,URL,Text
Medium.com,Society,The Key to Overcoming Anxiety is to Accept What You Can’t Change,Philosophy,https://medium.com/mind-cafe/the-key-to-overcoming-anxiety-is-to-accept-what-you-cant-change-5be5d76c09f0?source=topic_page---------0------------------1,-
Medium.com,Society,The Nature of Consciousness,Philosophy,https://medium.com/the-daily-echo/the-nature-of-consciousness-220707ba88f7?source=topic_page---------1------------------1,-
Medium.com,Society,Epic battles in practical ethics: Virtue ethics vs Consequentialism,Philosophy,https://medium.com/@FigsInWinter/epic-battles-in-practical-ethics-virtue-ethics-vs-consequentialism-89d5f430b3f6?source=topic_page---------2------------------1,-
Medium.com,Society,How Love Can Change Your Reality Based on the Laws of Quantum Physics,Philosophy,https://medium.com/the-inspirer/how-love-can-change-your-reality-based-on-the-laws-of-quantum-physics-2eb1abf6b9c?source=topic_page---------4------------------1,-
Medium.com,Society,What Should We Do When the World Doesn’t Make Sense,Philosophy,https://medium.com/@hazelclementine/what-should-we-do-when-the-world-doesnt-make-sense-85a5806bb81b?source=topic_page---------5------------------1,-
Medium.com,Society,The seven universal rules of morality,Philosophy,https://medium.com/@FigsInWinter/the-seven-universal-rules-of-morality-cc8218037991?source=topic_page---------6------------------1,-
Medium.com,Society,Stoicism: How to Manage the Difficulties of Life,Philosophy,https://medium.com/swlh/stoicism-how-to-manage-the-difficulties-of-life-c015e2dff07b?source=topic_page---------7------------------1,-
Medium.com,Society,A New View of Time,Philosophy,https://medium.com/nautilus-magazine/a-new-view-of-time-d8f340434a3a?source=topic_page---------8------------------1,-
Medium.com,Society,Are We Wired for Religious Intolerance?,Philosophy,https://medium.com/@leongalis/are-we-wired-for-religious-intolerance-11b505f1933a?source=topic_page---------9------------------1,-
Medium.com,Society,The Charismatic Nomad,Philosophy,https://medium.com/@sheriheller/the-charismatic-nomad-2cd67bb4deeb?source=topic_page---------10------------------1,-
Medium.com,Society,Enlightenment And Eudaimonia: Cultivating Wisdom from East to West,Philosophy,https://medium.com/stoicism-philosophy-as-a-way-of-life/enlightenment-and-eudaimonia-cultivating-wisdom-from-east-to-west-77fd6569ab56?source=topic_page---------11------------------1,-
Medium.com,Society,Reality Is A Social Contract,Philosophy,https://psiloveyou.xyz/reality-is-a-social-contract-21c7ba62e9ce?source=topic_page---------12------------------1,-
Medium.com,Society,"Then “Evil Genius”, Now Brain In A Vat",Philosophy,https://medium.com/the-philosophers-stone/then-evil-genius-now-brain-in-a-vat-bd164bd80af2?source=topic_page---------13------------------1,-
Medium.com,Society,Worried? Don’t Be. Nothing Is Real.,Philosophy,https://medium.com/@thinkfuture/worried-dont-be-nothing-is-real-8e487b54e3bd?source=topic_page---------14------------------1,-
Medium.com,Society,Is Science Learning the Deep Lessons of WWI?,Philosophy,https://medium.com/swlh/is-science-learning-the-deep-lessons-of-wwi-a713894e813?source=topic_page---------15------------------1,-
Medium.com,Society,Socratic Debate,Philosophy,https://medium.com/@joshuashawnmichaelhehe/socratic-debate-b7800b1b817d?source=topic_page---------16------------------1,-
Medium.com,Society,Hume and Kant on the Nature of God,Philosophy,https://medium.com/@paulaustinmurphy2000/hume-and-kant-on-the-nature-of-god-6bb6432c9fc4?source=topic_page---------17------------------1,-
Medium.com,Society,Conspiracies vs. Conspiracy Theories: Some Vital Distinctions,Philosophy,https://medium.com/@paulaustinmurphy2000/conspiracies-vs-conspiracy-theories-some-vital-distinctions-bcdec94b4543?source=topic_page---------18------------------1,-
Medium.com,Society,Hypergraphia,Philosophy,https://medium.com/swlh/hypergraphia-6effa2a32a21?source=topic_page---------19------------------1,-
Medium.com,Society,America’s Deification of Sex,Philosophy,https://medium.com/@johnedwardellis/americas-deification-of-sex-5b1ab09b9ca7?source=topic_page---------20------------------1,-
Medium.com,Society,Capital Frontiers Of Science Using Archimedes’ Principle,Philosophy,https://medium.com/verboten-publishing/capital-frontiers-of-science-using-archimedes-principle-d68497e8909a?source=topic_page---------21------------------1,-
Medium.com,Society,What is Learning in Machine Learning?,Philosophy,https://towardsdatascience.com/what-is-learning-in-machine-learning-9a25b9f8ed35?source=topic_page---------22------------------1,-
Medium.com,Society,What I Wish I Knew Before Falling In Love,Philosophy,https://medium.com/@mattlillywhite/what-i-wish-i-knew-before-falling-in-love-46361e6b7000?source=topic_page---------23------------------1,-
Medium.com,Society,"Getting Past Locke: On Property, Use, and the Assumption of Common Ownership",Philosophy,https://medium.com/discourse/getting-past-locke-on-property-use-and-the-assumption-of-common-ownership-65d462127a85?source=topic_page---------24------------------1,-
Medium.com,Society,The Categorical Imperative: What You Need To Know,Philosophy,https://medium.com/the-philosophers-stone/the-categorical-imperative-what-you-need-to-know-c7214f674bf2?source=topic_page---------25------------------1,-
Medium.com,Society,Scholars on Aging Series: The Art of Dying,Philosophy,https://medium.com/swlh/scholars-on-aging-series-the-art-of-dying-fd35a4b3339?source=topic_page---------26------------------1,-
Medium.com,Society,How to deal with uncertainty,Philosophy,https://medium.com/swlh/how-to-deal-with-uncertainty-8aff06343789?source=topic_page---------27------------------1,-
Medium.com,Society,"Capitalism Is Immoral, but Moral Economies May be Worse",Philosophy,https://medium.com/@kenmorris_5247/capitalism-is-immoral-but-moral-economies-may-be-worse-226ccc48a12f?source=topic_page---------28------------------1,-
Medium.com,Society,Capitalism and the Age of Thanatos,Philosophy,https://eand.co/capitalism-and-the-age-of-thanatos-8117ece7c94f?source=topic_page---------29------------------1,-
Medium.com,Society,Stoicism Ain’t Easy,Philosophy,https://medium.com/@adar.kahiri4/last-winter-toronto-was-hit-with-a-snowstorm-4e11f85aec09?source=topic_page---------30------------------1,-
Medium.com,Society,Stoicism’s origin stories,Philosophy,https://medium.com/stoicism-philosophy-as-a-way-of-life/stoicisms-origin-stories-e84af98203b2?source=topic_page---------31------------------1,-
Medium.com,Society,The Anthropocene and the Perils of Abstraction,Philosophy,https://medium.com/@henderda/the-anthropocene-and-the-perils-of-abstraction-506c0dac7482?source=topic_page---------32------------------1,-
Medium.com,Society,Why Theism and Atheism are Laughable,Philosophy,https://medium.com/@benjamincain8/why-theism-and-atheism-are-laughable-53977551c726?source=topic_page---------33------------------1,-
Medium.com,Society,The Art of Being Indifferent,Philosophy,https://medium.com/stoicism-philosophy-as-a-way-of-life/the-art-of-being-indifferent-98d039994972?source=topic_page---------34------------------1,-
Medium.com,Society,Patterns: Paul Simon’s Prosaic Pathos,Philosophy,https://medium.com/publishous/patterns-paul-simons-prosaic-pathos-585eaeddb0d9?source=topic_page---------35------------------1,-
Medium.com,Society,Is Marcus Aurelius Our New Go-To Dude?,Philosophy,https://psiloveyou.xyz/is-marcus-aurelius-our-new-go-to-dude-53d8550f42de?source=topic_page---------36------------------1,-
Medium.com,Society,The power of humility in a cocksure world — what Bertrand Russell can teach us in 2019,Philosophy,https://medium.com/@j.a.smith2106/the-power-of-humility-in-a-cocksure-world-what-bertrand-russell-can-teach-us-in-2019-9316d0170849?source=topic_page---------37------------------1,-
Medium.com,Society,It’s Time to Stop Misusing “Pseudoscience”,Philosophy,https://medium.com/@jrileydinsmore/its-time-to-stop-misusing-pseudoscience-798689cb3843?source=topic_page---------38------------------1,-
Medium.com,Society,How would a robot or AI make a moral decision?,Philosophy,https://medium.com/calculemus/how-would-a-robot-or-ai-make-a-moral-decision-44952bfa3d10?source=topic_page---------39------------------1,-
Medium.com,Society,Schopenhauer’s Cat,Philosophy,https://medium.com/@cynthiagiles/schopenhauers-cat-7905f2584b60?source=topic_page---------40------------------1,-
Medium.com,Society,A Philosophical Conundrum: How To Deal With Racism In The Work of Great Philosophers?,Philosophy,https://medium.com/@NebilReyhani/how-to-deal-with-racism-in-the-work-of-great-philosophers-88b145aa85a9?source=topic_page---------41------------------1,-
Medium.com,Society,"Sc-Fi, Magic, Boomers and Jung.",Philosophy,https://medium.com/@joshuaburkhart/spinrad-sci-fi-fantasy-why-fantasy-is-exactly-what-we-need-6d900d5441d?source=topic_page---------42------------------1,-
Medium.com,Society,The Peeping Tom Effect,Philosophy,https://medium.com/swlh/the-peeping-tom-effect-646f1c60fb4f?source=topic_page---------43------------------1,-
Medium.com,Society,"Antonio Gramsci: Hegemony, Not Revolution",Philosophy,https://medium.com/@paulaustinmurphy2000/antonio-gramsci-hegemony-not-revolution-e75fab9614fc?source=topic_page---------44------------------1,-
Medium.com,Society,Dismantling Deconstruction & Post-Structualist Theories of Literature Through The Application Of…,Philosophy,https://medium.com/@jeffreykelley/dismantling-deconstruction-post-structualist-theories-of-literature-through-the-application-of-f5e8ebd428bc?source=topic_page---------45------------------1,-
Medium.com,Society,Using elements of Japanese aesthetics,Philosophy,https://medium.com/swlh/using-elements-of-japanese-aesthetics-ed0c2e07ec0e?source=topic_page---------46------------------1,-
Medium.com,Society,Max Stirner and Prescribed Freedom,Philosophy,https://medium.com/@cashouttypes/max-stirner-and-prescribed-freedom-699ebe11c40a?source=topic_page---------47------------------1,-
Medium.com,Society,Is there a will to meaning?,Philosophy,https://medium.com/@FigsInWinter/is-there-a-will-to-meaning-f863e4070c3f?source=topic_page---------48------------------1,-
Medium.com,Society,The Embodiment of Your Imagination,Philosophy,https://medium.com/the-creative-mind/the-embodiment-of-your-imagination-ba5547d66358?source=topic_page---------49------------------1,-
Medium.com,Society,It’s A Rocky Road To The Foundation Of Knowledge,Philosophy,https://medium.com/the-philosophers-stone/its-a-rocky-road-to-the-foundation-of-knowledge-ff6cc1e41da1?source=topic_page---------50------------------1,-
Medium.com,Society,"Universal Ideas in Stoicism, Taoism & Pantheism",Philosophy,https://medium.com/interfaith-now/universal-ideas-in-stoicism-taoism-pantheism-19609c55b38d?source=topic_page---------51------------------1,-
Medium.com,Society,Are you ready to die?,Philosophy,https://medium.com/stoicism-philosophy-as-a-way-of-life/are-you-ready-to-die-e06638180536?source=topic_page---------52------------------1,-
Medium.com,Society,(Contemplating) Truth,Philosophy,https://medium.com/the-philosophers-stone/contemplating-truth-c32c67aec97b?source=topic_page---------53------------------1,-
