Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,"Fiddling, While The Country Burns",Photography,https://medium.com/haiku-photos/fiddling-while-the-country-burns-66240e78f42b?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,This is God’s Land,Photography,https://medium.com/iowacounty/this-is-gods-land-7de0295cd909?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,Cézanne Time,Photography,https://medium.com/creative-humans/c%C3%A9zanne-time-6b40bf563fd4?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,Canon EOS 80D Review: The Best Crop Sensor?,Photography,https://medium.com/lumoid/canon-eos-80d-review-the-best-crop-sensor-7f58ac0d9e26?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,Photography Lighting (Part 1)— Studio Portraits,Photography,https://medium.com/hd-pro/photography-lighting-part-1-studio-portraits-8eede19d5a4d?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,How to use Computational Photography with your DSLR,Photography,https://medium.com/@robert.rittmuller/how-to-use-computational-photography-with-your-dslr-b6d2faa47014?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,New York Unites for Veterans,Photography,https://medium.com/@stribs/new-york-unites-for-veterans-506e3fd702df?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,Why I Need to Stop using Selfie Editing Apps,Photography,https://medium.com/@ravenkeyana/why-i-need-to-stop-using-selfie-editing-apps-f4a4b8ac2f6e?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,A Tale of Two Días,Photography,https://medium.com/her-side-of-the-street/a-tale-of-two-d%C3%ADas-9ca3ffb25566?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,How to Look at Northern Lights.,Photography,https://medium.com/artists-travel/how-to-look-at-northern-lights-2c9bb8ec700f?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,Shanghai Street Photography (2002),Photography,https://medium.com/@m.quintana/shanghai-street-photography-2002-2d806d4899c5?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,Driving Into The Unknown,Photography,https://medium.com/@claireoelizabeth/driving-into-the-unknown-5a3c26ef856d?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,Impressionist landscape photography techniques,Photography,https://medium.com/@dalibro/impressionist-landscape-photography-techniques-32b588a8afa?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,The Sony a7: Making Full-Frame Affordable,Photography,https://medium.com/lumoid/the-sony-a7-making-full-frame-affordable-ca10756fa2de?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,Nature and Creativity in North-Central Montana,Photography,https://medium.com/creative-humans/nature-and-creativity-in-north-central-montana-4adc9d45e064?source=topic_page---------15------------------1,-
Medium.com,Arts & Entertainment,The true power of mindfulness photography and how to harness it.,Photography,https://medium.com/@benjaminjstevens1/the-true-power-of-mindfulness-photography-and-how-to-harness-it-e1501608c337?source=topic_page---------16------------------1,-
Medium.com,Arts & Entertainment,Using elements of Japanese aesthetics,Photography,https://medium.com/swlh/using-elements-of-japanese-aesthetics-ed0c2e07ec0e?source=topic_page---------17------------------1,-
Medium.com,Arts & Entertainment,Amidst the Clouds,Photography,https://medium.com/snap-shots/amidst-the-clouds-6fda1eaa4998?source=topic_page---------18------------------1,-
Medium.com,Arts & Entertainment,Sacred Mount Fujisan: Mountains of Japan,Photography,https://medium.com/@aaronpaulson/sacred-mount-fujisan-mountains-of-japan-59cfce7337dd?source=topic_page---------19------------------1,-
Medium.com,Arts & Entertainment,The Gift Of Helping Others.,Photography,https://medium.com/swlh/the-gift-of-helping-others-c6fb9cb1d74d?source=topic_page---------20------------------1,-
Medium.com,Arts & Entertainment,"The Vibrant, Contrasty Glory of Ektar 100",Photography,https://medium.com/@tomsmith585/the-vibrant-contrasty-glory-of-ektar-100-1e50a7527851?source=topic_page---------21------------------1,-
Medium.com,Arts & Entertainment,Photoshop on iPad and 9 Other Exciting Announcements From Adobe Max,Photography,https://medium.com/pcmag-access/photoshop-on-ipad-and-9-other-exciting-announcements-from-adobe-max-a710faef4148?source=topic_page---------22------------------1,-
Medium.com,Arts & Entertainment,A Beginner’s Guide to Solar System Photography with the Celestron 127 SLT (and other Alt/Az Scopes),Photography,https://medium.com/swlh/a-beginners-guide-to-solar-system-photography-with-the-celestron-127-slt-and-other-alt-az-scopes-d0e2be5afd19?source=topic_page---------23------------------1,-
Medium.com,Arts & Entertainment,The mysterious exposure triangle,Photography,https://medium.com/ganology/exposure-triangle-62b550b00c34?source=topic_page---------24------------------1,-
Medium.com,Arts & Entertainment,"The Serendipitous Aesthetics, or Capturing Beauty by Chance",Photography,https://medium.com/@federicoalegria/the-serendipitous-aesthetics-or-capturing-beauty-by-chance-b9d3db0ca848?source=topic_page---------25------------------1,-
Medium.com,Arts & Entertainment,Photography as an Instrument of Complaint,Photography,https://medium.com/@federicoalegria/photography-as-an-instrument-of-complaint-b7046d584ee1?source=topic_page---------26------------------1,-
Medium.com,Arts & Entertainment,How to Make Your First Sales on Shutterstock,Photography,https://medium.com/swlh/how-to-make-your-first-sales-on-shutterstock-3df0488c56b8?source=topic_page---------27------------------1,-
Medium.com,Arts & Entertainment,PHOTOS: Dia de los Muertos in San Francisco,Photography,https://thebolditalic.com/photos-san-franciscos-dia-de-los-muertos-326b2e9a3fc3?source=topic_page---------28------------------1,-
Medium.com,Arts & Entertainment,4 Reason To Shoot Film,Photography,https://medium.com/@vandanni.hadai/4-reason-to-shoot-film-e138e1b35dc4?source=topic_page---------29------------------1,-
Medium.com,Arts & Entertainment,DSLR vs Mirrorless for the Beginner: Which is right for you?,Photography,https://medium.com/@vandanni.hadai/dslr-vs-mirrorless-for-the-beginner-which-is-right-for-you-b019d802c9e8?source=topic_page---------30------------------1,-
Medium.com,Arts & Entertainment,The Only Real Lens you Need for Photography,Photography,https://medium.com/the-partnered-pen/the-only-real-lens-you-need-for-photography-6aac92d6ed25?source=topic_page---------31------------------1,-
Medium.com,Arts & Entertainment,The Tension of Expectation,Photography,https://medium.com/awake-alive-mind/the-tension-of-expectation-57a0696956c9?source=topic_page---------32------------------1,-
Medium.com,Arts & Entertainment,Arriving: A First Glance at Kolkata,Photography,https://medium.com/@ghee.don/arriving-a-first-glance-at-kolkata-ec5da8202530?source=topic_page---------33------------------1,-
Medium.com,Arts & Entertainment,Strobe Flash vs Continuous Lighting: Which One is Best for Me?,Photography,https://medium.com/@formedfromlight/strobe-flash-vs-continuous-lighting-which-one-is-best-for-me-b96c36aee5f0?source=topic_page---------34------------------1,-
