Source,Domain,Heading,Category,URL,Text
Medium.com,Society,"This Company Is Listening To Everything You Watch, But You’ve Probably Never Heard Of It Before.",Privacy,https://medium.com/swlh/https-medium-com-sarveshmathi-alphonso-the-software-listening-to-everything-you-watch-d2918d52ba43-bb627477bccc?source=topic_page---------0------------------1,-
Medium.com,Society,"Give Firefox a Chance for a Faster, Calmer and Distraction-Free Internet",Privacy,https://medium.com/swlh/give-firefox-a-chance-for-a-faster-calmer-and-distraction-free-internet-b90f656566e1?source=topic_page---------1------------------1,-
Medium.com,Society,Phone Companies Are Exploiting Low-Income Users Around the World,Privacy,https://onezero.medium.com/phone-companies-are-exploiting-low-income-users-around-the-world-c66b55ae2840?source=topic_page---------2------------------1,-
Medium.com,Society,Practical Adventures in Data Privacy,Privacy,https://medium.com/@Berran/practical-adventures-in-data-privacy-dfb1bbbf4753?source=topic_page---------4------------------1,-
Medium.com,Society,Is Google Snooping on Your Health Records?,Privacy,https://medium.com/pcmag-access/is-google-snooping-on-your-health-records-896c3fa0a0cd?source=topic_page---------5------------------1,-
Medium.com,Society,There Will Be No Turning Back on Facial Recognition,Privacy,https://medium.com/new-york-magazine/there-will-be-no-turning-back-on-facial-recognition-d1a410ae2452?source=topic_page---------6------------------1,-
Medium.com,Society,Russia’s new “sovereign internet” law gives the government sweeping power over the internet,Privacy,https://medium.com/@themillennialsource/russias-new-sovereign-internet-law-gives-the-government-sweeping-power-over-the-internet-87b6c5383416?source=topic_page---------7------------------1,-
Medium.com,Society,Washington Police Are Taking a Cue from ‘Fight Club’ for a Secret Facial Recognition Group,Privacy,https://onezero.medium.com/secret-emails-reveal-how-washington-state-cops-shared-facial-recognition-tech-db8a799c6de6?source=topic_page---------8------------------1,-
Medium.com,Society,Password Security And Thoughts On Authentication Methods,Privacy,https://medium.com/datadriveninvestor/password-security-and-thoughts-on-authentication-methods-c5ff45864e78?source=topic_page---------9------------------1,-
Medium.com,Society,Invasion of Privacy or Protective Parenting: How Parents’ Virginity Obsession Afflicts Human Rights,Privacy,https://medium.com/swlh/invasion-of-privacy-or-protective-parenting-how-parents-virginity-obsession-afflicts-human-rights-9d5dcd950341?source=topic_page---------10------------------1,-
