Source,Domain,Heading,Category,URL,Text
Medium.com,Industry,The Art of Saying No,Productivity,https://medium.com/@daniel_riley/the-art-of-saying-no-cf9ec9ab5a01?source=topic_page---------0------------------1,-
Medium.com,Industry,How to Remember What You Read: My Readwise Review,Productivity,https://medium.com/@blakereichmann/readwise-review-96604b4dee9?source=topic_page---------1------------------1,-
Medium.com,Industry,Effective Ways to Stop a Habit,Productivity,https://medium.com/live-your-life-on-purpose/effective-ways-to-stop-a-habit-88151909d636?source=topic_page---------2------------------1,-
Medium.com,Industry,10 Quick Life Hacks For Catapulting Your Career,Productivity,https://medium.com/@nicolascole77/10-quick-life-hacks-for-catapulting-your-career-87574380da11?source=topic_page---------4------------------1,-
Medium.com,Industry,How I Use Goal Setting Techniques to Improve My Productivity,Productivity,https://medium.com/med-daily/how-i-use-goal-setting-techniques-to-improve-my-productivity-43ffe68a31e8?source=topic_page---------5------------------1,-
Medium.com,Industry,Why You Need to Stop Watching Netflix During the Day,Productivity,https://medium.com/@itxayana/why-you-need-to-stop-watching-netflix-during-the-day-2409f28d2dc2?source=topic_page---------6------------------1,-
Medium.com,Industry,The art of doing nothing.,Productivity,https://medium.com/invisible-illness/the-art-of-doing-nothing-2a9b9e231dbb?source=topic_page---------7------------------1,-
Medium.com,Industry,How to Write Like a Thought Leader,Productivity,https://medium.dave-bailey.com/how-to-write-like-a-thought-leader-d27b56503277?source=topic_page---------8------------------1,-
Medium.com,Industry,Use Voice Transcription to Skyrocket Your Writing Productivity,Productivity,https://medium.com/better-marketing/use-voice-transcription-to-skyrocket-your-writing-productivity-2fb35fa7969?source=topic_page---------9------------------1,-
Medium.com,Industry,The Art of Daily Reading,Productivity,https://medium.com/swlh/the-art-of-daily-reading-a4eb75b21211?source=topic_page---------10------------------1,-
Medium.com,Industry,An Extreme Guide to Simplifying Your Life so You Can Stress Less,Productivity,https://medium.com/swlh/an-extreme-guide-to-simplifying-your-life-so-you-can-stress-less-ede68cb8cf4c?source=topic_page---------11------------------1,-
Medium.com,Industry,How To “Ultralearn” Data Science — Part 2,Productivity,https://medium.com/better-programming/how-to-ultralearn-data-science-part-2-9138f5f73456?source=topic_page---------12------------------1,-
Medium.com,Industry,Superhuman Memory — Discovering The True Potential Of Your Memory,Productivity,https://medium.com/@noahmerriby/superhuman-memory-discovering-the-true-potential-of-your-memory-981ad3785bf9?source=topic_page---------13------------------1,-
Medium.com,Industry,How The Pros Do It: 10 Questions With Niklas Göke,Productivity,https://medium.com/swlh/how-the-pros-do-it-10-questions-with-productivity-masters-c6b2aeec3c80?source=topic_page---------14------------------1,-
Medium.com,Industry,I Don’t Like Working on the Weekend. Is That a Bad Thing?,Productivity,https://medium.com/@itxayana/i-dont-like-working-on-the-weekend-is-that-a-bad-thing-19de8e22ab82?source=topic_page---------15------------------1,-
Medium.com,Industry,Why You’re Not Getting Interviews: 4 Reasons Your Résumé Is Rejected,Productivity,https://medium.com/forbes/why-youre-not-getting-interviews-4-reasons-your-r%C3%A9sum%C3%A9-is-rejected-7044563ad752?source=topic_page---------16------------------1,-
Medium.com,Industry,4 Things You Need To Achieve Your Goals,Productivity,https://medium.com/@rebeccalucyh/4-things-you-need-to-achieve-your-goals-f2f6a2872c86?source=topic_page---------17------------------1,-
Medium.com,Industry,How to Overcome Being Busy and Become More Productive,Productivity,https://medium.com/@terrimk0117/how-to-overcome-being-busy-and-become-more-productive-cc94eb699694?source=topic_page---------18------------------1,-
Medium.com,Industry,The Four Burners Theory for Work-Life Balance,Productivity,https://medium.com/@ahanson8842/the-four-burners-theory-for-work-life-balance-a42547e2c1c5?source=topic_page---------19------------------1,-
Medium.com,Industry,How Just 7 days of Digital Minimalism Made Me More Productive,Productivity,https://medium.com/the-ascent/how-just-7-days-of-digital-minimalism-made-me-more-productive-6385f41b15ca?source=topic_page---------20------------------1,-
Medium.com,Industry,Take a break from self improvement!,Productivity,https://medium.com/the-life-essence/take-a-break-from-self-improvement-1c1fa9dcc8a3?source=topic_page---------21------------------1,-
Medium.com,Industry,In a Rut? Bored? Is Routine Getting You Down?,Productivity,https://medium.com/swlh/in-a-rut-bored-is-routine-getting-you-down-50279dce6bdd?source=topic_page---------22------------------1,-
Medium.com,Industry,My Year Without Netflix,Productivity,https://medium.com/the-ascent/my-year-without-netflix-2199da7cc692?source=topic_page---------23------------------1,-
Medium.com,Industry,Build Habits by Habit Stacking!,Productivity,https://medium.com/swlh/build-habits-by-habit-stacking-78bff9a6fae3?source=topic_page---------24------------------1,-
Medium.com,Industry,A Simple Way to Stop Putting Off Hard Things,Productivity,https://forge.medium.com/a-simple-way-to-stop-putting-off-hard-things-13bf12b8f7b1?source=topic_page---------25------------------1,-
Medium.com,Industry,Avoid Distractions by Allowing Them,Productivity,https://writingcooperative.com/avoid-distractions-by-allowing-them-d20fedc80790?source=topic_page---------26------------------1,-
Medium.com,Industry,"To be Consistently Productive, Strengthen Your Skill in Attention Management",Productivity,https://medium.com/personal-growth/to-be-consistently-productive-strengthen-your-skill-in-attention-management-49277456b7c0?source=topic_page---------27------------------1,-
Medium.com,Industry,Don’t Make New Year’s Resolutions,Productivity,https://medium.com/publishous/dont-make-new-year-s-resolutions-c686a76b68ef?source=topic_page---------28------------------1,-
Medium.com,Industry,How to Stop These Habits That Sabotage Your Success,Productivity,https://medium.com/swlh/how-to-stop-these-habits-that-sabotage-your-success-f1a227c671d7?source=topic_page---------29------------------1,-
Medium.com,Industry,Your Guide To Better Mornings,Productivity,https://medium.com/@emilypgerickson/your-guide-to-better-mornings-c74b0219566?source=topic_page---------30------------------1,-
Medium.com,Industry,How to Start From Scratch: Things You Need to Know,Productivity,https://medium.com/@jack.the.wordsmith/how-to-start-from-scratch-things-you-need-to-know-6d2d024303c6?source=topic_page---------31------------------1,-
Medium.com,Industry,10 Best Ways To Train Your Brain To Stay Focused,Productivity,https://medium.com/swlh/10-best-ways-to-train-your-brain-to-stay-focused-75bd9df1632f?source=topic_page---------32------------------1,-
Medium.com,Industry,What Happens When You Have Achieved Your Goal,Productivity,https://medium.com/swlh/what-happens-when-you-have-achieved-your-goal-888cd1e4d639?source=topic_page---------33------------------1,-
Medium.com,Industry,How a 7 Day Social Media Detox Changed My Life Completely in 2019,Productivity,https://medium.com/swlh/how-a-7-day-social-media-detox-changed-my-life-completely-in-2019-6371f8072b2?source=topic_page---------34------------------1,-
