Source,Domain,Heading,Category,URL,Text
Medium.com,Life,Love is Psychedelic,Psychedelics,https://psiloveyou.xyz/love-is-psychedelic-4febf9da94eb?source=topic_page---------0------------------1,-
Medium.com,Life,Psychedelic Ibogaine May Treat Opioid Addiction,Psychedelics,https://medium.com/the-soul-tribe/psychedelic-ibogaine-for-treating-drug-addiction-487afd49fd6b?source=topic_page---------1------------------1,-
Medium.com,Life,Psychedelics Led Me Back Home to Myself,Psychedelics,https://medium.com/the-ascent/psychedelics-led-me-back-home-to-myself-69e4a00ef366?source=topic_page---------2------------------1,-
Medium.com,Life,Why Psychedelics Could be the Future of Anorexia Treatment,Psychedelics,https://elemental.medium.com/psychedelics-for-anorexia-b7f6b2bc59fa?source=topic_page---------4------------------1,-
Medium.com,Life,Can a Psychedelic Trip Reboot Your Brain and Cure Depression?,Psychedelics,https://medium.com/@lizbethfinnarnold/can-a-psychedelic-trip-reboot-your-brain-and-cure-depression-7002441c55c6?source=topic_page---------5------------------1,-
Medium.com,Life,How DMT Saved Me From Nihilism,Psychedelics,https://medium.com/@maxd4rnall/how-dmt-saved-me-from-nihilism-a4b3d895a27f?source=topic_page---------6------------------1,-
Medium.com,Life,Mushrooms and Meditation Can Make You a ‘Nicer’ Person,Psychedelics,https://medium.com/the-soul-tribe/mushrooms-and-meditation-could-make-you-a-nicer-person-6946534d213d?source=topic_page---------7------------------1,-
Medium.com,Life,Tripping on Toad Venom May Help Treat Depression and Alcohol Addiction,Psychedelics,https://medium.com/the-soul-tribe/tripping-on-toad-venom-may-help-treat-depression-and-alcohol-addiction-37128adf8c0e?source=topic_page---------8------------------1,-
Medium.com,Life,Using Psychedelics for Healing Trauma and Addiction,Psychedelics,https://medium.com/@carlagee_62625/using-psychedelics-for-healing-trauma-and-addiction-71b54cc5c6bd?source=topic_page---------9------------------1,-
Medium.com,Life,Psychedelics for Healthy People,Psychedelics,https://elemental.medium.com/psychedelics-for-healthy-people-b5bfb94e99f4?source=topic_page---------10------------------1,-
Medium.com,Life,Understanding Hallucinations on Psychedelics,Psychedelics,https://medium.com/the-soul-tribe/understanding-hallucinations-on-psychedelics-b03bd068a752?source=topic_page---------11------------------1,-
Medium.com,Life,Restoring My Will to Live,Psychedelics,https://medium.com/@nancyyuktonissolak/restoring-my-will-to-live-bf9a945286d5?source=topic_page---------12------------------1,-
Medium.com,Life,5 Ways to Banish Feelings of Inadequacy,Psychedelics,https://medium.com/change-your-mind/5-ways-to-banish-feelings-of-inadequacy-2f38756dba75?source=topic_page---------13------------------1,-
Medium.com,Life,Synthetic Psychedelics May Soon Replace Your Shrooms,Psychedelics,https://onezero.medium.com/synthetic-psychedelics-may-soon-replace-your-shrooms-25f8a075fe8f?source=topic_page---------14------------------1,-
Medium.com,Life,I went on a Trip: my Magic Mushroom Experience,Psychedelics,https://medium.com/@AhoiNadjeschda/i-went-on-a-trip-my-magic-mushroom-experience-50f8ef146c40?source=topic_page---------15------------------1,-
Medium.com,Life,The Magic Of Mushrooms,Psychedelics,https://medium.com/@dhambeukers/the-magic-of-mushrooms-f2ee493c8787?source=topic_page---------16------------------1,-
Medium.com,Life,Tripping My Way Out of Depression,Psychedelics,https://psiloveyou.xyz/tripping-my-way-out-of-depression-dfe25d69be07?source=topic_page---------17------------------1,-
Medium.com,Life,A psychedelic renaissance?,Psychedelics,https://medium.com/@dacraig/a-psychedelic-renaissance-fad22943688c?source=topic_page---------18------------------1,-
Medium.com,Life,Lessons from Mother Ayahuasca,Psychedelics,https://medium.com/@oxanaak/ayahuasca-teachings-first-journey-57aeacb73199?source=topic_page---------19------------------1,-
Medium.com,Life,Preventing Bad Psychedelic Trips,Psychedelics,https://medium.com/the-soul-tribe/preventing-bad-psychedelic-trips-aedafad15f0f?source=topic_page---------20------------------1,-
Medium.com,Life,Intentions for a Guided Mushroom Journey in an Indigenous Village,Psychedelics,https://medium.com/@KasiaCzyrlyn/intentions-for-a-guided-mushroom-journey-in-an-indigenous-village-179214006f5c?source=topic_page---------21------------------1,-
Medium.com,Life,I Went From Daydreamer to Entrepreneur in One Psychedelic Trip,Psychedelics,https://marker.medium.com/i-went-from-daydreamer-to-entrepreneur-in-one-psychedelic-trip-56b72e7c07d1?source=topic_page---------22------------------1,-
Medium.com,Life,Psychedelics and the Workplace,Psychedelics,https://journalofbeautifulbusiness.com/psychedelics-and-the-workplace-e2337f60c9a2?source=topic_page---------23------------------1,-
Medium.com,Life,Fear and Loathing in Iceland: How to Quit Your Job and Write Fulltime,Psychedelics,https://medium.com/swlh/fear-and-loathing-in-iceland-how-to-quit-your-job-and-write-fulltime-eac49e6136d2?source=topic_page---------24------------------1,-
Medium.com,Life,The Astonishing Way to Instantly Silence The Incessant Chatter in Your Mind,Psychedelics,https://medium.com/@jashforth/the-astonishing-way-to-instantly-silence-the-incessant-chatter-in-your-mind-e3262bf6cfe6?source=topic_page---------25------------------1,-
Medium.com,Life,Macro-Dosing Mescaline: The danger of not consuming enough San Pedro,Psychedelics,https://medium.com/@jerrytoth/macro-dosing-mescaline-the-danger-of-not-consuming-enough-san-pedro-aaaf89d4004c?source=topic_page---------26------------------1,-
Medium.com,Life,A Beginner’s Harm Reduction Guide to LSD,Psychedelics,https://medium.com/the-soul-tribe/a-beginners-harm-reduction-guide-to-lsd-4f144c3b5e31?source=topic_page---------27------------------1,-
Medium.com,Life,These are not your parents psychedelics.,Psychedelics,https://medium.com/rogues-gallery/these-are-not-your-parents-psychedelics-f4854da94b4?source=topic_page---------28------------------1,-
Medium.com,Life,The Challenges of Psychedelic Research,Psychedelics,https://medium.com/swlh/the-challenges-of-psychedelic-research-d33a916af9db?source=topic_page---------29------------------1,-
Medium.com,Life,In Pursuit of Joy: MDMA and the Therapeutic Value of Ecstatic States,Psychedelics,https://medium.com/@psychedelicsaremedicine/in-pursuit-of-joy-mdma-and-the-therapeutic-value-of-ecstatic-states-b3f3404e3070?source=topic_page---------30------------------1,-
Medium.com,Life,“Set & Setting”: On Borrowing A Concept From Psychedelic Drugs to Live Better,Psychedelics,https://medium.com/swlh/set-setting-on-borrowing-a-concept-from-psychedelic-drugs-to-live-better-b829d825e78f?source=topic_page---------31------------------1,-
Medium.com,Life,DIY Psychedelics: Why grow and prepare your own plant medicine,Psychedelics,https://medium.com/@jerrytoth/https-medium-com-jerrytoth-diy-psychedelics-109eae84ad5c?source=topic_page---------32------------------1,-
Medium.com,Life,Tripping on Ayahuasca — Part One,Psychedelics,https://medium.com/@alan.wright1953/tripping-on-ayahuasca-part-one-8e2568d8ee2d?source=topic_page---------33------------------1,-
Medium.com,Life,Tim Leary in Charge,Psychedelics,https://medium.com/@Tantra_Bensko/tim-leary-in-charge-147279579a92?source=topic_page---------34------------------1,-
Medium.com,Life,Tripping My Way Toward Wellness One Ketamine Infusion at a Time,Psychedelics,https://thebolditalic.com/tripping-my-way-toward-wellness-one-ketamine-infusion-at-a-time-a6d54906ec35?source=topic_page---------35------------------1,-
Medium.com,Life,Psychedelic Drugs and the Nature of Personality Change,Psychedelics,https://medium.com/swlh/psychedelic-drugs-and-the-nature-of-personality-change-16a4b23021c8?source=topic_page---------36------------------1,-
Medium.com,Life,The Trippy Science of Psychedelic Studies,Psychedelics,https://elemental.medium.com/the-dark-science-of-psychedelics-a3fc32be5e0b?source=topic_page---------37------------------1,-
Medium.com,Life,Can CBD Help What Ails You?,Psychedelics,https://medium.com/@bryantreacy/can-cbd-help-what-ails-you-160fadf8d6c0?source=topic_page---------38------------------1,-
Medium.com,Life,New Clues Found in Understanding Near-Death Experiences,Psychedelics,https://medium.com/scientific-american/new-clues-found-in-understanding-near-death-experiences-7db3e2ca0617?source=topic_page---------39------------------1,-
Medium.com,Life,How LSD Saved Me From a Self-Harm Crisis,Psychedelics,https://medium.com/@maxd4rnall/how-lsd-changed-my-life-690bd61f73c7?source=topic_page---------40------------------1,-
Medium.com,Life,Ram Dass Is Ready to Die,Psychedelics,https://medium.com/new-york-times-magazine/ram-dass-is-ready-to-die-d76eb0030ae1?source=topic_page---------41------------------1,-
Medium.com,Life,"Me, the Mayans & Mushrooms",Psychedelics,https://medium.com/@fosterlucyv/me-the-mayans-mushrooms-e8684d5db658?source=topic_page---------42------------------1,-
Medium.com,Life,How Psilocybin Released My Mother’s Tears,Psychedelics,https://humanparts.medium.com/crying-my-mothers-tears-51c29fe3108a?source=topic_page---------43------------------1,-
