Source,Domain,Heading,Category,URL,Text
Medium.com,Life,2 Week Experiment: Minimal Sleep and 124 Work Hours,Psychology,https://medium.com/@munndiaries/2-week-experiment-minimal-sleep-and-124-work-hours-9a279b7da7f5?source=topic_page---------0------------------1,-
Medium.com,Life,The Ability to Regulate Your Emotions is Quickly Becoming The Premier Skill of The 21st Century,Psychology,https://medium.com/kaizen-habits/the-ability-to-regulate-your-emotions-is-quickly-becoming-the-premier-skill-of-the-21st-century-1f37889f9574?source=topic_page---------1------------------1,-
Medium.com,Life,Are We Wired for Religious Intolerance?,Psychology,https://medium.com/@leongalis/are-we-wired-for-religious-intolerance-11b505f1933a?source=topic_page---------2------------------1,-
Medium.com,Life,How Freud Screwed Over Women & the Field of Psychology in One Fell Swoop,Psychology,https://medium.com/@kaitiehowie/how-freud-screwed-over-women-the-field-of-psychology-in-one-fell-swoop-5f1df324b91b?source=topic_page---------4------------------1,-
Medium.com,Life,3 Reasons Why You Must Go Give Someone A Hug Right Now,Psychology,https://psiloveyou.xyz/3-reasons-why-you-must-go-give-someone-a-hug-right-now-c9ae57a72c4e?source=topic_page---------5------------------1,-
Medium.com,Life,The Unique Health Benefits of Autumn Hikes,Psychology,https://elemental.medium.com/the-unique-health-benefits-of-autumn-hikes-cacacc5d4bf4?source=topic_page---------6------------------1,-
Medium.com,Life,A Non-Exhaustive List of Intrusive Thoughts I’ve Had,Psychology,https://humanparts.medium.com/a-non-exhaustive-list-of-intrusive-thoughts-ive-had-26c4c0e39bd4?source=topic_page---------7------------------1,-
Medium.com,Life,You Can’t Always Get What You Want,Psychology,https://medium.com/@Shesreallyfat/you-cant-always-get-what-you-want-9ae402ef9e48?source=topic_page---------8------------------1,-
Medium.com,Life,6 Ways Your Ego Is Getting In The Way Of Your Happiness,Psychology,https://medium.com/swlh/6-ways-your-ego-is-getting-in-the-way-of-your-happiness-126a7947237f?source=topic_page---------9------------------1,-
Medium.com,Life,Why Scott Cheated On His Wife— A Case Study,Psychology,https://psiloveyou.xyz/why-scott-cheated-on-his-wife-a-case-study-89e8386b33c4?source=topic_page---------10------------------1,-
Medium.com,Life,Are Apologies Selfish?,Psychology,https://psiloveyou.xyz/are-apologies-selfish-daf2a96ffcac?source=topic_page---------11------------------1,-
Medium.com,Life,The Complete Guide To Reframing Your Beliefs,Psychology,https://medium.com/mind-cafe/cognitive-restructuring-the-complete-guide-on-how-to-reframe-your-beliefs-a3b2791485f5?source=topic_page---------12------------------1,-
Medium.com,Life,The Stories We Tell Us About Ourselves,Psychology,https://towardsdatascience.com/explainability-and-the-art-of-confabulation-d4fb176de982?source=topic_page---------13------------------1,-
Medium.com,Life,Cold Methodical Killers: The Psychology of Mass Shooters,Psychology,https://medium.com/the-wise-heart/cold-methodical-killers-the-psychology-of-mass-shooters-a9c79978c79e?source=topic_page---------14------------------1,-
Medium.com,Life,Surrounded by Narcissists. But How Do We Spot Them?,Psychology,https://medium.com/swlh/surrounded-by-narcissists-but-how-do-we-spot-them-6cbaf5af5dc0?source=topic_page---------15------------------1,-
Medium.com,Life,Why You Can’t Stop Wanting What You Don’t Need,Psychology,https://medium.com/@shauntagrimes/why-you-cant-stop-wanting-things-you-don-t-need-1a3c01b98eb2?source=topic_page---------16------------------1,-
Medium.com,Life,How To Stop Overthinking,Psychology,https://medium.com/swlh/how-to-stop-overthinking-31dc1eb3a876?source=topic_page---------17------------------1,-
Medium.com,Life,The Myth of the Carefree Childhood: From Playground Politics to Adolescent Angst,Psychology,https://medium.com/psych-pstuff/the-myth-of-the-carefree-childhood-from-playground-politics-to-adolescent-angst-8ec5d9af074b?source=topic_page---------18------------------1,-
Medium.com,Life,Who Am I if There’s Nothing Wrong With Me?,Psychology,https://humanparts.medium.com/who-am-i-if-theres-nothing-wrong-with-me-da2b348a5f6d?source=topic_page---------19------------------1,-
Medium.com,Life,Imagination is the Powerful Engine in Your Creative Brain,Psychology,https://writingcooperative.com/imagination-is-the-powerful-engine-in-your-creative-brain-d9be45de54d4?source=topic_page---------20------------------1,-
Medium.com,Life,Dealing With a Challenging Person? How to Make the Interaction a Successful One,Psychology,https://medium.com/@aytekintank/dealing-with-a-challenging-person-how-to-make-the-interaction-a-successful-one-430f32360de?source=topic_page---------21------------------1,-
Medium.com,Life,How Do We Stay Optimistic in a Complicated World?,Psychology,https://medium.com/live-your-life-on-purpose/how-do-we-stay-optimistic-in-a-complicated-world-502c00ad4788?source=topic_page---------22------------------1,-
Medium.com,Life,The Nature of Memory is Not Linear,Psychology,https://psiloveyou.xyz/the-nature-of-memory-is-not-linear-a625d6c2ee9a?source=topic_page---------23------------------1,-
Medium.com,Life,Economics in our thoughts,Psychology,https://medium.com/@koenfucius/economics-in-our-thoughts-2ad857e87a5c?source=topic_page---------24------------------1,-
Medium.com,Life,"How To Tame Excessive Worrying Without Drugs, Meditation Or Therapy",Psychology,https://medium.com/writtenpersuasion/how-to-tame-excessive-worrying-without-drugs-meditation-or-therapy-456b1b5711ac?source=topic_page---------25------------------1,-
Medium.com,Life,We Need Our Friends!,Psychology,https://medium.com/therapy-and-change/we-need-our-friends-1de9fe7ccfa7?source=topic_page---------26------------------1,-
Medium.com,Life,How Smart Are You?,Psychology,https://medium.com/minimalist-thoughts/how-smart-are-you-63c5be025d4e?source=topic_page---------27------------------1,-
Medium.com,Life,Why Marketing Is a Biological Necessity,Psychology,https://medium.com/better-marketing/the-biological-necessity-of-marketing-a455eeda82d5?source=topic_page---------28------------------1,-
