Source,Domain,Heading,Category,URL,Text
Medium.com,Life,If you’ve betrayed someone you love this is how to come back,Relationships,https://medium.com/lady-vivra/how-to-come-back-from-betraying-someone-b3bf04e5d828?source=topic_page---------0------------------1,-
Medium.com,Life,Drinking the Kool-Aid: The Perils of Over-Identification in Divorce,Relationships,https://medium.com/@brendan_hammer/drinking-the-kool-aid-the-perils-of-over-identification-in-divorce-6f2c63610b47?source=topic_page---------1------------------1,-
Medium.com,Life,The Art of Saying No,Relationships,https://medium.com/swlh/the-art-of-saying-no-cf9ec9ab5a01?source=topic_page---------2------------------1,-
Medium.com,Life,How Love Can Change Your Reality Based on the Laws of Quantum Physics,Relationships,https://medium.com/the-inspirer/how-love-can-change-your-reality-based-on-the-laws-of-quantum-physics-2eb1abf6b9c?source=topic_page---------4------------------1,-
Medium.com,Life,When Your Life Falls Apart Long-Distance,Relationships,https://psiloveyou.xyz/when-your-life-falls-apart-long-distance-5d5cbc5f029a?source=topic_page---------5------------------1,-
Medium.com,Life,The Best Relationship I’ve Had Was Not a Relationship,Relationships,https://psiloveyou.xyz/the-best-relationship-ive-had-was-not-a-relationship-bcec449d5896?source=topic_page---------6------------------1,-
Medium.com,Life,We Had Become Roommates And Were No Longer Lovers,Relationships,https://psiloveyou.xyz/we-had-become-roommates-and-were-no-longer-lovers-658f22d4986d?source=topic_page---------7------------------1,-
Medium.com,Life,Suffocation by Toilet Paper — A Story of Sibling Love,Relationships,https://psiloveyou.xyz/suffocation-by-toilet-paper-a-story-of-sibling-love-a4a467caeb00?source=topic_page---------8------------------1,-
Medium.com,Life,Cupid Tinder Match: Is There a Manual For This?,Relationships,https://psiloveyou.xyz/cupid-tinder-match-is-there-a-manual-for-this-e25eba7870eb?source=topic_page---------9------------------1,-
Medium.com,Life,You Should Fall in Platonic Love More Often,Relationships,https://psiloveyou.xyz/you-should-fall-in-platonic-love-more-often-aa062cdcb8b5?source=topic_page---------10------------------1,-
Medium.com,Life,An Ex at the Airport,Relationships,https://psiloveyou.xyz/an-ex-at-the-airport-47f33d39db76?source=topic_page---------11------------------1,-
Medium.com,Life,Learning to Love My Enemies,Relationships,https://medium.com/@nosaintjennifer/learning-to-love-my-enemies-af2b78e909af?source=topic_page---------12------------------1,-
Medium.com,Life,You Can Just Have Sex With Someone,Relationships,https://psiloveyou.xyz/you-can-just-have-sex-with-someone-d24ac4ee6806?source=topic_page---------13------------------1,-
Medium.com,Life,How To Be Likeable — 11 Tips For Better Connections,Relationships,https://medium.com/publishous/how-to-be-likeable-11-tips-for-better-connections-6c7176a98d63?source=topic_page---------14------------------1,-
Medium.com,Life,Not Everyone who Calls Themselves a Friend Actually is,Relationships,https://medium.com/invisible-illness/not-everyone-who-calls-themselves-a-friend-actually-is-349e165b6fdc?source=topic_page---------15------------------1,-
Medium.com,Life,Changing people and lessons from Shamu and relationships,Relationships,https://medium.com/@erwinoliva_3228/changing-people-and-lessons-from-shamu-and-relationships-4f682a792040?source=topic_page---------16------------------1,-
Medium.com,Life,How to Market Your Entrepreneurial Dream to Your Family,Relationships,https://medium.com/swlh/how-to-market-your-entrepreneurial-dream-to-your-family-e49006dd2908?source=topic_page---------17------------------1,-
Medium.com,Life,So Your Friend is in a Toxic Relationship?,Relationships,https://medium.com/fearless-she-wrote/so-your-friend-is-in-a-toxic-relationship-77fe003f6f0a?source=topic_page---------18------------------1,-
Medium.com,Life,Articulating Love can be Scary but you Should do it Anyway,Relationships,https://medium.com/@KittyHannahEden/articulating-love-can-be-scary-but-you-should-do-it-anyway-4c2fc4d51e1d?source=topic_page---------19------------------1,-
Medium.com,Life,5 Reasons You Struggle To Connect With Others,Relationships,https://psiloveyou.xyz/5-reasons-you-struggle-to-connect-with-others-9dee30c8a84a?source=topic_page---------20------------------1,-
Medium.com,Life,"Relationships, money, and an escape to Florida — how I almost took my own life and what I learned",Relationships,https://medium.com/@estevanzamora/relationships-money-and-an-escape-to-florida-how-i-almost-took-my-own-life-and-what-i-learned-54c0d6f7fd5e?source=topic_page---------21------------------1,-
Medium.com,Life,Lost In Amsterdam,Relationships,https://psiloveyou.xyz/lost-in-amsterdam-8fe0e845bbeb?source=topic_page---------22------------------1,-
Medium.com,Life,Someday I’ll Be Able To Move On From You,Relationships,https://psiloveyou.xyz/someday-ill-be-able-to-move-on-from-you-e5712550a922?source=topic_page---------23------------------1,-
Medium.com,Life,How to Apologize Sincerely to Someone You Love,Relationships,https://medium.com/@zara.zareen/how-to-apologize-sincerely-to-someone-you-love-55cb0b9e3105?source=topic_page---------24------------------1,-
Medium.com,Life,My First Real Boyfriend Was an Abusive Misogynist,Relationships,https://psiloveyou.xyz/my-first-real-boyfriend-was-an-abusive-misogynist-d8e19d5a7ac1?source=topic_page---------25------------------1,-
Medium.com,Life,Playing Games vs. Having Standards: Why Rules in Dating Matter,Relationships,https://psiloveyou.xyz/playing-games-vs-having-standards-why-rules-in-dating-matter-3a3e3efde5d8?source=topic_page---------26------------------1,-
Medium.com,Life,How My Relationship Changed For the Better After I Came Out,Relationships,https://medium.com/@rhian.beam/how-my-relationship-changed-for-the-better-after-i-came-out-9f7c949484a3?source=topic_page---------27------------------1,-
Medium.com,Life,A Reflection of Rural America,Relationships,https://psiloveyou.xyz/a-reflection-of-rural-america-415a21789ed4?source=topic_page---------28------------------1,-
Medium.com,Life,My Husband’s First Date With Another Woman,Relationships,https://medium.com/polyamory-today/my-husbands-first-date-with-another-woman-348498608273?source=topic_page---------29------------------1,-
Medium.com,Life,The 7 Characteristics of Highly Confident People,Relationships,https://psiloveyou.xyz/the-7-characteristics-of-highly-confident-people-4eed8db8dbf7?source=topic_page---------30------------------1,-
Medium.com,Life,The Reasons Why People Cheat Are Never Simple,Relationships,https://psiloveyou.xyz/the-reasons-why-people-cheat-are-never-simple-deda907b4779?source=topic_page---------31------------------1,-
Medium.com,Life,Why Did I Ever Marry This Guy?,Relationships,https://psiloveyou.xyz/why-did-i-ever-marry-this-guy-86eae34f320b?source=topic_page---------32------------------1,-
Medium.com,Life,Secondary Effects of a Toxic Relationship,Relationships,https://medium.com/@maribelm.gonzalez/secondary-effects-of-a-toxic-relationship-f828a7203231?source=topic_page---------33------------------1,-
Medium.com,Life,‘Self-Partnered’ Is a Great Description of Singledom,Relationships,https://psiloveyou.xyz/self-partnered-is-a-great-description-of-singledom-6df46f016449?source=topic_page---------34------------------1,-
Medium.com,Life,Loving Like it’s 1999: Dating for the Appless Among Us,Relationships,https://medium.com/tabooless/loving-like-its-1999-dating-for-the-appless-among-us-f7f13d06db83?source=topic_page---------35------------------1,-
Medium.com,Life,How I Forgave My Abusive Ex,Relationships,https://psiloveyou.xyz/how-i-forgave-my-abusive-ex-b0fc619e9e40?source=topic_page---------36------------------1,-
Medium.com,Life,Successful Relationships Are Based on Good Sales Skills,Relationships,https://psiloveyou.xyz/successful-relationships-are-based-on-good-sales-skills-dbb7d10396c8?source=topic_page---------37------------------1,-
Medium.com,Life,It Took Me 9 1/2 Years to Learn This About Love,Relationships,https://medium.com/@tiffany.sun/it-took-me-9-1-2-years-to-learn-this-about-love-61c118ec8622?source=topic_page---------38------------------1,-
Medium.com,Life,3 Reasons Why You Must Go Give Someone A Hug Right Now,Relationships,https://psiloveyou.xyz/3-reasons-why-you-must-go-give-someone-a-hug-right-now-c9ae57a72c4e?source=topic_page---------39------------------1,-
Medium.com,Life,How to Fight with Your Partner.,Relationships,https://psiloveyou.xyz/how-to-fight-with-your-partner-df3136c67481?source=topic_page---------40------------------1,-
Medium.com,Life,Five Horrid Activities That Are Still More Beneficial Than Texting Your Ex,Relationships,https://medium.com/the-partnered-pen/five-horrid-activities-that-are-still-more-beneficial-than-texting-your-ex-64aa4704a2b5?source=topic_page---------41------------------1,-
