Source,Domain,Heading,Category,URL,Text
Medium.com,Society,An Writing (and Re-Writing) My Own Story,Religion,https://medium.com/@gretehowland/an-writing-and-re-writing-my-own-story-864d69b8c3d2?source=topic_page---------0------------------1,-
Medium.com,Society,Power Cuts and the Fear of God,Religion,https://medium.com/thatancientfaith/power-cuts-and-the-fear-of-god-894de2a5ca99?source=topic_page---------1------------------1,-
Medium.com,Society,"How Platform Technologies Negatively Impact Capitalism, Democracy, and Christianity",Religion,https://medium.com/soli-deo-gloria/how-platform-technologies-negatively-impact-capitalism-democracy-and-christianity-d0608d2ca0d0?source=topic_page---------2------------------1,-
Medium.com,Society,Is Kanye West a Cult Leader?,Religion,https://medium.com/pop-off/is-kanye-west-a-cult-leader-565c1079108d?source=topic_page---------4------------------1,-
Medium.com,Society,Are We Wired for Religious Intolerance?,Religion,https://medium.com/@leongalis/are-we-wired-for-religious-intolerance-11b505f1933a?source=topic_page---------5------------------1,-
Medium.com,Society,"The Broadway Play, The South Park Episode, The Book",Religion,https://medium.com/@danthedoozy/the-broadway-play-the-south-park-episode-the-book-e9a1bd014122?source=topic_page---------6------------------1,-
Medium.com,Society,Quantum Physics: The Bridge Between Science and Religion?,Religion,https://medium.com/the-ascent/quantum-physics-the-bridge-between-science-and-religion-2d4456c91763?source=topic_page---------7------------------1,-
Medium.com,Society,Caught in the Act,Religion,https://medium.com/nobody-left-out/caught-in-the-act-4574807ae317?source=topic_page---------8------------------1,-
Medium.com,Society,"Know Better, Do Better: Sexual Assault and The Church of Jesus Christ of Latter-day Saints",Religion,https://medium.com/@charlottershurtz/know-better-do-better-7109e83d2506?source=topic_page---------9------------------1,-
Medium.com,Society,Mitt Romney: Latter-day Saint,Religion,https://arcdigital.media/mitt-romney-latter-day-saint-17778c4aabe7?source=topic_page---------10------------------1,-
Medium.com,Society,Ten Is the Holiest Number,Religion,https://medium.com/cantors-paradise/ten-is-the-holiest-number-81b3a22bf8f?source=topic_page---------11------------------1,-
Medium.com,Society,I Thought I Would Marry Jesus,Religion,https://humanparts.medium.com/i-thought-i-would-marry-jesus-21c33c0e49ad?source=topic_page---------12------------------1,-
Medium.com,Society,The Unbearable Whiteness of Being (in West Michigan),Religion,https://zora.medium.com/the-unbearable-whiteness-of-being-in-west-michigan-af2f0a6c6946?source=topic_page---------13------------------1,-
Medium.com,Society,Suspending the Need for Truth,Religion,https://medium.com/interfaith-now/suspending-the-need-for-truth-cbd24e0bd630?source=topic_page---------14------------------1,-
Medium.com,Society,The Paradoxes and Ambiguities of ‘Gay’ and ‘Mormon’: My Journey to Embracing My Sexuality,Religion,https://medium.com/@michael.i.mcleod/the-paradoxes-and-ambiguities-of-gay-and-mormon-my-journey-to-embracing-my-sexuality-cadb1dd681fd?source=topic_page---------15------------------1,-
Medium.com,Society,"Language, Humanity, and Religion",Religion,https://medium.com/interfaith-now/language-humanity-and-religion-2b49beae17f6?source=topic_page---------16------------------1,-
Medium.com,Society,"At the Intersection of Science and Religion, Black Lives Matter",Religion,https://medium.com/@sturnoy/at-the-intersection-of-science-and-religion-black-lives-matter-e63b05be0086?source=topic_page---------17------------------1,-
Medium.com,Society,Too Smart to Be Joyful,Religion,https://medium.com/nobody-left-out/too-smart-to-be-joyful-ace0a8d55954?source=topic_page---------18------------------1,-
Medium.com,Society,My Youth Was Hijacked By A Cult,Religion,https://medium.com/@Shesreallyfat/my-youth-was-hijacked-by-a-cult-dd8e1743deb4?source=topic_page---------19------------------1,-
Medium.com,Society,America Is Being Run By a Cult,Religion,https://medium.com/@Shesreallyfat/america-is-being-run-by-a-cult-7f5d7af7be8a?source=topic_page---------20------------------1,-
Medium.com,Society,How To Read Art: The Annunciation By Carlo Crivelli,Religion,https://medium.com/thinksheet/how-to-read-art-the-annunciation-by-carlo-crivelli-ccbba75d70b3?source=topic_page---------21------------------1,-
Medium.com,Society,She Speaks: When Your Partner Preaches On Sunday Morning,Religion,https://psiloveyou.xyz/she-speaks-when-your-partner-preaches-on-sunday-morning-1a25dc192653?source=topic_page---------22------------------1,-
Medium.com,Society,Europe: The Babylon of Modern Times,Religion,https://medium.com/predict/europe-the-babylon-of-modern-times-327bb6e64a?source=topic_page---------23------------------1,-
Medium.com,Society,The Decline in Religious Belief in America: The Role of NASA and Media Technologies,Religion,https://medium.com/@barryvacker/the-decline-in-religious-belief-in-america-the-role-of-nasa-and-media-technologies-7e8ef3d0b919?source=topic_page---------24------------------1,-
Medium.com,Society,Why Do Muslim Women Wear Hijab?,Religion,https://medium.com/interfaith-now/why-do-muslim-women-wear-hijab-8d0cd811e2b1?source=topic_page---------25------------------1,-
Medium.com,Society,The Oldest Question,Religion,https://medium.com/nobody-left-out/the-oldest-question-4600461d0284?source=topic_page---------26------------------1,-
Medium.com,Society,Life begins at conception and other unhelpful assumptions…even if you believe them,Religion,https://medium.com/@dissentingpilgrim/life-begins-at-conception-and-other-unhelpful-assumptions-even-if-you-believe-them-742ff7372898?source=topic_page---------27------------------1,-
Medium.com,Society,Self Sufficiency and the Muslim Life,Religion,https://medium.com/modern-hijab-life/self-sufficiency-and-the-muslim-life-417897de09bd?source=topic_page---------28------------------1,-
Medium.com,Society,What Do You Teach Your Children if You’re a Christian and Your Partner is Not?,Religion,https://medium.com/publishous/what-do-you-teach-your-children-if-youre-a-christian-and-your-partner-is-not-d4a4a36f8aa2?source=topic_page---------29------------------1,-
Medium.com,Society,The Theological Idiocy of Gilead in ‘The Handmaid’s Tale’,Religion,https://medium.com/@sarahlstewart18/the-theological-idiocy-of-gilead-in-the-handmaids-tale-ee17382f7aaf?source=topic_page---------30------------------1,-
Medium.com,Society,Seven Problems in Christianity That Killed My Faith,Religion,https://medium.com/@joeomundson/seven-problems-in-christianity-that-killed-my-faith-2adc20d02283?source=topic_page---------31------------------1,-
Medium.com,Society,The Pastor Plague,Religion,https://medium.com/@vaughanink/the-pastor-plague-32d65dc66b87?source=topic_page---------32------------------1,-
Medium.com,Society,Resetting the Frumpy Muslim Mindset,Religion,https://medium.com/modern-hijab-life/resetting-the-frumpy-muslim-mindset-aed80ba9d17?source=topic_page---------33------------------1,-
