Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Riding Dirty: Waymo and the Climate Cost of Autonomous Mobility (as Currently Conceived),Self-Driving Cars,https://medium.com/@joseph.wildey/riding-dirty-waymo-and-the-climate-cost-of-autonomous-mobility-as-currently-conceived-9fa34b4f76f4?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Autonomous Vehicles: Friend or Foe?,Self-Driving Cars,https://medium.com/fcg-fahrenheit/autonomous-vehicles-friend-or-foe-7987e0884f54?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,Self-Driving Cars Get Confused Around Animal Drawn Vehicles,Self-Driving Cars,https://medium.com/@lance.eliot/self-driving-cars-get-confused-around-animal-drawn-vehicles-482db585f650?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,The Self-Driven Car,Self-Driving Cars,https://medium.com/@multi.innovation/the-self-driven-car-dcf5e8e0c9b?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Why Tesla’s Fleet Miles Matter for Autonomous Driving,Self-Driving Cars,https://towardsdatascience.com/why-teslas-fleet-miles-matter-for-autonomous-driving-8e48503a462f?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,How Cops Will Do Stop-And-Frisk In An Era Of Self-Driving Cars,Self-Driving Cars,https://medium.com/@lance.eliot/how-cops-will-do-stop-and-frisk-in-an-era-of-self-driving-cars-a249d1c06a1d?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,Smart Summon And The Issues With Self-Driving Cars,Self-Driving Cars,https://medium.com/0xmachina/smart-summon-and-the-issues-with-self-driving-cars-5e9db45a4eac?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,How to Save on App Development at the Time of Large-Scale Change in Car Connectivity?,Self-Driving Cars,https://medium.com/creating-automotive-experience-of-tomorrow-today/cost-effective-delivery-of-connected-car-software-af452efd00a9?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,Switched Transport Network for Personal Mobility Pods,Self-Driving Cars,https://medium.com/swlh/switched-transport-network-for-personal-mobility-pods-45672f39756?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Lifting 2D object detection to 3D in autonomous driving,Self-Driving Cars,https://towardsdatascience.com/geometric-reasoning-based-cuboid-generation-in-monocular-3d-object-detection-5ee2996270d1?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,Is The Self-Driving Car Part of Our Elysium?,Self-Driving Cars,https://medium.com/swlh/is-the-self-driving-car-part-of-our-elysium-90efdf2438ec?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,Researchers Develop Tiny Depth Sensor Inspired by Spider Eyes,Self-Driving Cars,https://medium.com/extremetech-access/researchers-develop-tiny-depth-sensor-inspired-by-spider-eyes-843b6655a6de?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,How a 13-year-old told a Computer to Detect Lane Lines,Self-Driving Cars,https://medium.com/swlh/how-a-13-year-old-told-a-computer-to-detect-lane-lines-34a4dbb6fae8?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,Self-Driving Cars Will Widen The Issue Of Multi-Party Privacy In A Really Bad Way,Self-Driving Cars,https://medium.com/@lance.eliot/self-driving-cars-will-widen-the-issue-of-multi-party-privacy-in-a-really-bad-way-b33e12208cc5?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,"The Future of Mobility is Electric, Autonomous and Shared",Self-Driving Cars,https://medium.com/swlh/the-future-of-mobility-is-electric-autonomous-and-shared-1b1f724b9de5?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,The Trolley Problem Isn’t Theoretical Anymore,Self-Driving Cars,https://towardsdatascience.com/trolley-problem-isnt-theoretical-2fa92be4b050?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,"Beijing in Automation, Streets in Motion",Self-Driving Cars,https://medium.com/@jemool610/beijing-in-automation-streets-in-motion-3458fb68d5de?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,Three major technological changes that are going to redefine the automotive sector and change our…,Self-Driving Cars,https://medium.com/enrique-dans/three-major-technological-changes-that-are-going-to-redefine-the-automotive-sector-and-change-our-67dbe2bd2c2a?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,"When Self-Driving Cars Become Paralyzed, It’s Not Good",Self-Driving Cars,https://medium.com/@lance.eliot/when-self-driving-cars-become-paralyzed-its-not-good-b8930e933449?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,Will We Destroy Cities For Self-Driving Cars?,Self-Driving Cars,https://medium.com/swlh/will-we-destroy-cities-for-self-driving-cars-d1806563bdea?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,How do self-driving cars “see”?,Self-Driving Cars,https://medium.com/swlh/how-do-self-driving-cars-see-2e02dc23b51c?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,Mapping the Autonomous Vehicle Ecosystem,Self-Driving Cars,https://medium.com/swlh/mapping-the-autonomous-vehicle-ecosystem-3cd14fd6d750?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,Driverless cars are driving into view,Self-Driving Cars,https://medium.com/digital-leaders-uk/driverless-cars-are-driving-into-view-27e57a07059a?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,Anatomy Of An Autonomous Vehicle Service Ecosystem,Self-Driving Cars,https://medium.com/bestmile/anatomy-of-an-autonomous-vehicle-service-ecosystem-40c538de8a9c?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,Jointly developing driverless vehicles and cities of tomorrow,Self-Driving Cars,https://medium.com/digital-leaders-uk/jointly-developing-driverless-vehicles-and-cities-of-tomorrow-44ca7119b351?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Recognizing Depth in Autonomous Driving,Self-Driving Cars,https://towardsdatascience.com/depth-prediction-autonomous-driving-18d05ff25dd6?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,The Place of Machine Learning and Artificial Intelligence in the Automotive Industry,Self-Driving Cars,https://medium.com/datadriveninvestor/the-place-of-machine-learning-and-artificial-intelligence-in-the-automotive-industry-618368db80f9?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,How do computers see so well?,Self-Driving Cars,https://medium.com/@w.law/how-do-computers-see-so-well-5a48b9eb312d?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,Line Detection: Make an Autonomous Car see Road Lines,Self-Driving Cars,https://towardsdatascience.com/line-detection-make-an-autonomous-car-see-road-lines-e3ed984952c?source=topic_page---------29------------------1,-
