Source,Domain,Heading,Category,URL,Text
Medium.com,Society,"Dear Twitter Mob, College Journalists are Supposed to Make Mistakes",Society,https://gen.medium.com/dear-twitter-mob-college-journalists-are-supposed-to-make-mistakes-bbc5f8887136?source=topic_page---------0------------------1,-
Medium.com,Society,The Honest Truth About Veterans Day,Society,https://medium.com/publishous/the-honest-truth-about-veterans-day-9b8343a72cc2?source=topic_page---------1------------------1,-
Medium.com,Society,"How Platform Technologies Negatively Impact Capitalism, Democracy, and Christianity",Society,https://medium.com/soli-deo-gloria/how-platform-technologies-negatively-impact-capitalism-democracy-and-christianity-d0608d2ca0d0?source=topic_page---------2------------------1,-
Medium.com,Society,Honoring Veterans Means Changing the System That Cares for Them,Society,https://medium.com/@reviveshine/honoring-veterans-means-changing-the-system-that-cares-for-them-5414fe684dcf?source=topic_page---------4------------------1,-
Medium.com,Society,Why We Need Community (even if we don’t agree on everything).,Society,https://medium.com/@samanthaperkins30/why-we-need-community-even-if-we-dont-agree-on-everything-24d43bf86373?source=topic_page---------5------------------1,-
Medium.com,Society,What Should We Do When the World Doesn’t Make Sense,Society,https://medium.com/@hazelclementine/what-should-we-do-when-the-world-doesnt-make-sense-85a5806bb81b?source=topic_page---------6------------------1,-
Medium.com,Society,Learning to Love My Enemies,Society,https://medium.com/@nosaintjennifer/learning-to-love-my-enemies-af2b78e909af?source=topic_page---------7------------------1,-
Medium.com,Society,"Don’t Be an Ally, Be an Accomplice",Society,https://forge.medium.com/dont-be-an-ally-be-an-accomplice-437869756ab5?source=topic_page---------8------------------1,-
Medium.com,Society,What It Means to Walk Around a City Without Purpose,Society,https://zora.medium.com/what-it-means-to-walk-around-a-city-without-purpose-6c84630d86ab?source=topic_page---------9------------------1,-
Medium.com,Society,The Kids Are Online-and Alright,Society,https://medium.com/citrispolicylab/the-kids-are-online-and-alright-8ea3f6362fe8?source=topic_page---------10------------------1,-
Medium.com,Society,You’re More Than Peanut Butter,Society,https://medium.com/@rickieticklez/youre-more-than-peanut-butter-670b6a25f30?source=topic_page---------11------------------1,-
Medium.com,Society,American Resistance,Society,https://arcdigital.media/american-resistance-889e114f3db3?source=topic_page---------12------------------1,-
Medium.com,Society,The Way of the Predator vs the Way of the Nurturer,Society,https://eand.co/the-way-of-the-predator-vs-the-way-of-the-nurturer-3ee308bf3087?source=topic_page---------13------------------1,-
Medium.com,Society,A Reflection of Rural America,Society,https://psiloveyou.xyz/a-reflection-of-rural-america-415a21789ed4?source=topic_page---------14------------------1,-
Medium.com,Society,"There was no generational war, so journalists invented one",Society,https://medium.com/@robs1024/there-was-no-generational-war-so-journalists-invented-one-1a09c5d4c9e1?source=topic_page---------15------------------1,-
Medium.com,Society,Be Kind to Retail Workers This Holiday Season,Society,https://medium.com/an-injustice/be-kind-to-retail-workers-this-holiday-season-153bebadc54c?source=topic_page---------16------------------1,-
Medium.com,Society,Is Science Learning the Deep Lessons of WWI?,Society,https://medium.com/swlh/is-science-learning-the-deep-lessons-of-wwi-a713894e813?source=topic_page---------17------------------1,-
Medium.com,Society,The AI-Powered Future of Drones,Society,https://medium.com/predict/the-ai-powered-future-of-drones-e455777d603a?source=topic_page---------18------------------1,-
Medium.com,Society,Getting Fired Over Politics On Social Media,Society,https://medium.com/discourse/getting-fired-over-politics-on-social-media-3ef3ac860397?source=topic_page---------19------------------1,-
Medium.com,Society,What It Means to Be Single,Society,https://medium.com/@thedatingtruth/what-it-means-to-be-single-8c305abc8566?source=topic_page---------20------------------1,-
Medium.com,Society,The Diet That Was Supposed to Feed the World Forgot to Factor in the Poor,Society,https://onezero.medium.com/the-diet-that-was-supposed-to-feed-the-world-forgot-to-factor-in-the-poor-cd0e223d6945?source=topic_page---------21------------------1,-
Medium.com,Society,"Why Story, Not Science, is Our Best Hope for Surviving 2020",Society,https://medium.com/@jodi_barnes/why-story-not-science-is-our-best-hope-for-surviving-2020-e2ad9fd4fd65?source=topic_page---------22------------------1,-
Medium.com,Society,What Does Lab-Grown Meat Say About Society?,Society,https://medium.com/tenderlymag/what-does-lab-grown-meat-say-about-society-7274205047ea?source=topic_page---------23------------------1,-
Medium.com,Society,A San Francisco War Vet Speaks Out about Veterans Day,Society,https://thebolditalic.com/a-san-francisco-war-vet-speaks-out-about-veterans-day-the-bold-italic-san-francisco-9fd535407a19?source=topic_page---------24------------------1,-
Medium.com,Society,What the Godfather of Spin Teaches Us About Trump,Society,https://gen.medium.com/secrets-of-a-right-wing-opinion-maker-bbeba55a44bd?source=topic_page---------25------------------1,-
Medium.com,Society,Boeing and the Value of Human Life,Society,https://medium.com/@ramman_erin/boeing-and-the-value-of-human-life-168cb8a5c188?source=topic_page---------26------------------1,-
Medium.com,Society,The Road We’re Travelling: Driving Drunk With Donald Trump,Society,https://medium.com/@maxgordon19/the-road-were-travelling-driving-drunk-with-donald-trump-3bf0ea4c9619?source=topic_page---------27------------------1,-
