Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,The Future of CubeSat Propulsion,Space,https://medium.com/average-student/the-future-of-cubesat-propulsion-7959eaa5502c?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,The Universe We Can’t See,Space,https://medium.com/predict/the-universe-we-cant-see-dc3b871acc52?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,Is Your Brain Ready for Mars?,Space,https://medium.com/average-student/is-your-brain-ready-for-mars-351f903f8275?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,How Will Elon Musk’s Starlink Deliver Internet Around the Globe?,Space,https://medium.com/average-student/how-will-elon-musks-starlink-deliver-internet-around-the-globe-7731d35ce943?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,NASA Installs Final RS-25 Space Shuttle Engine on SLS Core,Space,https://medium.com/extremetech-access/nasa-installs-final-rs-25-space-shuttle-engine-on-sls-core-5840f5a97b51?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,How genetically engineered crops can help us colonise space,Space,https://medium.com/talkplant/how-genetically-engineered-crops-can-help-us-colonise-space-b4dec4832f34?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,Space Elevator: The Future of Mankind or Fiction,Space,https://medium.com/swlh/space-elevator-the-future-of-mankind-or-fiction-9412d47e6ab?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,How the World’s Biggest Gun Helped Solve a Long-Standing Space Mystery,Space,https://medium.com/mit-technology-review/how-the-worlds-biggest-gun-helped-solve-a-long-standing-space-mystery-3c00ec86ac8f?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,The Transit Of Mercury,Space,https://medium.com/weeds-wildflowers/the-transit-of-mercury-7698134fdd63?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Using Galaxy Clusters to Look Into the Past,Space,https://medium.com/average-student/using-galaxy-clusters-to-look-into-the-past-12752c773907?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,Massive spinning Black Holes created in ‘Pac-Man like’ mergers,Space,https://medium.com/predict/massive-spinning-black-holes-created-in-pac-man-like-mergers-f19a7cd14083?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,Why a Nuclear Powered Rocket is a Bad Idea,Space,https://medium.com/@Jernfrost/why-a-nuclear-powered-rocket-is-a-bad-idea-52b51f4d2c9c?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,Exoplanets III: Habitability and Conclusion,Space,https://towardsdatascience.com/exoplanets-iii-habitability-and-conclusion-5fe70b97f3c7?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,Exoplanets II: Interpretation of Data,Space,https://towardsdatascience.com/exoplanets-ii-interpretation-of-data-c9e554c4f3fe?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,Exoplanets I: Methods and Discoveries,Space,https://towardsdatascience.com/exoplanets-i-methods-and-discoveries-b653eee48cf2?source=topic_page---------15------------------1,-
