Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,The New York Jets Are the “Kings” of Gotham,Sports,https://gothamsn.com/the-new-york-jets-are-the-kings-of-gotham-fb4e90fabac7?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,The Saints Have a Bridge to Cross Next Offseason,Sports,https://medium.com/@arice005/the-saints-have-a-bridge-to-cross-next-offseason-6437b193f73e?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,"Despite Reluctance, the White Sox Should Transition Eloy Jiménez into DH Role in the Near Future",Sports,https://medium.com/the-35th-shields-podcast/despite-reluctance-the-white-sox-should-transition-eloy-jim%C3%A9nez-into-dh-role-in-the-near-future-850bfb3b88ed?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,Canada Doesn’t Have Room for Bigotry in Sport,Sports,https://medium.com/@andreabauer/canada-doesnt-have-room-for-bigotry-in-sport-f7c8ceab8d7e?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,Why We’re Failing at Protecting Young Female Athletes,Sports,https://medium.com/@isabelhazan/why-were-failing-at-protecting-young-female-athletes-8ef8c29deda2?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,The Goalkeeper’s Anxiety at the Penalty Kick (And Other Anxieties),Sports,https://medium.com/@rat_tweak/the-goalkeepers-anxiety-at-the-penalty-kick-and-other-anxieties-51ed94075603?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,"In the KSI-Logan Paul Fight, Boxing Won — But YouTube Won Bigger",Sports,https://ffwd.medium.com/in-the-ksi-logan-paul-fight-boxing-won-but-youtube-won-bigger-ea73a2a8c0f7?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,Chuba Hubbard: The Unlikely Story of The NFL’s Next Best Running Back,Sports,https://medium.com/the-intermission/chuba-hubbard-the-unlikely-story-of-the-nfls-next-best-running-back-177651b68813?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,"Memphis, Wiseman, and the NCAA: taking stock of the latest in college basketball litigation",Sports,https://medium.com/@petercolin901/memphis-wiseman-and-the-ncaa-taking-stock-of-the-latest-in-college-basketball-litigation-ec0ea61d5273?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,What College Football Can Teach Us About Marketing,Sports,https://medium.com/swlh/what-college-football-can-teach-us-about-marketing-73b0514b0b52?source=topic_page---------10------------------1,-
