Source,Domain,Heading,Category,URL,Text
Medium.com,Industry,What Do Solo Founders Need?,Startups,https://medium.com/betterism/what-do-solo-founders-need-ff222d1d4b36?source=topic_page---------0------------------1,-
Medium.com,Industry,7 things you must know if you’re thinking about starting a business.,Startups,https://medium.com/swlh/7-things-you-must-know-if-youre-thinking-about-starting-a-business-e14c17fce58d?source=topic_page---------1------------------1,-
Medium.com,Industry,How Do I Know if Entrepreneurship is Right for Me?,Startups,https://medium.com/@kristiandrus/how-do-i-know-if-entrepreneurship-is-right-for-me-7b8c27870fd1?source=topic_page---------2------------------1,-
Medium.com,Industry,Outsourcing Your Weaknesses: How to Build Your Business by Admitting Your Flaws,Startups,https://medium.com/@realmikespeer/outsourcing-your-weaknesses-how-to-build-your-business-by-admitting-your-flaws-eaa9d3d49ad9?source=topic_page---------4------------------1,-
Medium.com,Industry,The True Cost of Technical Debt,Startups,https://medium.com/better-programming/the-true-cost-of-technical-debt-265f198b1e0b?source=topic_page---------5------------------1,-
Medium.com,Industry,Communicating Technical Debt,Startups,https://medium.com/better-programming/communicating-technical-debt-82b82dd528d1?source=topic_page---------6------------------1,-
Medium.com,Industry,Estimating a Software Deadline Is Really Hard — Let’s Talk About Why,Startups,https://medium.com/better-programming/estimating-a-software-deadline-is-really-hard-lets-talk-about-why-44687a6baf9d?source=topic_page---------7------------------1,-
Medium.com,Industry,The Beginners Guide to Experimental Marketing,Startups,https://medium.com/better-marketing/the-beginners-guide-to-experimental-marketing-d7e77f8f379b?source=topic_page---------8------------------1,-
Medium.com,Industry,"When You Work For Yourself, You Work For Everyone",Startups,https://medium.com/@aarondinin/when-you-work-for-yourself-you-work-for-everyone-45dacf610802?source=topic_page---------9------------------1,-
Medium.com,Industry,Gen Z Founders: Sell Your Company,Startups,https://medium.com/startup-muse/gen-z-founders-sell-your-company-191b9341cd7b?source=topic_page---------10------------------1,-
Medium.com,Industry,The Sharp Startup: When PayPal Found Product-Market Fit,Startups,https://medium.com/craft-ventures/the-sharp-startup-when-paypal-found-product-market-fit-5ba47ad35d0b?source=topic_page---------11------------------1,-
Medium.com,Industry,The Marker Guide to Hiring for Your Startup,Startups,https://marker.medium.com/the-ultimate-guide-to-startup-hiring-f05df3ea2f9c?source=topic_page---------12------------------1,-
Medium.com,Industry,Businesses die because of Shiny Object Syndrome,Startups,https://medium.com/swlh/businesses-die-because-of-shiny-object-syndrome-fcbc801dc1df?source=topic_page---------13------------------1,-
Medium.com,Industry,5 Things You Need To Stop Doing in Interviews,Startups,https://medium.com/swlh/5-things-you-need-to-stop-doing-in-interviews-ab0520d27824?source=topic_page---------14------------------1,-
Medium.com,Industry,Blue and Red Ocean Strategies Are the New Growth Hacking,Startups,https://medium.com/better-marketing/blue-and-red-ocean-strategies-are-the-new-growth-hacking-5412aab54b9d?source=topic_page---------15------------------1,-
Medium.com,Industry,How To Tell If Your Idea Is Any Good,Startups,https://medium.com/better-marketing/how-to-tell-if-your-idea-is-any-good-8ba5a7008830?source=topic_page---------16------------------1,-
Medium.com,Industry,This Startup Helps Match Veterans to the Support Services They Need,Startups,https://medium.com/fast-company/this-startup-helps-match-veterans-to-the-support-services-they-need-2905f52bead8?source=topic_page---------17------------------1,-
Medium.com,Industry,Startup Founders Get Fired — Period,Startups,https://medium.com/startup-muse/startup-founders-get-fired-period-dcfbff106d91?source=topic_page---------18------------------1,-
Medium.com,Industry,How Startups Fill Leadership Gaps With Expert Resources,Startups,https://medium.com/@jproco/how-startups-fill-leadership-gaps-with-expert-resources-7af031ae84ac?source=topic_page---------19------------------1,-
Medium.com,Industry,What is it like working at an early-stage start-up?,Startups,https://medium.com/swlh/what-is-it-like-working-at-an-early-stage-start-up-70b0d80cd61a?source=topic_page---------20------------------1,-
Medium.com,Industry,Minimum Viable Product Isn’t What You Think It Is,Startups,https://medium.com/rocket-startup/minimum-viable-product-isnt-what-you-think-it-is-ce03c36f143c?source=topic_page---------21------------------1,-
Medium.com,Industry,Are You & Your Employees Suffering?,Startups,https://medium.com/swlh/are-you-your-employees-suffering-d10ec9d9bfe?source=topic_page---------22------------------1,-
Medium.com,Industry,Can You Survive as a One-Product Wonder?,Startups,https://medium.com/better-marketing/can-you-survive-as-a-one-product-wonder-800560538d91?source=topic_page---------23------------------1,-
Medium.com,Industry,All Code Is Legacy Code,Startups,https://medium.com/better-programming/all-code-is-legacy-code-4d3df80d0979?source=topic_page---------24------------------1,-
Medium.com,Industry,Can This Tiny Midwestern Startup Become the Beyond Meat of Leather?,Startups,https://marker.medium.com/can-this-tiny-midwestern-startup-become-the-beyond-meat-of-leather-9741cbf878cd?source=topic_page---------25------------------1,-
Medium.com,Industry,3 Books Every Startup Employee Should Read,Startups,https://medium.com/swlh/3-books-every-startup-employee-should-read-897f6e95800a?source=topic_page---------26------------------1,-
Medium.com,Industry,"EXCLUSIVE: Ambrosia, the Young Blood Transfusion Startup, Is Quietly Back in Business",Startups,https://onezero.medium.com/exclusive-ambrosia-the-young-blood-transfusion-startup-is-quietly-back-in-business-ee2b7494b417?source=topic_page---------27------------------1,-
Medium.com,Industry,Why You Should Learn to Stop Worrying and Love Technical Debt,Startups,https://marker.medium.com/why-you-should-learn-to-stop-worrying-and-love-technical-debt-55bb5684f94c?source=topic_page---------28------------------1,-
Medium.com,Industry,5 Truths About Breaking Through a Business Growth Barrier,Startups,https://medium.com/@jasonvanorden/5-truths-about-breaking-through-a-business-growth-barrier-790d6dd27850?source=topic_page---------29------------------1,-
Medium.com,Industry,How To Calculate The Real Cost Of MVP For Your Start-up,Startups,https://medium.com/@alexponomarev/how-to-calculate-the-real-cost-of-mvp-for-your-start-up-686c85557cd4?source=topic_page---------30------------------1,-
Medium.com,Industry,Organizational Topology,Startups,https://medium.com/@mattlane66/org-design-68df2bbd32f1?source=topic_page---------31------------------1,-
Medium.com,Industry,What it Really Feels Like to be a Serial Entrepreneur,Startups,https://medium.com/the-human-condition/what-it-really-feels-like-to-be-a-serial-entrepreneur-ed7b13732e54?source=topic_page---------32------------------1,-
Medium.com,Industry,How Much Equity Should You Give Your Employees?,Startups,https://medium.com/@brett_28716/how-much-equity-should-you-give-your-employees-a8d43c4f3fab?source=topic_page---------33------------------1,-
Medium.com,Industry,Venture Capital Due Diligence: The Market Test,Startups,https://medium.com/vcdium/venture-capital-due-diligence-the-market-test-ca9a93cb5dcc?source=topic_page---------34------------------1,-
