Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,Watchmen review: “She Was Killed by Space Junk”,TV,https://medium.com/@charlesevans/watchmen-review-she-was-killed-by-space-junk-39ee4bcd4a78?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,‘His Dark Materials’: S01.E02. “The Idea of the North” Review,TV,https://medium.com/pop-off/his-dark-materials-s01-e02-the-idea-of-the-north-review-cd22827e9d4?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,When the Body Becomes a Crime Scene,TV,https://medium.com/fearless-she-wrote/when-the-body-becomes-a-crime-scene-541b06456173?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,Safety Last! ‘Rick and Morty’ Season Four Is Finally Here!,TV,https://paleymatters.org/safety-last-rick-and-morty-season-four-is-finally-here-6869401ee37b?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,Apple TV+’s Flops Prove TV Has To Be Controversial To Be Good,TV,https://medium.com/feministly/apple-tv-s-flops-prove-tv-has-to-be-controversial-to-be-good-fb0e1bf72f66?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,Is Streaming Media Turning My Kids Into Entitled Monsters?,TV,https://gen.medium.com/is-streaming-media-turning-my-kids-into-entitled-monsters-a8517c85ab09?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,How to Love Something for 13 Years,TV,https://medium.com/@veronicawalsing/how-to-love-something-for-13-years-35cdee86a383?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,Netflix Isn’t Cool With Password Sharing Anymore.,TV,https://medium.com/inc./netflix-isnt-cool-with-password-sharing-anymore-bcce28b1e0b9?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,Disney Plus vs. Apple TV Plus? Now You Can Play Streaming Fantasy Sports,TV,https://marker.medium.com/disney-vs-apple-now-you-can-play-streaming-fantasy-sports-2bd69ca263ce?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,"LGBTQ Characters Hit Record High on Network TV, Study Says",TV,https://medium.com/@CTStaff/lgbtq-characters-hit-record-high-on-network-tv-study-says-83f9b643928a?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,The Netflix Effect,TV,https://medium.com/thinksheet/the-netflix-effect-2d94683ef9f1?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,The suburban dead: Black Summer (Netflix) reviewed,TV,https://medium.com/@barnaby.page/the-suburban-dead-black-summer-netflix-reviewed-111c485e73fc?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,"For Those Who Are About to Die, We Reboot You: “Arrow” Approaching the Crisis",TV,https://medium.com/@markdonohue/for-those-who-are-about-to-die-we-reboot-you-arrow-approaching-the-crisis-1c966c50ab5f?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,Impossible Is A Word Humans Use Far Too Often,TV,https://medium.com/pop-off/impossible-is-a-word-humans-use-far-too-often-c1ef23c096b9?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,The One With the Definitive Ranking of “Friends” Holiday Episodes,TV,https://medium.com/@miss.willett/the-one-with-the-definitive-ranking-of-friends-holiday-episodes-3039fe678f4b?source=topic_page---------15------------------1,-
Medium.com,Arts & Entertainment,Limetown is back with new layers,TV,https://medium.com/pop-off/limetown-is-back-with-new-layers-689d8d56ab59?source=topic_page---------16------------------1,-
Medium.com,Arts & Entertainment,You Should Be Watching TV,TV,https://medium.com/@ZachJPayne/you-should-be-watching-tv-870f6032e8ed?source=topic_page---------17------------------1,-
Medium.com,Arts & Entertainment,"Black Mirror Isn’t as Dark as it Used to Be, and That’s Okay",TV,https://medium.com/@mboyle988/black-mirror-isnt-as-dark-as-it-used-to-be-and-that-s-okay-e18cb18814c8?source=topic_page---------18------------------1,-
Medium.com,Arts & Entertainment,A Road Trip with Jonathan Van Ness,TV,https://medium.com/@aaronhicklin/a-road-trip-with-jonathan-van-ness-46c5d013651d?source=topic_page---------19------------------1,-
Medium.com,Arts & Entertainment,‘The End of the Fxxxing World’: Series 2 ★★★☆☆,TV,https://dansmediadigest.co.uk/the-end-of-the-fxxxing-world-series-2-b3dccdfd2b50?source=topic_page---------20------------------1,-
Medium.com,Arts & Entertainment,How Sesame Street Changed Television and My Life,TV,https://medium.com/fast-company/how-sesame-street-changed-television-and-my-life-f694c597539e?source=topic_page---------21------------------1,-
Medium.com,Arts & Entertainment,‘Chicago Med’: S05.E07. “Who Knows What Tomorrow Brings” Recap,TV,https://medium.com/harsh-light-news/chicago-med-s05-e07-who-knows-what-tomorrow-brings-recap-19a891afa33c?source=topic_page---------22------------------1,-
Medium.com,Arts & Entertainment,"“Reel to reel is living verite”: The End of The Deuce, and other things",TV,https://medium.com/@ProjectRob/reel-to-reel-is-living-verite-the-end-of-the-deuce-and-other-things-5eba75259c6e?source=topic_page---------23------------------1,-
Medium.com,Arts & Entertainment,What Amazon Prime Video’s “Modern Love” Got Right About Mental Illness,TV,https://medium.com/@olutunuoyelola/what-amazon-prime-videos-modern-love-got-right-about-mental-illness-712f068f9763?source=topic_page---------24------------------1,-
Medium.com,Arts & Entertainment,How Colonialism Is Brought Full Circle By Capitalism In Television,TV,https://medium.com/@sjmyles79/how-colonialism-is-brought-full-circle-by-capitalism-in-television-e4ea24787872?source=topic_page---------25------------------1,-
Medium.com,Arts & Entertainment,"King Ester: Art, Activism, and Trans Reality",TV,https://medium.com/james-finn/king-ester-art-activism-and-trans-reality-3cba05e2124f?source=topic_page---------26------------------1,-
Medium.com,Arts & Entertainment,"Parents Beware, Evil Is Lurking",TV,https://medium.com/@sirimerak/parents-beware-evil-is-lurking-5723cb457d75?source=topic_page---------27------------------1,-
Medium.com,Arts & Entertainment,Captain Kirk’s Mojo,TV,https://medium.com/predict/captain-kirks-mojo-aedd32ebf0a1?source=topic_page---------28------------------1,-
Medium.com,Arts & Entertainment,"His Dark Materials is by the books, for better or worse",TV,https://medium.com/@mirafox/his-dark-materials-is-by-the-books-for-better-or-worse-6ff2ed5601f7?source=topic_page---------29------------------1,-
Medium.com,Arts & Entertainment,Review: Sorry For Your Loss on Facebook Watch (season 1),TV,https://medium.com/pop-off/review-sorry-for-your-loss-on-facebook-watch-season-1-cf8a312b7a68?source=topic_page---------30------------------1,-
Medium.com,Arts & Entertainment,Lost inTranslation: Why Netflix’s “Neon Genesis Evangelion” is So Problematic,TV,https://medium.com/@jefflight_12860/lost-intranslation-why-netflixs-neon-genesis-evangelion-is-so-problematic-fbac79113a8c?source=topic_page---------31------------------1,-
Medium.com,Arts & Entertainment,Euphoria Deals with Statutory Rape in a Troubling Manner,TV,https://medium.com/@siwemagadla/euphoria-deals-with-statutory-rape-in-a-troubling-manner-1b30b8be488d?source=topic_page---------32------------------1,-
Medium.com,Arts & Entertainment,Netflix Originals Are Just Bad Enough to Destroy It,TV,https://gen.medium.com/https-gen-medium-com-netflix-mediocre-originals-streaming-competition3822911d5e21-3822911d5e21?source=topic_page---------33------------------1,-
Medium.com,Arts & Entertainment,‘His Dark Materials’: S01.E01. “ Lyra’s Jordan” Review,TV,https://medium.com/pop-off/his-dark-materials-s01-e01-lyra-s-jordan-review-f4e6a61c71ea?source=topic_page---------34------------------1,-
