Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Medical Emergencies in Flight: Tech to the Rescue,Technology,https://medium.com/datadriveninvestor/medical-emergencies-in-flight-tech-to-the-rescue-81dba53aef66?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Phone Companies Are Exploiting Low-Income Users Around the World,Technology,https://onezero.medium.com/phone-companies-are-exploiting-low-income-users-around-the-world-c66b55ae2840?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,The Kids Are Online-and Alright,Technology,https://medium.com/citrispolicylab/the-kids-are-online-and-alright-8ea3f6362fe8?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,The Pentagon Is Using China to Scare Tech Companies Into Working With the Military,Technology,https://onezero.medium.com/the-pentagon-is-using-china-to-scare-tech-companies-into-working-with-the-military-d788f58ff4a6?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Is Google Snooping on Your Health Records?,Technology,https://medium.com/pcmag-access/is-google-snooping-on-your-health-records-896c3fa0a0cd?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Journey to the world championship — Microsoft Imagine Cup 2019,Technology,https://towardsdatascience.com/journey-to-the-world-championship-microsoft-imagine-cup-2019-9e7f15e37442?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,The TL;DR on Neuralink’s First Press Conference,Technology,https://towardsdatascience.com/the-tl-dr-on-neuralinks-first-press-conference-11ba33b136f9?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,Could Letting Consumers Fix Their iPhones Help Save the Planet?,Technology,https://medium.com/@grist/could-letting-consumers-fix-their-iphones-help-save-the-planet-4f937bf363cf?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,Technology at the Existential — An Imbalance of Progress,Technology,https://medium.com/swlh/technology-at-the-existential-an-imbalance-of-progress-5efbc1b8b19b?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Why You’ll Still Use Instagram After It Removes the ‘Likes’,Technology,https://thebolditalic.com/why-youll-still-use-instagram-after-it-removes-the-likes-f4e0282014c1?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,The Human Side of Wearables,Technology,https://medium.com/swlh/the-human-side-of-wearables-be90045f4bbe?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,Designing the Auction Mechanism for the App Store Search Advertising System,Technology,https://towardsdatascience.com/designing-the-auction-mechanism-for-the-app-store-search-advertising-system-4aae53ce9e32?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,There Will Be No Turning Back on Facial Recognition,Technology,https://medium.com/new-york-magazine/there-will-be-no-turning-back-on-facial-recognition-d1a410ae2452?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,How to start with Data Science,Technology,https://towardsdatascience.com/how-to-start-with-data-science-93d3ca32d7e5?source=topic_page---------14------------------1,-
Medium.com,Innovation & Tech,Lithium-ion Batteries Remade the World — They Need to Change,Technology,https://onezero.medium.com/lithium-ion-batteries-remade-the-world-they-need-to-change-a0a82419a0cb?source=topic_page---------15------------------1,-
Medium.com,Innovation & Tech,Get Organized: How Technology Can Help (and Hurt) Your Sleep,Technology,https://medium.com/pcmag-access/get-organized-how-technology-can-help-and-hurt-your-sleep-3f294b40d16b?source=topic_page---------16------------------1,-
Medium.com,Innovation & Tech,Headphone Showdown: AKG K371 Vs Beyerdynamic DT770 Pro,Technology,https://medium.com/@Xander51/headphone-showdown-akg-k371-vs-beyerdynamic-dt770-pro-e9692006272?source=topic_page---------17------------------1,-
Medium.com,Innovation & Tech,How Will Elon Musk’s Starlink Deliver Internet Around the Globe?,Technology,https://medium.com/average-student/how-will-elon-musks-starlink-deliver-internet-around-the-globe-7731d35ce943?source=topic_page---------18------------------1,-
Medium.com,Innovation & Tech,Americans Losing Their Trust in the Tech Industry,Technology,https://medium.com/dice-insights/americans-losing-their-trust-in-the-tech-industry-84674486fa69?source=topic_page---------19------------------1,-
Medium.com,Innovation & Tech,The AI-Powered Future of Drones,Technology,https://medium.com/predict/the-ai-powered-future-of-drones-e455777d603a?source=topic_page---------20------------------1,-
Medium.com,Innovation & Tech,Protect your Deep Neural Network by Embedding Watermarks!,Technology,https://towardsdatascience.com/protect-your-deep-neural-network-by-embedding-watermarks-ed4898ec4ad7?source=topic_page---------21------------------1,-
Medium.com,Innovation & Tech,Getting to grips with parse trees,Technology,https://towardsdatascience.com/getting-to-grips-with-parse-trees-6e19e7cd3c3c?source=topic_page---------22------------------1,-
Medium.com,Innovation & Tech,Sur La Tableau,Technology,https://towardsdatascience.com/sur-la-tableau-cd6fdbd33770?source=topic_page---------23------------------1,-
Medium.com,Innovation & Tech,Create Data Science pipelines with Luigi & PySpark and CI/CD,Technology,https://towardsdatascience.com/create-data-science-pipelines-with-luigi-pyspark-and-ci-cd-6422129b310d?source=topic_page---------24------------------1,-
Medium.com,Innovation & Tech,RLCard: Building Your Own Poker AI in 3 Steps,Technology,https://towardsdatascience.com/rlcard-building-your-own-poker-ai-in-3-steps-398aa864a0db?source=topic_page---------25------------------1,-
Medium.com,Innovation & Tech,Building a Convolutional Neural Network for Image Classification with Tensorflow,Technology,https://towardsdatascience.com/building-a-convolutional-neural-network-for-image-classification-with-tensorflow-f1f2f56bd83b?source=topic_page---------26------------------1,-
Medium.com,Innovation & Tech,How the World’s Biggest Gun Helped Solve a Long-Standing Space Mystery,Technology,https://medium.com/mit-technology-review/how-the-worlds-biggest-gun-helped-solve-a-long-standing-space-mystery-3c00ec86ac8f?source=topic_page---------27------------------1,-
Medium.com,Innovation & Tech,Does Everything Need to Be ‘Smart’?,Technology,https://modus.medium.com/does-everything-need-to-be-smart-4bd4bbf08c64?source=topic_page---------28------------------1,-
Medium.com,Innovation & Tech,Toxic Workplaces Are Driving Video Game Developers to Unionize,Technology,https://onezero.medium.com/toxic-workplaces-are-driving-video-game-developers-to-unionize-cda5c8b73317?source=topic_page---------29------------------1,-
Medium.com,Innovation & Tech,Rev Slashes Minimum Pay for Gig Workers,Technology,https://onezero.medium.com/rev-slashes-minimum-pay-for-gig-workers-10baf9b68c54?source=topic_page---------30------------------1,-
Medium.com,Innovation & Tech,How Do You Break A Phone Addiction?,Technology,https://medium.com/swlh/how-do-you-break-a-phone-addiction-4e633ab5541b?source=topic_page---------31------------------1,-
Medium.com,Innovation & Tech,This Small Team of Dispatchers Saves Lives Via Satellite,Technology,https://medium.com/bloomberg-businessweek/this-small-team-of-dispatchers-saves-lives-via-satellite-92d17fc65103?source=topic_page---------32------------------1,-
