Source,Domain,Heading,Category,URL,Text
Medium.com,Society,Medical Emergencies in Flight: Tech to the Rescue,Transportation,https://medium.com/datadriveninvestor/medical-emergencies-in-flight-tech-to-the-rescue-81dba53aef66?source=topic_page---------0------------------1,-
Medium.com,Society,San Francisco’s Prop D,Transportation,https://medium.com/@huntercutting/san-franciscos-prop-d-d4ac6182ef93?source=topic_page---------1------------------1,-
Medium.com,Society,Smart electric vehicle charging,Transportation,https://medium.com/digitalagenda/smart-electric-vehicle-charging-4194df64ba5b?source=topic_page---------2------------------1,-
Medium.com,Society,Should You Buy An Electric Car To Reduce Your Environmental Impact?,Transportation,https://medium.com/@tabitha.whiting/should-you-buy-an-electric-car-to-reduce-your-environmental-impact-cd5d05cfbf00?source=topic_page---------4------------------1,-
Medium.com,Society,Riding Dirty: Waymo and the Climate Cost of Autonomous Mobility (as Currently Conceived),Transportation,https://medium.com/@joseph.wildey/riding-dirty-waymo-and-the-climate-cost-of-autonomous-mobility-as-currently-conceived-9fa34b4f76f4?source=topic_page---------5------------------1,-
Medium.com,Society,The Pedicab Drivers of Savannah,Transportation,https://medium.com/@maddie1b11/the-pedicab-drivers-of-savannah-339e86501ccc?source=topic_page---------7------------------1,-
Medium.com,Society,"Ghosts, swings, and zoning",Transportation,https://medium.com/@amydain/ghosts-swings-and-zoning-bc782c718e81?source=topic_page---------8------------------1,-
Medium.com,Society,We Sacrificed Our New Car for the Environment,Transportation,https://medium.com/@jasonjamesweiland/we-sacrificed-our-new-car-for-the-environment-704fb1d4dc2c?source=topic_page---------9------------------1,-
Medium.com,Society,10 Ways to Read the Road Like a Book & Feel Safer Biking in Your City,Transportation,https://medium.com/@abby.brockman/10-ways-to-read-the-road-like-a-book-feel-safer-biking-in-your-city-da954855db80?source=topic_page---------10------------------1,-
Medium.com,Society,"“There Are No Old, Bold Pilots”",Transportation,https://medium.com/@plittle/there-are-no-old-bold-pilots-3237b2246e65?source=topic_page---------11------------------1,-
Medium.com,Society,EU emissions: will this be transport’s last lost decade?,Transportation,https://medium.com/@transenv/eu-emissions-will-this-be-transports-last-lost-decade-803fd09e0a23?source=topic_page---------12------------------1,-
Medium.com,Society,Uber Drivers Protest ‘Corporate Greed’ as Billionaires Cash In,Transportation,https://onezero.medium.com/uber-drivers-protest-corporate-greed-as-billionaires-cash-in-df65a7e470a7?source=topic_page---------13------------------1,-
Medium.com,Society,"What’s It’s Like to Fly an 11,500-Pound Experimental Helicopter (With Zero Experience)",Transportation,https://medium.com/popular-science/whats-it-s-like-to-fly-an-11-500-pound-experimental-helicopter-with-zero-experience-8028bcc5fc13?source=topic_page---------14------------------1,-
Medium.com,Society,We staged a mass protest against the MTA and NYPD,Transportation,https://medium.com/@anastasiatomkin/we-staged-a-mass-protest-against-the-mta-and-nypd-62901edfae1f?source=topic_page---------15------------------1,-
Medium.com,Society,How to Save on App Development at the Time of Large-Scale Change in Car Connectivity?,Transportation,https://medium.com/creating-automotive-experience-of-tomorrow-today/cost-effective-delivery-of-connected-car-software-af452efd00a9?source=topic_page---------16------------------1,-
Medium.com,Society,Airlines Counter Flight Shaming By Lobbying for More Outside Investments,Transportation,https://medium.com/@PassBlue2016/airlines-counter-flight-shaming-by-lobbying-for-more-outside-investments-2dba89a59c1e?source=topic_page---------17------------------1,-
Medium.com,Society,"By Siding With Trump, Automakers Are Guaranteeing They’ll Need Another Government Bailout",Transportation,https://medium.com/@ericjscholl/by-siding-with-trump-automakers-are-guaranteeing-theyll-need-another-government-bailout-391729e3034?source=topic_page---------18------------------1,-
Medium.com,Society,The economics of electrified vehicles in 2019,Transportation,https://medium.com/@luc_23423/the-economics-of-electrified-vehicles-in-2019-62863b6bf1c7?source=topic_page---------19------------------1,-
Medium.com,Society,Walking is Confusing in California,Transportation,https://psiloveyou.xyz/walking-is-confusing-in-california-9354b48ae22a?source=topic_page---------20------------------1,-
Medium.com,Society,San Francisco has a massive yet solvable unprotected bike lane problem,Transportation,https://medium.com/swlh/san-francisco-has-a-massive-yet-solvable-unprotected-bike-lane-problem-3c3c0c5739c7?source=topic_page---------21------------------1,-
Medium.com,Society,Switched Transport Network for Personal Mobility Pods,Transportation,https://medium.com/swlh/switched-transport-network-for-personal-mobility-pods-45672f39756?source=topic_page---------22------------------1,-
Medium.com,Society,New Experimental EV Battery Design Can Charge in Just 10 Minutes,Transportation,https://medium.com/extremetech-access/new-experimental-ev-battery-design-can-charge-in-just-10-minutes-d5566750d248?source=topic_page---------23------------------1,-
Medium.com,Society,What’s the Deal With the Tesla Model 3?,Transportation,https://medium.com/swlh/whats-the-deal-with-the-tesla-model-3-f02282ce43b4?source=topic_page---------24------------------1,-
Medium.com,Society,The Best Way To Plan An Electric Car Road Trip,Transportation,https://medium.com/@evan.robertson77/the-best-way-to-plan-an-electric-car-road-trip-207b4068956e?source=topic_page---------25------------------1,-
Medium.com,Society,OnMyWay Promises ‘Cash’ for Driving Safe — But There’s a Catch,Transportation,https://onezero.medium.com/onmyway-promises-cash-for-driving-safe-but-there-s-a-big-catch-345686cbef00?source=topic_page---------26------------------1,-
Medium.com,Society,"Urban transportation is being disrupted, but it isn’t big tech that’s doing it",Transportation,https://medium.com/@tbabin/urban-transportation-is-being-disrupted-but-it-isnt-big-tech-that-s-doing-it-dc147d71e69c?source=topic_page---------27------------------1,-
Medium.com,Society,"Fast, Frequent and Reliable Mass Transit",Transportation,https://medium.com/@brendon_harre/fast-frequent-and-reliable-mass-transit-dc97bdd1ce60?source=topic_page---------28------------------1,-
Medium.com,Society,Relearning the value of testing at the MTA,Transportation,https://medium.com/@jgee/relearning-the-value-of-testing-at-the-mta-7bdaa4dfb4ce?source=topic_page---------29------------------1,-
Medium.com,Society,German cities ban old diesel cars. But — is the air any cleaner?,Transportation,https://medium.com/@blazej.kupec/german-cities-ban-old-diesel-cars-but-is-the-air-any-cleaner-f7d185021508?source=topic_page---------30------------------1,-
Medium.com,Society,What Happens if You Try to Hijack a ZipCar to Mexico?,Transportation,https://onezero.medium.com/what-happens-if-you-try-to-hijack-a-zipcar-to-mexico-a514503b210?source=topic_page---------31------------------1,-
Medium.com,Society,Urban Air Mobility — “It’s the logistics stupid”,Transportation,https://medium.com/swlh/urban-air-mobility-its-the-logistics-stupid-82d475f4aaa9?source=topic_page---------32------------------1,-
Medium.com,Society,Be Safe,Transportation,https://medium.com/swlh/be-safe-4047177538f3?source=topic_page---------33------------------1,-
