Source,Domain,Heading,Category,URL,Text
Medium.com,Arts & Entertainment,The Heinous Crimes of Cordelia Botkin,True Crime,https://medium.com/@hlemonroe/the-heinous-crimes-of-cordelia-botkin-552d7d9e51d6?source=topic_page---------0------------------1,-
Medium.com,Arts & Entertainment,The Moonlight Murders and the Phantom Killer,True Crime,https://medium.com/@delanirbartlette/the-moonlight-murders-and-the-phantom-killer-3f532f53d9d0?source=topic_page---------1------------------1,-
Medium.com,Arts & Entertainment,CCTV Footage Shows Missing Man Being Followed,True Crime,https://medium.com/true-crime-by-cat-leigh/cctv-footage-shows-missing-man-being-followed-480fe196755c?source=topic_page---------2------------------1,-
Medium.com,Arts & Entertainment,The Real Murder Behind a Few Good Men — True Crime,True Crime,https://medium.com/true-crime-addiction/the-real-murder-behind-a-few-good-men-true-crime-ce42c9c85b2f?source=topic_page---------4------------------1,-
Medium.com,Arts & Entertainment,Identical Twins Connected by DNA and Murder — True Crime,True Crime,https://medium.com/true-crime-addiction/identical-twins-connected-by-dna-and-murder-true-crime-6e22df2b84e5?source=topic_page---------5------------------1,-
Medium.com,Arts & Entertainment,A Family Surrounded by Murder and Unanswered Questions — True Crime,True Crime,https://medium.com/true-crime-addiction/a-family-surrounded-by-murder-and-unanswered-questions-true-crime-40051a6ad373?source=topic_page---------6------------------1,-
Medium.com,Arts & Entertainment,Tristen Alan “Buddy” Myers,True Crime,https://medium.com/a-murder-runs-through-it/tristen-alan-buddy-myers-b462c739a5d1?source=topic_page---------7------------------1,-
Medium.com,Arts & Entertainment,A Most Unreliable Witness,True Crime,https://medium.com/women-writing-memoir/a-most-unreliable-witness-23ca27df6b80?source=topic_page---------8------------------1,-
Medium.com,Arts & Entertainment,"Raped, Strangled, And Left On The Side Of A Road",True Crime,https://medium.com/true-crime-by-cat-leigh/raped-strangled-and-left-on-the-side-of-a-road-2b6401d77ccd?source=topic_page---------9------------------1,-
Medium.com,Arts & Entertainment,"A Horse Deal Gone Wrong, or was it Black Market Gasoline?",True Crime,https://medium.com/true-crime-addiction/a-horse-deal-gone-wrong-or-was-it-black-market-gasoline-26279cb3b04c?source=topic_page---------10------------------1,-
Medium.com,Arts & Entertainment,The Senseless Death of Eva Swan,True Crime,https://medium.com/@hlemonroe/the-senseless-death-of-eva-swan-6932def592d1?source=topic_page---------11------------------1,-
Medium.com,Arts & Entertainment,Serial Killer on a 2 Year Rampage of Murder and Rape — True Crime,True Crime,https://medium.com/true-crime-addiction/serial-killer-on-a-2-year-rampage-of-murder-and-rape-true-crime-8d1e9c00df5c?source=topic_page---------12------------------1,-
Medium.com,Arts & Entertainment,The Mysterious “Bennington Triangle” Disappearances,True Crime,https://medium.com/of-misdeeds-and-mysteries/the-mystery-behind-the-bennington-triangle-c49dfae69e86?source=topic_page---------13------------------1,-
Medium.com,Arts & Entertainment,Justice Began in the Trunk of a Car,True Crime,https://medium.com/literally-literary/justice-began-in-the-trunk-of-a-car-4a3ed0aad413?source=topic_page---------14------------------1,-
Medium.com,Arts & Entertainment,Trying to Catch a Chameleon Killer — True Crime,True Crime,https://medium.com/true-crime-addiction/trying-to-catch-a-chameleon-killer-true-crime-eb51eddd6641?source=topic_page---------15------------------1,-
Medium.com,Arts & Entertainment,The Route 66 Murders of James and Utha Welch,True Crime,https://medium.com/@hlemonroe/the-route-66-murders-of-james-and-utha-welch-6ae9ba60cde9?source=topic_page---------16------------------1,-
Medium.com,Arts & Entertainment,The Last Line of Gucci,True Crime,https://medium.com/harsh-light-news/the-last-line-of-gucci-1ed8dd73219a?source=topic_page---------17------------------1,-
Medium.com,Arts & Entertainment,Carolyn Blanton: The Other Colorado Cannibal,True Crime,https://medium.com/@delanirbartlette/carolyn-blanton-the-other-colorado-cannibal-adaa97892d0f?source=topic_page---------18------------------1,-
