Source,Domain,Heading,Category,URL,Text
Medium.com,Innovation & Tech,Master UX with React in 2020: Four Ways to Upgrade Your React App User Experience,Visual Design,https://levelup.gitconnected.com/master-ux-with-react-in-2020-four-ways-to-upgrade-your-react-app-user-experience-a053b3ffbf59?source=topic_page---------0------------------1,-
Medium.com,Innovation & Tech,Complete Website Design In Under Three Weeks with Webflow,Visual Design,https://medium.com/brv-signals/complete-website-design-in-under-three-weeks-with-webflow-f29abb999d9d?source=topic_page---------1------------------1,-
Medium.com,Innovation & Tech,How To Draw Beautifully Animated Graphs in SwiftUI — Part 3,Visual Design,https://medium.com/better-programming/how-to-draw-beautifully-animated-graphs-in-swiftui-part-1-9f8c26011071?source=topic_page---------2------------------1,-
Medium.com,Innovation & Tech,How To Set a Dark Mode App Icon for Your App,Visual Design,https://medium.com/better-programming/how-to-set-a-dark-mode-app-icon-for-your-app-cc143d56f100?source=topic_page---------4------------------1,-
Medium.com,Innovation & Tech,Creating A Design Language For Your Brand,Visual Design,https://medium.com/@alexwiley/creating-a-design-language-for-your-brand-fe9d56644ddd?source=topic_page---------5------------------1,-
Medium.com,Innovation & Tech,Why you should incorporate mood boards into your design process,Visual Design,https://medium.com/@PurpleGreenLemon/why-you-should-incorporate-mood-boards-into-your-design-process-5d7ce062c2b0?source=topic_page---------6------------------1,-
Medium.com,Innovation & Tech,"Parallax, mega-menus, asymmetry and other web design trends",Visual Design,https://medium.com/@leandroercoli/parallax-mega-menus-asymmetry-and-other-web-design-trends-92ce83d03177?source=topic_page---------7------------------1,-
Medium.com,Innovation & Tech,"Design Tokens beyond colors, typography, and spacing.",Visual Design,https://badootech.badoo.com/design-tokens-beyond-colors-typography-and-spacing-ad7c98f4f228?source=topic_page---------8------------------1,-
Medium.com,Innovation & Tech,"The Bauhaus Master Who Saw Photoshop Coming, 90 Years Ahead of Time",Visual Design,https://medium.com/aiga-eye-on-design/the-bauhaus-master-who-saw-photoshop-coming-90-years-ahead-of-time-10eb599e5b1f?source=topic_page---------9------------------1,-
Medium.com,Innovation & Tech,Why you should stop designing multiple proposals,Visual Design,https://uxdesign.cc/why-you-should-stop-designing-multiple-proposals-ad7b08bfa7c7?source=topic_page---------10------------------1,-
Medium.com,Innovation & Tech,10 rules of thumb in UI design,Visual Design,https://uxdesign.cc/10-rules-of-thumb-in-ui-design-aa5f91885444?source=topic_page---------11------------------1,-
Medium.com,Innovation & Tech,"How I joined Google as a new grad designer, and what I learned from it",Visual Design,https://uxdesign.cc/how-i-joined-google-as-a-new-grad-designer-and-what-i-learned-from-it-525d10c9b796?source=topic_page---------12------------------1,-
Medium.com,Innovation & Tech,How do I design for accessibility?,Visual Design,https://uxdesign.cc/how-do-i-design-for-accessibility-1681123f9539?source=topic_page---------13------------------1,-
Medium.com,Innovation & Tech,Microsites: Good or Bad?,Visual Design,https://medium.com/swlh/microsites-good-or-bad-35ee828b6a1e?source=topic_page---------14------------------1,-
