Source,Domain,Heading,Category,URL,Text
Medium.com,Society,CARE Canada Ambassador Annie Murphy on her visit to Azraq Refugee Camp,World,https://medium.com/@care_canada/care-canada-ambassador-annie-murphy-on-her-visit-to-azraq-refugee-camp-94e923e852a9?source=topic_page---------0------------------1,-
Medium.com,Society,Mapping Niger,World,https://medium.com/usaid-2030/mapping-niger-153ded451634?source=topic_page---------1------------------1,-
Medium.com,Society,"Why I left the Labour Party, or: How identity politics left me questioning who to vote for at the…",World,https://medium.com/@TheParrhesiaDiaries/why-i-left-the-labour-party-or-how-identity-politics-left-me-questioning-who-to-vote-for-at-the-4e2c7d70c157?source=topic_page---------2------------------1,-
Medium.com,Society,Thirty years after the fall of the Berlin Wall,World,https://medium.com/@UNDP/thirty-years-after-the-fall-of-the-berlin-wall-5542f7cc01a0?source=topic_page---------4------------------1,-
Medium.com,Society,No Mistake About It: What Happened In Bolivia Was A Coup,World,https://medium.com/discourse/no-mistake-about-it-what-happened-in-bolivia-was-a-coup-fa3c9d0de4f3?source=topic_page---------5------------------1,-
Medium.com,Society,The Hong Kong Protest: A Misplaced Sense of Entitlement,World,https://medium.com/@kaliminali/the-hong-kong-protest-a-misplaced-sense-of-entitlement-2c6c2e04093a?source=topic_page---------6------------------1,-
Medium.com,Society,Untitled story,World,https://blogs.keele.ac.uk/how-much-of-a-threat-is-the-brexit-party-to-boris-johnson-and-jeremy-corbyn-6092072a1125?source=topic_page---------7------------------1,-
Medium.com,Society,Bolivia in Crisis,World,https://medium.com/@jimshultz716/bolivia-in-crisis-4ef2f25471ed?source=topic_page---------8------------------1,-
Medium.com,Society,It’s when not if China’s Middle Eastern tightrope snaps,World,https://medium.com/the-turbulent-world-of-middle-east-soccer/its-when-not-if-china-s-middle-eastern-tightrope-snaps-45b2dee490c7?source=topic_page---------9------------------1,-
Medium.com,Society,Why the World Got It Wrong with Bolivia,World,https://medium.com/@victoriapoon/why-the-world-got-it-wrong-with-bolivia-68c46843b07e?source=topic_page---------10------------------1,-
Medium.com,Society,"Hong Kong is at war, and why should the world be worried.",World,https://medium.com/%E8%B3%B4%E5%8F%94%E7%9D%87%E8%82%B2/hong-kong-is-at-war-and-why-should-the-world-be-worried-93af8a94ee0f?source=topic_page---------11------------------1,-
Medium.com,Society,What It Means to Walk Around a City Without Purpose,World,https://zora.medium.com/what-it-means-to-walk-around-a-city-without-purpose-6c84630d86ab?source=topic_page---------12------------------1,-
