Source,Heading,Category,URL,Text
Power Transmissiom,2 Boca Ceramic Bearings Offer Flexibility,Bearings, http://www.powertransmission.com/news/3297/Boca-Ceramic-Bearings-Offer-Flexibility/,"  This new line of full ceramic bearings, ceramic hybrid bearings and lubricants is catered towards the automation and advanced manufacturing industries. Boca Bearing Company is introducing a new line of full ceramic bearings, ceramic hybrid bearings and lubricants catered towards the automation and advanced manufacturing industries. Boca Bearing's ceramic bearings can be used in varieties of manufacturing environments ranging from extreme temperatures, high speeds to heavy loads. Ceramic hybrid ball bearings use steel races and ceramic balls. Ceramic balls weigh up to 40 percent less than steel balls. This reduces centrifugal loading and skidding, so hybrid ceramic bearings can operate up to 50 percent faster than conventional bearings. This means that the outer race groove exerts less force inward against the ball as the bearing spins. This reduction in force reduces the friction and rolling resistance. The lighter ball allows the bearing to spin faster, and uses less energy to maintain its speed. Ceramic hybrid ball bearings have ceramic balls in place of steel balls. They are constructed with steel inner and outer rings, ceramic balls and are known as hybrids. Full Ceramic Bearings are made entirely of ceramic material and are superior to common steel bearings in many ways. Full ceramic bearings can continue to work under extremely high temperatures and are capable to operate up to 1,800 degrees F. Ceramic is much lighter than steel and many bearings are 1/3 the weight of a comparable steel bearing. Full ceramic bearings are highly corrosion resistant and will stand up to most common acids. They will not corrode in exposure to water or salt water. And finally full ceramic bearings are non-conductive. This wide array of features allows for application flexibility. Engineers can upgrade and downgrade machines, seamlessly integrating them into different production lines without long waiting times, maintenance and without production down times. Deep groove bearings, thrust bearings, angular contact bearings and self-aligning bearings are just some of the styles available in Full Ceramic and Ceramic Hybrid versions. "
Power Transmissiom,8 NKE Introduces New Ball Bearings,Bearings, http://www.powertransmission.com/news/1080/NKE-Introduces-New-Ball-Bearings/,"    The new NKE POP range of single row deep groove ball bearings offers reduced running noise,longer lubricant service life, and a low starting torque.    According to the company's press release, the new deep groove ball bearings are subject to stringent, documented quality inspections as well as 100 percent noise testing. The low running noise is achieved through the use of a new type of lubricant, which also minimizes the bearing's starting torque even at low operating temperatures. The lubricant has a service life from -50 to 150 degrees C.    Bearings feature a pair of double-lipped labyrinth seals, which protect from contamination and improve grease retention in spite of the low friction. The bearings' raceways have an enhanced surface finish.     The new POP range of single row deep groove ball bearings is available from stock in the size ranges 6000 to 6012, 6200 to 6212, and 6300 to 6310, with bore diameters from 10 mm to 60 mm or 50 mm, in open version, 2RS2 version (sealed with two synthetic rubber seals) and 2Z version (sealed with two steel shields) and with clearances CN (standard) and C3.         "
Power Transmissiom,10 Revolvo Expands Range of Roller Bearings,Bearings, http://www.powertransmission.com/news/1436/Revolvo-Expands-Range-of-Roller-Bearings/,"  Revolvo has expanded its lineup of roller bearings with the introduction of flange, hanger and take-up bearings. According to the company’s press release, the bearings are designed to simplify and expedite installation while cutting downtime and reducing maintenance costs. The flange units are available in metric shaft sizes from 35 mm to 300 mm, the hanger units from 35 mm to 115 mm and the take-up units from 45 mm to 160 mm. The bearings are designed for use in applications such as quarrying, mining, steel, power generation, cement, water treatment and sugar processing.  All bearings are manufactured with a 250-grade cast iron that meets all design requirements. "
Power Transmissiom,12 Bearings Six Times More Wear Resistant,Bearings, http://www.powertransmission.com/news/2726/Bearings-Six-Times-More-Wear-Resistant/,"  Maintenance-free plastic plain bearings made from iglide T500, one of 12 standard materials from bearings specialist igus, are high-tech problem solvers for temperature-, pressure- and chemical-critical applications. The company is now launching an advanced bearing material using nano particles. The material iglide X6 is up to six times more wear resistant at long term temperatures of 482 degrees Fahrenheit, according to the company's press release. Polymer plain bearings made from iglide T500 have been around since the mid-1980s. They run dry at a long-term application temperature of -148 degrees Fahrenheit to +482 degrees Fahrenheit (up to +599 degrees Fahrenheit for short periods). Even at a permanent temperature of 482 degrees Fahrenheit, the bearings can still withstand a surface pressure of about 21,750 psi (pounds per square inch). In addition, this material absorbs very little moisture and is resistant to almost all chemicals. This high-temperature material, which has proved its worth in thousands of applications over many years, is available from stock in more than 250 dimensions. In 25 years of polymer research, the possible applications for lubrication-free polymer plain bearings have been continually expanded. This new material is up to six times more wear-resistant than iglide T500 under the influence of temperature and demonstrates significantly reduced relaxation behavior. For the user, this means the press fit of the bearings is improved by up to 50 percent. In addition, the material has an even greater resistance to chemicals. Nanotechnology was used to optimize the new X6 material. In this area, surface properties play an increasingly important role compared with the material volume properties. In nanotechnology, the size of the object determines properties. These are ‘size-induced functionalities'. The use of nanoparticles has a decisive influence on the performance of iglide X6 plain bearings, especially under the influence of temperature. The new plastic plain bearings made from iglide X6 are available in 24 dimensions. "
Power Transmissiom,14 Revolvo Offers Split Roller Bearings for Harsh Environments,Bearings, http://www.powertransmission.com/news/3940/Revolvo-Offers-Split-Roller-Bearings-for-Harsh-Environments/,"  In harsh environments the choice of cage material for the bearings is critical to ensure reliability. The advantages provided by split roller bearings in delivering greatly reduced downtime compared to solid bearings are well documented: savings of 80% or more are achieved with SRB types on installation/disassembly due to their split-to-the-shaft configuration. However, savings in downtime can be forfeited if split roller bearings fail to provide the levels of reliability demanded in many tough user industries such as quarries, mines, cement plants, sewage plants, marine, steel and aluminium plants and paper making facilities. In these industries the choice of cage material for the bearings is critical to ensure reliability: that is why Adrian Menzies of Revolvo, is arguing that Brass is always best. ""We designed our ranges of SRBs from blank sheets of paper and, after considering the alternatives, we decided that brass was overwhelmingly the best cage material for use in our bearings. Several recent studies have shown that machined high tensile brass cages have several advantages over pressed steel, aluminium and non-metallic bearing cages. Brass cages offer high rigidity, high strength and can be used at high temperatures. They also offer the key features of absorbing lubricant and performing well in aggressive environments where lubrication is marginal. In contrast to some non-metallic cage materials, such as polyamide, they are unaffected by, and can be used with, most common bearing lubricants, including synthetic oils and greases. ""Brass is also first choice in industries such as petrochemical where unexpected failures can be catastrophic. Brass lends itself to preventative maintenance programmes, where vibration monitors are used to get early warning of potential failures. This is possible because brass fails very gradually, giving indication of failure along the way. In contrast, polyamide cages do not lend themselves to vibration monitoring programs and pressed steel cages can fail catastrophically without warning. This is the major reason why operators of petrochemical plants have replaced pressed steel and polyamide cage bearings with brass caged split roller bearings. ""The machined brass cages in our ranges of split roller bearings also deliver improved bearing reliability by ensuring accurate guidance of the bearing rollers. The Revolvo cage design has CNC bored pockets that are optimised to give very accurate roller guidance that prevents skewing: a condition that can lead to edge loading on the bearing and reduced bearing life. In addition to providing excellent roller guidance, the Brass cage also allows operation at higher temperatures up to 140 degrees C without problems, and operating speeds up to 25% higher, as long as thrust loads are within design limits. ""To the above advantages should also be added the non-flammable characteristics of brass, which enable the material to be used for the cages of bearings employed underground in bearing mining applications. In contrast bearing cages manufactured from aluminium, light metal alloys or non-metallic materials cannot be used: aluminium, and non-metallics because they are flammable. ""Designing a standard range of bearings with brass cages has resulted in Revolvo winning many prestigious contracts, among them a large order for the Hatfield Colliery near Doncaster. One of the major investments when the mine was reopened was a huge belt conveyor for coal extraction. The conveyor is equipped with Revolvo's split roller bearings: heavy duty 240mm series units and various medium series units. All of these bearings are manufactured in cast iron with brass cages as standard; this means that they can be used underground without modification. ""The standard material specification of the SRB bearings was a major factor in their specification; equally important was the bearings ease of maintenance - particularly important in the cramped conditions underground - and their superior sealing systems. SRB also offer the benefit of inspection in situ, as part of a planned maintenance schedule; and have longer life, because they cannot be cross- located."" "
Power Transmissiom,16 Bearings Limited Puts Independent Distributors First with IDC-USA,Bearings, http://www.powertransmission.com/news/8856/Bearings-Limited-Puts-Independent-Distributors-First-with-IDC-USA/,"  Bearings Limited has provided, through distribution, a full line of bearings and power transmission products for over 70 years. With a full product range offering including mounted units, ball bearings, and chain and sprockets, Bearings Limited has evolved from a surplus supplier to focusing only on factory-fresh, brand-new product in a superior package. Bearings Limited focuses on the independent distributor and does not sell directly to end-users or OEMs. This prioritization of independent distributors naturally aligns Bearings Limited as an ideal IDC Preferred Supplier on IDC Marketplace. With the addition of this program, IDC Owner-Distributors will gain access to Bearings Limited’s vast product line with the streamlined purchasing process IDC Marketplace offers. Brian Harpur, vice president of sales of Bearings Limited, expands on their commitment to supporting independent distributors: “The Independent Distributor is our marketing arm to the end-user. Bearings Limited does not sell direct to end-users or OEMs and offers full support from sales, engineering, logistics and other value-added services to keep the independent distributor viable in the marketplace.” “Adding Bearings Limited’s product offering to IDC Marketplace will bring convenience and a wider selection to our members,” stated Bob Boyle, executive vice president of IDC-USA. “We are confident that Bearings Limited’s proven support of independent distributors will bring success to this partnership.”  George Graham, president and CEO of IDC-USA, sees this partnership with Bearings Limited as a natural step. “Many of our members already conduct business with Bearings Limited, so we are excited to give them the ability to consolidate purchasing on IDC Marketplace,” he explained. “With each new supplier program, we aim to bring strategic development to IDC-USA membership.” "
Power Transmissiom,18 Renishaw Offers Encoders for Wind Turbine Bearings,Bearings, http://www.powertransmission.com/news/4237/Renishaw-Offers-Encoders-for-Wind-Turbine-Bearings/,"  Blade pitch adjustment is one of the most critical functions of wind turbine operation, and the giant bearings in the adjustment mechanism can now be manufactured with accuracy typically reserved for small parts, using a new vertical turn/grind machine from Swedish builder KMT Lidköping. The machine combines advanced motion systems with Renishaw optical and magnetic linear and angle encoders on critical axes to achieve form deviation of less than 1 µm on parts 4,000 mm in diameter. “This is hard turning and grinding, and is very demanding,” said Eive Johansson, KMT Lidköping’s chief designer. “Positioning accuracy is very important, with a direct effect on the quality of the finished bearings.” Prior to the VTG4000, the company’s largest machine could accommodate parts up to 600 mm (24 in) diameter, but the VTG4000 handles diameters in excess of 4,000 mm (157 in), the size of the largest wind turbine bearings, while providing much greater accuracy. Linear motors on the linear axes make the VTG4000 fast, and firm hydrostatic guideways increase accuracy. “A standard size machine, using ballscrews on the axes, maintains about a 3-µm form deviation,” said Johannson. “This machine maintains form deviation of less than 1 µm with feed resolution in 0.1 µm steps.” Linear slides are at the heart of Lidköping machines, and the combination of hydrostatic guideways, air seals and linear motors creates a stiff, accurate, maintenance-free system. “To achieve dynamic stiffness we need high gain, which is linked to the quality of the encoder scales,” explained Johansson. “It also makes a big difference that the angle encoders have the scale integrated directly onto the ring.” High Quality Improves Control of Turbine BladesPitch bearings allow wind turbine blades to optimize their angle according to wind speed, or create a stall condition in high winds, so the reliability of these bearings is critical to efficient, safe operation. The multi-tasking VTG4000 is designed to machine these large bearings in a single set up, performing both turning and grinding with two separate heads. The two heads are configured as required, usually grinding/turning or grinding/grinding. The machine’s 4.5 m X-axis carries the two heads on opposite sides of the part, and allows both grinding and turning tools to access the outside of the part. With some components weighing more than 35 tonnes, the VTG4000 is very resistant to distortion and thermal variation, which is aided by closely controlled hydrostatic oil and coolant temperatures. “We’ve used hydrostatic guideways since the 1970’s, and combining them with linear motors gives us a faster, more accurate machine capable of far greater acceleration and deceleration,” said plant manager Henrik Jonsson. “When you see that you can move the 25,000 kg rotary axis with your finger, you realize how good the hydrostatic system is.”Johansson first saw the encoders that would end up on the VTG4000 at the EMO show in 2007, and Lidköping put the sensors through rigorous testing. “We compared different scales assembled on our reference slide and selected the one with the best performance,” said Johansson. “It was important that the linear encoders have a continuous length of at least 4.5 m, as well as high dirt resistance, and SiGNUM  fit these requirements the best. We have fitted them to all four linear slides, and have had no problems. Our rotary table has the same design principle, with hydrostatic radial and axial bearings, air seals and torque motors. We did the same analysis and chose the SiGNUM angle encoders.”Renishaw’s LM10 magnetic angle encoders are fitted to the B-axes of the grinding heads. These encoders are exposed to the harsh conditions of the machine environment, but their non-contact, non-optical design, and sealing to IP68, protects them from the effects of coolant and swarf. The digital or analog output LM10 allows up to 100 m travel and high-speed operation of up to 25 m/s (4 m/s at 1 µm resolution).All Renishaw encoders feature an integral patented set-up LED that speeds installation and removes the need for complex set-up equipment or oscilloscopes. “One of the best features of the Renishaw encoders is how easy they are to set up,” added Johnasson. “With the scale attached and the readhead approximately located, the indicator lights make it very easy to see how well the two elements are aligned.” To accurately set the part in the machine’s work-coordinate system, the VTG4000 uses a Renishaw RMP60 radio signal transmission touch probe. After a raw part is placed on the bed, the RMP60 is loaded into the tool changer and used to locate the exact position of key features in a matter of seconds. This data is used to update the coordinate system in-cycle for quick, accurate machining.      "
Power Transmissiom,20 QC Industries Offers Lube-for-Life Bearings,Bearings, http://www.powertransmission.com/news/1445/QC-Industries-Offers-Lube-for-Life-Bearings/,"  December 14, 2007— QC Industries has replaced its standard bearings with lube-for-life versions featuring a permanent, micro-poly lubricant designed to meet the needs of its conveyors. According to the company’s press release, the design eliminates the need to periodically lubricate the bearings and prevents grease from escaping and contacting product on the surface of the conveyor. The micro-poly lubricant consists of polymers and oils that continue to lubricate the bearing surfaces. The lube-for-life bearings, approved by both the USDA and FDA for H-1 food processing applications, contain corrosion inhibitors, antioxidants and an EP additive. Applications include packaging, automation, medical products, assembly, material handling, manufacturing and clean rooms.    4057 Clough Woods Drive Batavia, OH 45103"
Power Transmissiom,"24 Regal Demonstrates Bearings, Gear Reducers and More at AGG1",Bearings, http://www.powertransmission.com/news/6485/Regal-Demonstrates-Bearings-Gear-Reducers-and-More-at-AGG1/,  Browning's TorqPaper Plus. 
Power Transmissiom,26 SKF Black Oxide Bearings Promote Reliability,Bearings, http://www.powertransmission.com/news/5559/SKF-Black-Oxide-Bearings-Promote-Reliability/,"  June 11, 2014—SKF black oxide bearings add a surface layer of protection to promote higher reliability and performance for wind turbines.  The coating can be specified for all types of critical bearings in wind turbine systems to help promote higher reliability against widely varying temperatures, speeds, and loads and to resist contaminants, moisture, and chemicals that otherwise could limit bearing lifecycles and increase costs of turbine operation and maintenance.  The coated bearings can be introduced into new installations or serve as replacement upgrades. Black oxide bearings ultimately can increase turbine uptime by enhancing resistance to corrosion and smearing; improving performance in low-lubrication conditions; limiting risk of fretting, micropitting, and cracking; reducing potential damage from aggressive oil additives; and reducing the effects of friction and wear. The black oxidation surface treatment is applied to a bearingâÂ™s rings and/or rollers.  The process âÂ“ involving a chemical reaction at the surface layer of the bearing steel âÂ“ is performed in an alkaline aqueous salt solution at defined temperatures.  Up to 15 different immersion steps create a thin, dark black surface layer delivering a significant performance upgrade for the broad range of bearing types and sizes in wind turbines (up to 2.2 m in diameter and up to 1,000 kg per individual bearing component). Suitable bearing types for the coating include tapered roller bearings, cylindrical roller bearings, spherical roller bearings, and CARB toroidal roller bearings, among others playing vital roles in wind turbine systems.  "
